DATE	HOUR	EDGE_ID	AMOUNT
2015.08.23	0	1	3
2015.08.23	0	1	5
2015.08.23	0	3	1
2015.08.23	0	5	1
2015.08.23	0	6	50
2015.08.23	0	7	7
2015.08.23	0	8	3
2015.08.23	0	8	1
2015.08.23	0	10	1
2015.08.23	0	12	1
2015.08.23	0	13	2
2015.08.23	0	15	1
2015.08.23	0	17	1
2015.08.23	0	19	1
2015.08.23	0	21	1
2015.08.23	0	22	1
2015.08.23	0	24	1
2015.08.23	0	26	9
2015.08.23	0	26	1
2015.08.23	0	28	1
2015.08.23	0	30	1
2015.08.23	0	32	1
2015.08.23	0	34	1
2015.08.23	0	36	1
2015.08.23	0	38	1
2015.08.23	0	13	1
2015.08.23	0	32	1
2015.08.23	0	10	1
2015.08.23	0	42	29
2015.08.23	0	43	1
2015.08.23	0	43	1
2015.08.23	0	45	1
2015.08.23	0	46	1
2015.08.23	0	48	1
2015.08.23	0	13	1
2015.08.23	0	28	2
2015.08.23	0	52	1
2015.08.23	0	24	2
2015.08.23	0	54	1
2015.08.23	0	55	1
2015.08.23	0	54	1
2015.08.23	0	10	1
2015.08.23	0	58	1
2015.08.23	0	59	1
2015.08.23	0	60	1
2015.08.23	0	61	1
2015.08.23	0	48	1
2015.08.23	0	64	1
2015.08.23	0	28	1
2015.08.23	0	10	1
2015.08.23	0	67	2
2015.08.23	0	68	2
2015.08.23	0	69	1
2015.08.23	0	70	1
2015.08.23	0	72	1
2015.08.23	0	74	1
2015.08.23	0	74	1
2015.08.23	0	76	4
2015.08.23	0	77	1
2015.08.23	0	77	1
2015.08.23	0	80	15
2015.08.23	0	81	1
2015.08.23	0	83	1
2015.08.23	0	85	1
2015.08.23	0	87	1
2015.08.23	0	89	1
2015.08.23	0	91	1
2015.08.23	0	93	1
2015.08.23	0	93	2
2015.08.23	0	96	1
2015.08.23	0	97	1
2015.08.23	0	99	4
2015.08.23	0	100	1
2015.08.23	0	102	1
2015.08.23	0	104	1
2015.08.23	0	106	22
2015.08.23	0	107	1
2015.08.23	0	108	1
2015.08.23	0	109	1
2015.08.23	0	110	6
2015.08.23	0	112	6
2015.08.23	0	114	1
2015.08.23	0	97	1
2015.08.23	0	117	1
2015.08.23	0	118	1
2015.08.23	0	96	1
2015.08.23	0	121	1
2015.08.23	0	123	1
2015.08.23	0	97	1
2015.08.23	0	126	1
2015.08.23	0	128	1
2015.08.23	0	96	1
2015.08.23	0	102	1
2015.08.23	0	131	1
2015.08.23	0	132	1
2015.08.23	0	133	3
2015.08.23	0	133	1
2015.08.23	0	135	1
2015.08.23	0	136	1
2015.08.23	0	138	1
2015.08.23	0	140	1
2015.08.23	0	142	4
2015.08.23	0	143	1
2015.08.23	0	138	1
2015.08.23	0	146	1
2015.08.23	0	146	1
2015.08.23	0	149	1
2015.08.23	0	151	1
2015.08.23	0	151	1
2015.08.23	0	152	4
2015.08.23	0	154	1
2015.08.23	0	156	1
2015.08.23	0	156	1
2015.08.23	0	157	1
2015.08.23	0	146	1
2015.08.23	0	160	1
2015.08.23	0	162	1
2015.08.23	0	164	4
2015.08.23	0	165	1
2015.08.23	0	167	1
2015.08.23	1	168	1
2015.08.23	1	1	1
2015.08.23	1	3	2
2015.08.23	1	6	15
2015.08.23	1	60	1
2015.08.23	1	7	20
2015.08.23	1	22	1
2015.08.23	1	169	1
2015.08.23	1	12	8
2015.08.23	1	14	1
2015.08.23	1	20	1
2015.08.23	1	20	1
2015.08.23	1	170	1
2015.08.23	1	11	1
2015.08.23	1	23	14
2015.08.23	1	24	1
2015.08.23	1	26	2
2015.08.23	1	29	2
2015.08.23	1	29	1
2015.08.23	1	31	6
2015.08.23	1	31	1
2015.08.23	1	45	1
2015.08.23	1	174	1
2015.08.23	1	35	4
