DATE	HOUR	EDGE_ID	AMOUNT
6/2/14	0	1	3
6/2/14	0	3	1
6/2/14	0	5	1
6/2/14	0	6	1
6/2/14	0	8	3
6/2/14	0	10	1
6/2/14	0	12	1
6/2/14	1	0	1
6/2/14	1	5	19
6/2/14	1	11	3
6/2/14	1	0	1
6/2/14	1	6	3
6/2/14	2	1	1
6/2/14	2	2	1
6/2/14	2	7	2
6/2/14	2	6	1
6/2/14	2	2	1
6/2/14	2	4	1
6/2/14	3	0	1
6/2/14	3	11	1
6/2/14	3	2	1
6/2/14	4	0	1
6/2/14	4	13	1
6/2/14	4	7	1
6/2/14	4	11	1
6/2/14	4	0	1
6/2/14	5	0	1
6/2/14	5	6	5
6/2/14	5	7	4
6/2/14	5	9	1
6/2/14	5	15	1
6/2/14	5	11	1
6/2/14	5	7	1
6/2/14	6	11	1
6/2/14	6	0	1
6/2/14	6	15	1
6/2/14	6	5	19
6/2/14	6	6	1
6/2/14	6	7	4
6/2/14	6	4	1
6/2/14	6	17	1
6/2/14	6	19	1
6/2/14	6	21	1
6/2/14	6	15	1
6/2/14	7	0	1
6/2/14	7	2	3
6/2/14	7	4	1
6/2/14	7	5	1
6/2/14	7	6	6
6/2/14	7	16	5
6/2/14	7	8	4
6/2/14	7	23	1
6/2/14	7	24	1
6/2/14	7	14	1
6/2/14	7	26	1
6/2/14	7	8	9
6/2/14	7	11	3
6/2/14	7	21	1
6/2/14	7	30	1
6/2/14	8	0	2
6/2/14	8	1	3
6/2/14	8	31	1
6/2/14	8	32	1
6/2/14	8	34	1
6/2/14	8	4	3
6/2/14	8	5	4
6/2/14	8	37	1
6/2/14	8	5	2
6/2/14	8	16	3
6/2/14	8	16	1
6/2/14	8	40	1
6/2/14	8	41	1
6/2/14	8	9	3
6/2/14	8	9	2
6/2/14	8	43	1
6/2/14	8	44	1
6/2/14	8	19	1
6/2/14	8	45	3
6/2/14	8	46	1
6/2/14	8	47	1
6/2/14	8	48	1
6/2/14	8	29	1
6/2/14	8	51	1
6/2/14	8	52	1
6/2/14	8	10	1
6/2/14	9	11	9
6/2/14	9	0	1
6/2/14	9	1	7
6/2/14	9	1	1
6/2/14	9	55	1
6/2/14	9	35	1
6/2/14	9	56	1
6/2/14	9	24	1
6/2/14	9	37	1
6/2/14	9	16	5
6/2/14	9	39	1
6/2/14	9	57	1
6/2/14	9	18	1
6/2/14	9	59	1
6/2/14	9	40	1
6/2/14	9	61	1
6/2/14	9	8	4
6/2/14	9	8	2
6/2/14	9	9	2
6/2/14	9	30	1
6/2/14	9	42	7
6/2/14	9	65	1
6/2/14	9	59	1
6/2/14	9	66	1
6/2/14	9	68	1
6/2/14	9	69	1
6/2/14	9	70	1
6/2/14	9	71	11
6/2/14	9	25	1
6/2/14	9	30	1
6/2/14	9	73	1
6/2/14	9	74	1
6/2/14	9	29	1
6/2/14	9	57	1
6/2/14	9	59	1
6/2/14	9	76	1
6/2/14	9	22	1
6/2/14	9	33	1
6/2/14	9	38	1
6/2/14	9	14	1
6/2/14	9	46	3
6/2/14	10	0	2
6/2/14	10	51	1
6/2/14	10	1	1
6/2/14	10	56	1
6/2/14	10	3	1
6/2/14	10	2	6
6/2/14	10	35	1
6/2/14	10	35	1
6/2/14	10	80	1
6/2/14	10	5	3
6/2/14	10	38	1
6/2/14	10	29	1
6/2/14	10	18	1
6/2/14	10	16	6
6/2/14	10	16	5
6/2/14	10	75	1
6/2/14	10	7	457
6/2/14	10	17	1
6/2/14	10	59	1
6/2/14	10	81	1
6/2/14	10	8	5
6/2/14	10	62	1
6/2/14	10	48	1
6/2/14	10	9	2
6/2/14	10	9	1
6/2/14	10	84	1
6/2/14	10	3	1
6/2/14	10	42	2
6/2/14	10	64	1
6/2/14	10	43	1
6/2/14	10	10	1
6/2/14	10	17	1
6/2/14	10	19	8
6/2/14	10	87	1
6/2/14	10	55	1
6/2/14	10	88	1
6/2/14	10	89	1
6/2/14	10	90	1
6/2/14	10	25	1
6/2/14	10	91	1
6/2/14	10	27	1
6/2/14	10	40	1
6/2/14	10	28	1
6/2/14	10	36	1
6/2/14	10	35	1
6/2/14	10	38	1
6/2/14	10	94	1
6/2/14	10	23	1
6/2/14	11	11	11
6/2/14	11	18	1
6/2/14	11	1	4
6/2/14	11	3	1
6/2/14	11	55	1
6/2/14	11	15	1
6/2/14	11	15	1
6/2/14	11	56	1
6/2/14	11	98	1
6/2/14	11	34	1
6/2/14	11	61	1
6/2/14	11	61	1
6/2/14	11	5	3
6/2/14	11	5	4
6/2/14	11	100	1
6/2/14	11	37	1
6/2/14	11	92	1
6/2/14	11	16	10
6/2/14	11	39	1
6/2/14	11	39	1
6/2/14	11	49	1
6/2/14	11	39	1
6/2/14	11	17	1
6/2/14	11	76	1
6/2/14	11	62	2
6/2/14	11	9	3
6/2/14	11	83	1
6/2/14	11	102	1
6/2/14	11	56	1
6/2/14	11	14	1
6/2/14	11	23	1
6/2/14	11	17	2
6/2/14	11	59	1
6/2/14	11	36	1
6/2/14	11	67	1
6/2/14	11	45	5
6/2/14	11	15	1
6/2/14	11	105	2
6/2/14	11	12	1
6/2/14	11	108	1
6/2/14	11	71	6
6/2/14	11	110	1
6/2/14	11	91	1
6/2/14	11	30	1
6/2/14	11	112	1
6/2/14	11	26	1
6/2/14	11	50	1
6/2/14	11	44	2
6/2/14	11	59	1
6/2/14	11	114	1
6/2/14	11	15	1
6/2/14	11	76	1
6/2/14	11	76	1
6/2/14	11	3	1
6/2/14	11	115	1
6/2/14	11	116	1
6/2/14	11	46	1
6/2/14	12	18	1
6/2/14	12	0	1
6/2/14	12	28	1
6/2/14	12	1	6
6/2/14	12	1	1
6/2/14	12	15	1
6/2/14	12	93	1
6/2/14	12	55	1
6/2/14	12	36	1
6/2/14	12	36	1
6/2/14	12	3	1
6/2/14	12	34	1
6/2/14	12	61	1
6/2/14	12	100	2
6/2/14	12	6	1
6/2/14	12	16	1
6/2/14	12	60	1
6/2/14	12	57	1
6/2/14	12	29	1
6/2/14	12	17	1
6/2/14	12	17	1
6/2/14	12	17	1
6/2/14	12	61	1
6/2/14	12	8	2
6/2/14	12	76	1
6/2/14	12	97	1
6/2/14	12	9	12
6/2/14	12	83	1
6/2/14	12	36	1
6/2/14	12	42	17
6/2/14	12	64	1
6/2/14	12	119	1
6/2/14	12	3	1
6/2/14	12	10	3
6/2/14	12	40	1
6/2/14	12	67	3
6/2/14	12	122	1
6/2/14	12	31	1
6/2/14	12	55	1
6/2/14	12	97	1
6/2/14	12	115	1
6/2/14	12	28	1
6/2/14	12	90	1
6/2/14	12	125	1
6/2/14	12	90	1
6/2/14	12	10	9
6/2/14	12	53	2
6/2/14	12	67	1
6/2/14	12	21	1
6/2/14	12	127	1
6/2/14	12	128	1
6/2/14	12	26	1
6/2/14	12	129	1
6/2/14	12	130	1
6/2/14	12	103	1
6/2/14	12	103	1
6/2/14	12	131	1
6/2/14	12	28	1
6/2/14	12	89	1
6/2/14	12	134	1
6/2/14	12	55	1
6/2/14	12	21	1
6/2/14	12	37	1
6/2/14	12	74	1
6/2/14	12	135	1
6/2/14	12	135	1
6/2/14	12	78	1
6/2/14	13	18	1
6/2/14	13	0	3
6/2/14	13	70	1
6/2/14	13	36	1
6/2/14	13	15	1
6/2/14	13	15	2
6/2/14	13	31	1
6/2/14	13	35	1
6/2/14	13	32	1
6/2/14	13	34	2
6/2/14	13	4	3
6/2/14	13	61	1
6/2/14	13	37	1
6/2/14	13	29	1
6/2/14	13	92	1
6/2/14	13	39	1
6/2/14	13	57	1
6/2/14	13	123	1
6/2/14	13	7	1048
6/2/14	13	59	1
6/2/14	13	59	1
6/2/14	13	61	1
6/2/14	13	123	1
6/2/14	13	50	1
6/2/14	13	8	2
6/2/14	13	9	5
6/2/14	13	30	1
6/2/14	13	63	1
6/2/14	13	63	1
6/2/14	13	84	1
6/2/14	13	64	1
6/2/14	13	102	1
6/2/14	13	23	1
6/2/14	13	25	1
6/2/14	13	136	1
6/2/14	13	22	1
6/2/14	13	100	1
6/2/14	13	137	1
6/2/14	13	46	3
6/2/14	13	109	1
6/2/14	13	67	1
