,amount,country,date,destination_container,destination_lat,destination_lon,hour,origin_container,origin_lat,origin_lon
0,4,sp,12/25/14,0,42.49666667,1.498055556,15,0,42.49666667,1.498055556
1,1,sp,12/25/14,0,42.49666667,1.498055556,15,0,42.49666667,1.5125
2,21,sp,12/25/14,0,42.49666667,1.5125,15,0,42.49666667,1.5125
3,2,sp,12/25/14,0,42.50527778,1.517777778,15,0,42.49666667,1.5125
4,1,sp,12/25/14,0,42.50611111,1.520833333,15,0,42.49666667,1.5125
5,1,sp,12/25/14,0,42.50083333,1.531111111,15,0,42.50083333,1.531111111
6,1,sp,12/25/14,0,42.50777778,1.5325,15,0,42.50083333,1.531111111
7,4,sp,12/25/14,0,42.50416667,1.527222222,15,0,42.50416667,1.527222222
8,1,sp,12/25/14,0,42.50722222,1.538055556,15,0,42.50416667,1.527222222
9,1,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.50416667,1.527222222
10,2,sp,12/25/14,0,42.51138889,1.530555556,15,0,42.50416667,1.527222222
11,8,sp,12/25/14,0,42.50527778,1.517777778,15,0,42.50527778,1.517777778
12,4,sp,12/25/14,0,42.50611111,1.520833333,15,0,42.50527778,1.517777778
13,2,sp,12/25/14,0,42.5075,1.522777778,15,0,42.50527778,1.517777778
14,2,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.50527778,1.517777778
15,3,sp,12/25/14,0,42.50527778,1.517777778,15,0,42.50611111,1.520833333
16,29,sp,12/25/14,0,42.50611111,1.520833333,15,0,42.50611111,1.520833333
17,3,sp,12/25/14,0,42.50722222,1.538055556,15,0,42.50611111,1.520833333
18,1,sp,12/25/14,0,42.5075,1.522777778,15,0,42.50611111,1.520833333
19,2,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.50611111,1.520833333
20,2,sp,12/25/14,0,42.50944444,1.523055556,15,0,42.50611111,1.520833333
21,1,sp,12/25/14,0,42.50083333,1.531111111,15,0,42.50722222,1.538055556
22,1,sp,12/25/14,0,42.50416667,1.527222222,15,0,42.50722222,1.538055556
23,1,sp,12/25/14,0,42.50611111,1.520833333,15,0,42.50722222,1.538055556
24,68,sp,12/25/14,0,42.50722222,1.538055556,15,0,42.50722222,1.538055556
25,2,sp,12/25/14,0,42.5075,1.522777778,15,0,42.50722222,1.538055556
26,7,sp,12/25/14,0,42.51083333,1.540277778,15,0,42.50722222,1.538055556
27,1,sp,12/25/14,0,42.51138889,1.530555556,15,0,42.50722222,1.538055556
28,1,sp,12/25/14,0,42.50527778,1.517777778,15,0,42.5075,1.522777778
29,1,sp,12/25/14,0,42.50722222,1.538055556,15,0,42.5075,1.522777778
30,12,sp,12/25/14,0,42.5075,1.522777778,15,0,42.5075,1.522777778
31,1,sp,12/25/14,0,42.50777778,1.5325,15,0,42.5075,1.522777778
32,3,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.5075,1.522777778
33,2,sp,12/25/14,0,42.51138889,1.530555556,15,0,42.5075,1.522777778
34,1,sp,12/25/14,0,42.50083333,1.531111111,15,0,42.50777778,1.5325
35,1,sp,12/25/14,0,42.50611111,1.520833333,15,0,42.50777778,1.5325
36,2,sp,12/25/14,0,42.50722222,1.538055556,15,0,42.50777778,1.5325
37,70,sp,12/25/14,0,42.50777778,1.5325,15,0,42.50777778,1.5325
38,1,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.50777778,1.5325
39,2,sp,12/25/14,0,42.51083333,1.540277778,15,0,42.50777778,1.5325
40,9,sp,12/25/14,0,42.51138889,1.530555556,15,0,42.50777778,1.5325
41,2,sp,12/25/14,0,42.49666667,1.5125,15,0,42.50833333,1.523611111
42,2,sp,12/25/14,0,42.50083333,1.531111111,15,0,42.50833333,1.523611111
43,2,sp,12/25/14,0,42.50611111,1.520833333,15,0,42.50833333,1.523611111
44,2,sp,12/25/14,0,42.50722222,1.538055556,15,0,42.50833333,1.523611111
45,5,sp,12/25/14,0,42.5075,1.522777778,15,0,42.50833333,1.523611111
46,2,sp,12/25/14,0,42.50777778,1.5325,15,0,42.50833333,1.523611111
47,51,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.50833333,1.523611111
48,2,sp,12/25/14,0,42.50944444,1.523055556,15,0,42.50833333,1.523611111
49,3,sp,12/25/14,0,42.51138889,1.530555556,15,0,42.50833333,1.523611111
50,1,sp,12/25/14,0,42.49666667,1.5125,15,0,42.50944444,1.523055556
51,1,sp,12/25/14,0,42.50527778,1.517777778,15,0,42.50944444,1.523055556
52,1,sp,12/25/14,0,42.50611111,1.520833333,15,0,42.50944444,1.523055556
53,1,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.50944444,1.523055556
54,6,sp,12/25/14,0,42.50944444,1.523055556,15,0,42.50944444,1.523055556
55,5,sp,12/25/14,0,42.50722222,1.538055556,15,0,42.51083333,1.540277778
56,1,sp,12/25/14,0,42.5075,1.522777778,15,0,42.51083333,1.540277778
57,1,sp,12/25/14,0,42.50777778,1.5325,15,0,42.51083333,1.540277778
58,1,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.51083333,1.540277778
59,25,sp,12/25/14,0,42.51083333,1.540277778,15,0,42.51083333,1.540277778
60,3,sp,12/25/14,0,42.51138889,1.530555556,15,0,42.51083333,1.540277778
61,3,sp,12/25/14,0,42.50416667,1.527222222,15,0,42.51138889,1.530555556
62,8,sp,12/25/14,0,42.50722222,1.538055556,15,0,42.51138889,1.530555556
63,5,sp,12/25/14,0,42.50777778,1.5325,15,0,42.51138889,1.530555556
64,1,sp,12/25/14,0,42.50833333,1.523611111,15,0,42.51138889,1.530555556
65,1,sp,12/25/14,0,42.51083333,1.540277778,15,0,42.51138889,1.530555556
66,25,sp,12/25/14,0,42.51138889,1.530555556,15,0,42.51138889,1.530555556
67,1,fr,12/25/14,0,42.49666667,1.498055556,15,0,42.49666667,1.498055556
68,1,fr,12/25/14,0,42.50083333,1.531111111,15,0,42.49666667,1.498055556
69,1,fr,12/25/14,0,42.49666667,1.498055556,15,0,42.49666667,1.5125
70,6,fr,12/25/14,0,42.49666667,1.5125,15,0,42.49666667,1.5125
71,1,fr,12/25/14,0,42.50083333,1.531111111,15,0,42.49666667,1.5125
72,3,fr,12/25/14,0,42.50833333,1.523611111,15,0,42.49666667,1.5125
73,1,fr,12/25/14,0,42.49666667,1.498055556,15,0,42.50083333,1.531111111
74,3,fr,12/25/14,0,42.50083333,1.531111111,15,0,42.50083333,1.531111111
75,7,fr,12/25/14,0,42.50416667,1.527222222,15,0,42.50416667,1.527222222
76,1,fr,12/25/14,0,42.50611111,1.520833333,15,0,42.50416667,1.527222222
77,1,fr,12/25/14,0,42.50833333,1.523611111,15,0,42.50416667,1.527222222
78,1,fr,12/25/14,0,42.51138889,1.530555556,15,0,42.50416667,1.527222222
79,32,fr,12/25/14,0,42.50611111,1.520833333,15,0,42.50611111,1.520833333
80,1,fr,12/25/14,0,42.50722222,1.538055556,15,0,42.50611111,1.520833333
81,2,fr,12/25/14,0,42.5075,1.522777778,15,0,42.50611111,1.520833333
82,1,fr,12/25/14,0,42.50777778,1.5325,15,0,42.50611111,1.520833333
83,1,fr,12/25/14,0,42.50944444,1.523055556,15,0,42.50611111,1.520833333
84,1,fr,12/25/14,0,42.51138889,1.530555556,15,0,42.50611111,1.520833333
85,1,fr,12/25/14,0,42.50722222,1.5225,15,0,42.50722222,1.5225
86,1,fr,12/25/14,0,42.49666667,1.5125,15,0,42.50722222,1.538055556
87,1,fr,12/25/14,0,42.50416667,1.527222222,15,0,42.50722222,1.538055556
88,1,fr,12/25/14,0,42.50611111,1.520833333,15,0,42.50722222,1.538055556
89,51,fr,12/25/14,0,42.50722222,1.538055556,15,0,42.50722222,1.538055556
90,6,fr,12/25/14,0,42.51083333,1.540277778,15,0,42.50722222,1.538055556
91,1,fr,12/25/14,0,42.51138889,1.530555556,15,0,42.50722222,1.538055556
92,1,fr,12/25/14,0,42.50611111,1.520833333,15,0,42.5075,1.522777778
93,1,fr,12/25/14,0,42.50722222,1.538055556,15,0,42.5075,1.522777778
94,8,fr,12/25/14,0,42.5075,1.522777778,15,0,42.5075,1.522777778
95,2,fr,12/25/14,0,42.50833333,1.523611111,15,0,42.5075,1.522777778
96,3,fr,12/25/14,0,42.51138889,1.530555556,15,0,42.5075,1.522777778
97,1,fr,12/25/14,0,42.49666667,1.5125,15,0,42.50777778,1.5325
98,1,fr,12/25/14,0,42.50611111,1.520833333,15,0,42.50777778,1.5325
99,1,fr,12/25/14,0,42.50722222,1.538055556,15,0,42.50777778,1.5325
100,19,fr,12/25/14,0,42.50777778,1.5325,15,0,42.50777778,1.5325
101,1,fr,12/25/14,0,42.50833333,1.523611111,15,0,42.50777778,1.5325
102,1,fr,12/25/14,0,42.51083333,1.540277778,15,0,42.50777778,1.5325
103,6,fr,12/25/14,0,42.51138889,1.530555556,15,0,42.50777778,1.5325
104,2,fr,12/25/14,0,42.49666667,1.5125,15,0,42.50833333,1.523611111
105,2,fr,12/25/14,0,42.50611111,1.520833333,15,0,42.50833333,1.523611111
106,1,fr,12/25/14,0,42.50722222,1.538055556,15,0,42.50833333,1.523611111
107,2,fr,12/25/14,0,42.5075,1.522777778,15,0,42.50833333,1.523611111
108,11,fr,12/25/14,0,42.50833333,1.523611111,15,0,42.50833333,1.523611111
109,3,fr,12/25/14,0,42.51138889,1.530555556,15,0,42.50833333,1.523611111
110,1,fr,12/25/14,0,42.5075,1.522777778,15,0,42.50944444,1.523055556
111,1,fr,12/25/14,0,42.50777778,1.5325,15,0,42.50944444,1.523055556
112,1,fr,12/25/14,0,42.50833333,1.523611111,15,0,42.50944444,1.523055556
113,14,fr,12/25/14,0,42.50944444,1.523055556,15,0,42.50944444,1.523055556
114,1,fr,12/25/14,0,42.50611111,1.520833333,15,0,42.51083333,1.540277778
115,6,fr,12/25/14,0,42.50722222,1.538055556,15,0,42.51083333,1.540277778
116,1,fr,12/25/14,0,42.50833333,1.523611111,15,0,42.51083333,1.540277778
117,21,fr,12/25/14,0,42.51083333,1.540277778,15,0,42.51083333,1.540277778
