EDGE_ID	LAT_D	LON_D	CON_D	LAT_O	LON_O	CON_O	NATION
0	42.460278	1.4911112	1	42.460278	1.4911112	1	fr
1	42.50778	1.5325	0	42.50778	1.5325	0	fr
2	42.508335	1.5236111	0	42.508335	1.5236111	0	fr
3	0.0	0.0	4	0.0	0.0	4	fr
4	42.50722	1.5380555	0	42.50722	1.5380555	0	fr
5	42.50611	1.5208334	0	42.50722	1.5380555	0	fr
6	0.0	0.0	2	0.0	0.0	2	fr
7	0.0	0.0	5	0.0	0.0	5	fr
8	0.0	0.0	4	0.0	0.0	5	fr
9	0.0	0.0	6	0.0	0.0	6	fr
10	0.0	0.0	2	0.0	0.0	0	fr
11	0.0	0.0	3	0.0	0.0	3	fr
12	42.50083	1.5311111	0	42.50083	1.5311111	0	fr
13	42.51139	1.5305556	0	42.51139	1.5305556	0	fr
14	42.5075	1.5227778	0	42.5075	1.5227778	0	fr
15	42.508335	1.5236111	0	42.5075	1.5227778	0	fr
16	42.50611	1.5208334	0	42.50611	1.5208334	0	fr
17	42.510834	1.5402777	0	42.50611	1.5208334	0	fr
18	42.510834	1.5402777	0	42.510834	1.5402777	0	fr
19	42.51139	1.5305556	0	42.510834	1.5402777	0	fr
20	42.50083	1.5311111	0	42.510834	1.5402777	0	fr
21	42.50722	1.5380555	0	42.510834	1.5402777	0	fr
22	42.50611	1.5208334	0	42.510834	1.5402777	0	fr
23	42.510834	1.5402777	0	42.50722	1.5380555	0	fr
24	42.504166	1.5272223	0	42.50722	1.5380555	0	fr
25	42.50778	1.5325	0	42.50722	1.5380555	0	fr
26	42.510834	1.5402777	0	42.504166	1.5272223	0	fr
27	42.50722	1.5380555	0	42.504166	1.5272223	0	fr
28	42.504166	1.5272223	0	42.504166	1.5272223	0	fr
29	42.50083	1.5311111	0	42.504166	1.5272223	0	fr
30	42.50722	1.5380555	0	42.50611	1.5208334	0	fr
31	42.50611	1.5208334	0	42.51139	1.5305556	0	fr
32	42.510834	1.5402777	0	42.51139	1.5305556	0	fr
33	42.50778	1.5325	0	42.51139	1.5305556	0	fr
34	42.50611	1.5208334	0	42.50083	1.5311111	0	fr
35	42.50778	1.5325	0	42.50083	1.5311111	0	fr
36	0.0	0.0	5	0.0	0.0	6	fr
37	42.50722	1.5380555	0	42.50778	1.5325	0	fr
38	42.51139	1.5305556	0	42.50778	1.5325	0	fr
39	42.50083	1.5311111	0	42.50778	1.5325	0	fr
40	42.51139	1.5305556	0	42.508335	1.5236111	0	fr
41	42.5075	1.5227778	0	42.508335	1.5236111	0	fr
42	42.51139	1.5305556	0	42.50722	1.5380555	0	fr
43	0.0	0.0	1	0.0	0.0	1	sp
44	0.0	0.0	5	0.0	0.0	1	sp
45	42.496666	1.5125	0	42.496666	1.5125	0	sp
46	42.50722	1.5380555	0	42.50778	1.5325	0	sp
47	42.51139	1.5305556	0	42.50778	1.5325	0	sp
48	42.50778	1.5325	0	42.50778	1.5325	0	sp
49	42.508335	1.5236111	0	42.508335	1.5236111	0	sp
50	42.50778	1.5325	0	42.508335	1.5236111	0	sp
51	0.0	0.0	4	0.0	0.0	4	sp
52	42.50722	1.5380555	0	42.50722	1.5380555	0	sp
53	42.51139	1.5305556	0	42.50722	1.5380555	0	sp
54	42.510834	1.5402777	0	42.50722	1.5380555	0	sp
55	42.50778	1.5325	0	42.50722	1.5380555	0	sp
56	0.0	0.0	0	0.0	0.0	2	sp
57	0.0	0.0	2	0.0	0.0	2	sp
58	0.0	0.0	5	0.0	0.0	5	sp
59	42.50722	1.5380555	0	42.51139	1.5305556	0	sp
60	42.51139	1.5305556	0	42.51139	1.5305556	0	sp
61	42.50083	1.5311111	0	42.51139	1.5305556	0	sp
62	42.50528	1.5177778	0	42.50528	1.5177778	0	sp
63	42.5075	1.5227778	0	42.5075	1.5227778	0	sp
64	42.50611	1.5208334	0	42.50611	1.5208334	0	sp
65	42.50083	1.5311111	0	42.50611	1.5208334	0	sp
66	42.50778	1.5325	0	42.50611	1.5208334	0	sp
67	42.50722	1.5380555	0	42.510834	1.5402777	0	sp
68	42.510834	1.5402777	0	42.510834	1.5402777	0	sp
69	0.0	0.0	1	0.0	0.0	0	sp
70	42.50611	1.5208334	0	42.50722	1.5380555	0	sp
71	42.504166	1.5272223	0	42.50722	1.5380555	0	sp
72	42.517223	1.5677778	0	42.517223	1.5677778	0	sp
73	42.517223	1.5677778	0	42.509445	1.5230556	0	sp
74	42.50611	1.5208334	0	42.496666	1.4980556	0	sp
75	42.496666	1.4980556	0	42.496666	1.4980556	0	sp
76	42.509445	1.5230556	0	42.509445	1.5230556	0	sp
77	42.504166	1.5272223	0	42.504166	1.5272223	0	sp
78	42.51139	1.5305556	0	42.504166	1.5272223	0	sp
79	42.50778	1.5325	0	42.51139	1.5305556	0	sp
80	42.504166	1.5272223	0	42.51139	1.5305556	0	sp
81	42.51139	1.5305556	0	42.50083	1.5311111	0	sp
82	42.50611	1.5208334	0	42.50083	1.5311111	0	sp
83	42.50083	1.5311111	0	42.50083	1.5311111	0	sp
84	42.50778	1.5325	0	42.50083	1.5311111	0	sp
85	0.0	0.0	4	0.0	0.0	2	sp
86	0.0	0.0	3	0.0	0.0	3	sp
87	0.0	0.0	0	0.0	0.0	4	sp
88	0.0	0.0	0	0.0	0.0	1	sp
89	42.50083	1.5311111	0	42.50778	1.5325	0	sp
90	42.508335	1.5236111	0	42.50778	1.5325	0	sp
91	42.50611	1.5208334	0	42.50778	1.5325	0	sp
92	0.0	0.0	1	0.0	0.0	1	other
93	42.50778	1.5325	0	42.50778	1.5325	0	other
94	42.51139	1.5305556	0	42.50778	1.5325	0	other
95	42.508335	1.5236111	0	42.508335	1.5236111	0	other
96	0.0	0.0	4	0.0	0.0	4	other
97	42.50722	1.5380555	0	42.50722	1.5380555	0	other
98	42.50778	1.5325	0	42.50722	1.5380555	0	other
99	0.0	0.0	2	0.0	0.0	2	other
100	0.0	0.0	5	0.0	0.0	5	other
101	0.0	0.0	0	0.0	0.0	2	other
102	0.0	0.0	2	0.0	0.0	3	other
103	0.0	0.0	3	0.0	0.0	3	other
104	42.51139	1.5305556	0	42.51139	1.5305556	0	other
105	42.508335	1.5236111	0	42.51139	1.5305556	0	other
106	42.510834	1.5402777	0	42.51139	1.5305556	0	other
107	42.5075	1.5227778	0	42.5075	1.5227778	0	other
108	42.50083	1.5311111	0	42.50611	1.5208334	0	other
109	42.50611	1.5208334	0	42.50611	1.5208334	0	other
110	42.510834	1.5402777	0	42.510834	1.5402777	0	other
111	42.50722	1.5380555	0	42.510834	1.5402777	0	other
112	42.496666	1.4980556	0	42.496666	1.4980556	0	other
113	42.504166	1.5272223	0	42.496666	1.4980556	0	other
114	42.50083	1.5311111	0	42.50722	1.5380555	0	other
115	42.510834	1.5402777	0	42.50722	1.5380555	0	other
116	42.496666	1.5125	0	42.496666	1.5125	0	other
117	42.50083	1.5311111	0	42.496666	1.5125	0	other
118	42.496666	1.4980556	0	42.496666	1.5125	0	other
119	0.0	0.0	1	0.0	0.0	0	other
120	42.509445	1.5230556	0	42.509445	1.5230556	0	other
121	42.504166	1.5272223	0	42.504166	1.5272223	0	other
122	42.50611	1.5208334	0	42.504166	1.5272223	0	other
123	42.510834	1.5402777	0	42.504166	1.5272223	0	other
124	42.50778	1.5325	0	42.50611	1.5208334	0	other
125	42.50611	1.5208334	0	42.510834	1.5402777	0	other
126	42.508335	1.5236111	0	42.510834	1.5402777	0	other
127	42.509445	1.5230556	0	42.510834	1.5402777	0	other
128	42.50722	1.5380555	0	42.50083	1.5311111	0	other
129	42.50083	1.5311111	0	42.50083	1.5311111	0	other
130	42.496666	1.4980556	0	42.50083	1.5311111	0	other
131	0.0	0.0	6	0.0	0.0	6	other
132	42.50722	1.5380555	0	42.508335	1.5236111	0	other
133	42.51139	1.5305556	0	42.508335	1.5236111	0	other
134	42.51139	1.5305556	0	42.510834	1.5402777	0	other
135	42.504166	1.5272223	0	42.51139	1.5305556	0	fr
136	42.50528	1.5177778	0	42.50528	1.5177778	0	fr
137	42.510834	1.5402777	0	42.50778	1.5325	0	fr
138	42.50778	1.5325	0	42.504166	1.5272223	0	fr
139	42.508335	1.5236111	0	42.504166	1.5272223	0	fr
140	42.50778	1.5325	0	42.50611	1.5208334	0	fr
141	42.51139	1.5305556	0	42.50611	1.5208334	0	fr
142	42.50083	1.5311111	0	42.50611	1.5208334	0	fr
143	42.509445	1.5230556	0	42.509445	1.5230556	0	fr
144	0.0	0.0	2	0.0	0.0	0	sp
145	0.0	0.0	2	0.0	0.0	1	sp
146	0.0	0.0	3	0.0	0.0	2	sp
147	42.496666	1.5125	0	42.50611	1.5208334	0	sp
148	42.50722	1.5380555	0	42.504166	1.5272223	0	sp
149	42.50611	1.5208334	0	42.508335	1.5236111	0	sp
150	42.50722	1.5380555	0	42.50083	1.5311111	0	sp
151	42.508335	1.5236111	0	42.50083	1.5311111	0	sp
152	42.50083	1.5311111	0	42.508335	1.5236111	0	sp
153	42.508335	1.5236111	0	42.50611	1.5208334	0	sp
154	42.51139	1.5305556	0	42.50722	1.5380555	0	other
155	0.0	0.0	2	0.0	0.0	1	other
156	0.0	0.0	0	0.0	0.0	1	other
157	42.496666	1.4980556	0	42.50611	1.5208334	0	other
158	0.0	0.0	2	0.0	0.0	0	other
159	42.50611	1.5208334	0	42.496666	1.4980556	0	other
160	42.510834	1.5402777	0	42.50778	1.5325	0	other
161	42.496666	1.5125	0	42.509445	1.5230556	0	other
162	42.508335	1.5236111	0	42.50611	1.5208334	0	other
163	42.496666	1.5125	0	42.50083	1.5311111	0	other
164	0.0	0.0	3	0.0	0.0	2	other
