shapeid,Lat,Lon
0,1.5380958,42.5072958
0,1.5379936,42.5076888
0,1.5383445,42.5077383
0,1.5384467,42.5073453
0,1.5380958,42.5072958
1,1.5224977,42.505488
1,1.5221067,42.5051574
1,1.5223774,42.5049479
1,1.5227927,42.5050743
1,1.5224977,42.505488
2,1.5341619,42.5099435
2,1.5346863,42.5101343
2,1.5351168,42.5105397
2,1.5349505,42.5106662
2,1.5341619,42.5099435
3,1.5306574,42.5103442
3,1.5308454,42.5103668
3,1.5308567,42.5103158
3,1.5306687,42.5102932
3,1.5306574,42.5103442
4,1.5215706,42.5073074
4,1.5218245,42.5073271
4,1.5218539,42.5070923
4,1.5216018,42.5070765
4,1.5215706,42.5073074
5,1.5293594,42.5093556
5,1.5295498,42.5091994
5,1.5299453,42.5094304
5,1.530656,42.5095768
5,1.5304162,42.5097787
5,1.5300004,42.5097431
5,1.5293594,42.5093556
6,1.5341731,42.5090638
6,1.5345066,42.5085508
6,1.5352484,42.508606
6,1.5351921,42.509146
6,1.5341731,42.5090638
7,1.5367725,42.5120048
7,1.5380077,42.5109839
7,1.5383118,42.5114063
7,1.5367725,42.5120048
8,1.5420157,42.5107971
8,1.5421712,42.5108208
8,1.5423188,42.5104708
8,1.5421015,42.5104313
8,1.5420157,42.5107971
9,1.5375289,42.5127394
9,1.5377657,42.5127314
9,1.5377572,42.5125962
9,1.5375204,42.5126042
9,1.5375289,42.5127394
10,1.5368518,42.5125481
10,1.5368983,42.5126401
10,1.5371635,42.5125674
10,1.537117,42.5124753
10,1.5368518,42.5125481
11,1.5409456,42.5087328
11,1.5413243,42.5087726
11,1.5413013,42.5089048
11,1.5409238,42.5088605
11,1.5409456,42.5087328
12,1.5439735,42.5090096
12,1.5438293,42.5092027
12,1.544078,42.5092553
12,1.5439735,42.5090096
13,1.5418362,42.5088563
13,1.5415842,42.5088232
13,1.541559,42.5089277
13,1.541811,42.5089608
13,1.5418362,42.5088563
14,1.520357,42.5064102
14,1.5206255,42.506168
14,1.5210318,42.5064154
14,1.5207527,42.5066524
14,1.520357,42.5064102
15,1.5327842,42.5069521
15,1.5328442,42.5066613
15,1.5324054,42.5066703
15,1.5326126,42.5069869
15,1.5327842,42.5069521
16,1.5335159,42.5067414
16,1.5340792,42.5068837
16,1.5341006,42.506603
16,1.5336393,42.5064764
16,1.5335159,42.5067414
17,1.5346907,42.5067137
17,1.5352915,42.5073741
17,1.5347497,42.5074018
17,1.5343689,42.5071289
17,1.5346907,42.5067137
18,1.5326783,42.5073343
18,1.5333274,42.5076527
18,1.5327266,42.5079196
18,1.5326783,42.5073343
19,1.53723,42.5082281
19,1.5372837,42.5080481
19,1.5378013,42.5081252
19,1.5378201,42.5083131
19,1.53723,42.5082281
20,1.5386677,42.508843
20,1.5386543,42.5087362
20,1.5380749,42.5087441
20,1.5379998,42.5088687
20,1.5386677,42.508843
21,1.5322616,42.5074249
21,1.5319907,42.5074309
21,1.5318164,42.5072351
21,1.5319011,42.5070845
21,1.5322616,42.5074249
22,1.5380206,42.5092845
22,1.5382217,42.5092813
22,1.5382099,42.5088661
22,1.5380087,42.5088692
22,1.5380206,42.5092845
23,1.5323886,42.5073561
23,1.5326542,42.5071702
23,1.5322223,42.5068637
23,1.531989,42.5070081
23,1.5323886,42.5073561
24,1.5328459,42.507144
24,1.5329632,42.5070488
24,1.5339657,42.5077195
24,1.5338484,42.5078148
24,1.5328459,42.507144
25,1.5322602,42.5088699
25,1.5323378,42.5083825
25,1.5318902,42.5083518
25,1.5317606,42.5091435
25,1.5322602,42.5088699
26,1.5392889,42.5108556
26,1.5391368,42.5108576
26,1.5390011,42.5106714
26,1.5392672,42.5106554
26,1.5392889,42.5108556
27,1.539717,42.5111837
27,1.5398017,42.5113743
27,1.5399769,42.5113347
27,1.5398963,42.5111411
27,1.539717,42.5111837
28,1.5384479,42.5111226
28,1.5386326,42.5110516
28,1.5385009,42.5108504
28,1.5383135,42.5109265
28,1.5384479,42.5111226
29,1.5389028,42.5109415
29,1.5390793,42.5108724
29,1.5389503,42.5106792
29,1.5387724,42.5107483
29,1.5389028,42.5109415
30,1.5386774,42.5110385
30,1.5388593,42.5109655
30,1.538729,42.5107643
30,1.5385348,42.5108384
30,1.5386774,42.5110385
31,1.5250032,42.5080324
31,1.5247216,42.5080196
31,1.524621,42.5082025
31,1.5248262,42.5083775
31,1.5250032,42.5080324
32,1.5248295,42.5091155
32,1.5249757,42.5089564
32,1.5250776,42.5091284
32,1.5248295,42.5091155
33,1.526326,42.5089765
33,1.5262624,42.5090758
33,1.5258779,42.5089301
33,1.5259329,42.5088442
33,1.526326,42.5089765
34,1.5295003,42.5092082
34,1.5292468,42.5090511
34,1.5290846,42.5092023
34,1.5293394,42.5093427
34,1.5295003,42.5092082
35,1.5303742,42.5095059
35,1.5304581,42.5093906
35,1.530619,42.5095306
35,1.5303742,42.5095059
36,1.5300706,42.5061441
36,1.5298732,42.5060041
36,1.5296648,42.5061639
36,1.5298622,42.5063038
36,1.5300706,42.5061441
37,1.531866,42.5066701
37,1.5315039,42.5065653
37,1.5311767,42.5070379
37,1.5316967,42.5072334
37,1.531866,42.5066701
38,1.5300827,42.5057607
38,1.5295946,42.5056381
38,1.5299001,42.5059227
38,1.5300827,42.5057607
39,1.5298297,42.5059722
39,1.5296425,42.5058387
39,1.5294335,42.5059979
39,1.5296207,42.5061314
39,1.5298297,42.5059722
40,1.5302084,42.5060354
40,1.5304737,42.5058256
40,1.5301974,42.5057524
40,1.5302084,42.5060354
41,1.5301789,42.5061085
