,amount,country,date,destination_container,destination_lat,destination_lon,hour,origin_container,origin_lat,origin_lon
0,7,sp,12/25/14,0,42.49666667,1.5125,4,0,42.49666667,1.5125
1,1,sp,12/25/14,0,42.50833333,1.523611111,4,0,42.49666667,1.5125
2,1,sp,12/25/14,0,42.49666667,1.5125,4,0,42.50083333,1.531111111
3,1,sp,12/25/14,0,42.49666667,1.5125,4,0,42.50416667,1.527222222
4,2,sp,12/25/14,0,42.50611111,1.520833333,4,0,42.50611111,1.520833333
5,1,sp,12/25/14,0,42.50416667,1.527222222,4,0,42.50722222,1.538055556
6,9,sp,12/25/14,0,42.50722222,1.538055556,4,0,42.50722222,1.538055556
7,1,sp,12/25/14,0,42.50722222,1.538055556,4,0,42.50777778,1.5325
8,6,sp,12/25/14,0,42.50777778,1.5325,4,0,42.50777778,1.5325
9,1,sp,12/25/14,0,42.50722222,1.538055556,4,0,42.50833333,1.523611111
10,5,sp,12/25/14,0,42.50833333,1.523611111,4,0,42.50833333,1.523611111
11,1,sp,12/25/14,0,42.50944444,1.523055556,4,0,42.50833333,1.523611111
12,1,sp,12/25/14,0,42.5075,1.522777778,4,0,42.50944444,1.523055556
13,1,sp,12/25/14,0,42.50944444,1.523055556,4,0,42.50944444,1.523055556
14,2,sp,12/25/14,0,42.50722222,1.538055556,4,0,42.51083333,1.540277778
15,3,sp,12/25/14,0,42.51083333,1.540277778,4,0,42.51083333,1.540277778
16,1,sp,12/25/14,0,42.51138889,1.530555556,4,0,42.51138889,1.530555556
17,1,fr,12/25/14,0,42.49666667,1.5125,4,0,42.49666667,1.5125
18,1,fr,12/25/14,0,42.50527778,1.517777778,4,0,42.49666667,1.5125
19,2,fr,12/25/14,0,42.50416667,1.527222222,4,0,42.50416667,1.527222222
20,1,fr,12/25/14,0,42.50833333,1.523611111,4,0,42.50416667,1.527222222
21,6,fr,12/25/14,0,42.50611111,1.520833333,4,0,42.50611111,1.520833333
22,1,fr,12/25/14,0,42.50833333,1.523611111,4,0,42.50611111,1.520833333
23,4,fr,12/25/14,0,42.50722222,1.538055556,4,0,42.50722222,1.538055556
24,1,fr,12/25/14,0,42.50833333,1.523611111,4,0,42.50722222,1.538055556
25,8,fr,12/25/14,0,42.5075,1.522777778,4,0,42.5075,1.522777778
26,1,fr,12/25/14,0,42.50833333,1.523611111,4,0,42.5075,1.522777778
27,1,fr,12/25/14,0,42.50944444,1.523055556,4,0,42.5075,1.522777778
28,12,fr,12/25/14,0,42.50777778,1.5325,4,0,42.50777778,1.5325
29,3,fr,12/25/14,0,42.51138889,1.530555556,4,0,42.50777778,1.5325
30,1,fr,12/25/14,0,42.49666667,1.5125,4,0,42.50833333,1.523611111
31,2,fr,12/25/14,0,42.50416667,1.527222222,4,0,42.50833333,1.523611111
32,1,fr,12/25/14,0,42.5075,1.522777778,4,0,42.50833333,1.523611111
33,13,fr,12/25/14,0,42.50833333,1.523611111,4,0,42.50833333,1.523611111
34,1,fr,12/25/14,0,42.50944444,1.523055556,4,0,42.50833333,1.523611111
35,1,fr,12/25/14,0,42.51138889,1.530555556,4,0,42.50833333,1.523611111
36,1,fr,12/25/14,0,42.50833333,1.523611111,4,0,42.50944444,1.523055556
37,2,fr,12/25/14,0,42.50722222,1.538055556,4,0,42.51083333,1.540277778
38,7,fr,12/25/14,0,42.51083333,1.540277778,4,0,42.51083333,1.540277778
39,4,fr,12/25/14,0,42.51138889,1.530555556,4,0,42.51138889,1.530555556
40,44,sp,12/25/14,0,0.0,0.0,4,0,0.0,0.0
41,1,sp,12/25/14,1,0.0,0.0,4,0,0.0,0.0
42,2,sp,12/25/14,2,0.0,0.0,4,0,0.0,0.0
43,0,sp,12/25/14,3,0.0,0.0,4,0,0.0,0.0
44,0,sp,12/25/14,4,0.0,0.0,4,0,0.0,0.0
45,0,sp,12/25/14,5,0.0,0.0,4,0,0.0,0.0
46,0,sp,12/25/14,6,0.0,0.0,4,0,0.0,0.0
47,1,sp,12/25/14,0,0.0,0.0,4,1,0.0,0.0
48,18,sp,12/25/14,1,0.0,0.0,4,1,0.0,0.0
49,0,sp,12/25/14,2,0.0,0.0,4,1,0.0,0.0
50,0,sp,12/25/14,3,0.0,0.0,4,1,0.0,0.0
51,0,sp,12/25/14,4,0.0,0.0,4,1,0.0,0.0
52,0,sp,12/25/14,5,0.0,0.0,4,1,0.0,0.0
53,0,sp,12/25/14,6,0.0,0.0,4,1,0.0,0.0
54,1,sp,12/25/14,0,0.0,0.0,4,2,0.0,0.0
55,0,sp,12/25/14,1,0.0,0.0,4,2,0.0,0.0
56,12,sp,12/25/14,2,0.0,0.0,4,2,0.0,0.0
57,0,sp,12/25/14,3,0.0,0.0,4,2,0.0,0.0
58,0,sp,12/25/14,4,0.0,0.0,4,2,0.0,0.0
59,0,sp,12/25/14,5,0.0,0.0,4,2,0.0,0.0
60,0,sp,12/25/14,6,0.0,0.0,4,2,0.0,0.0
61,0,sp,12/25/14,0,0.0,0.0,4,3,0.0,0.0
62,0,sp,12/25/14,1,0.0,0.0,4,3,0.0,0.0
63,0,sp,12/25/14,2,0.0,0.0,4,3,0.0,0.0
64,4,sp,12/25/14,3,0.0,0.0,4,3,0.0,0.0
65,0,sp,12/25/14,4,0.0,0.0,4,3,0.0,0.0
66,0,sp,12/25/14,5,0.0,0.0,4,3,0.0,0.0
67,0,sp,12/25/14,6,0.0,0.0,4,3,0.0,0.0
68,1,sp,12/25/14,0,0.0,0.0,4,4,0.0,0.0
69,0,sp,12/25/14,1,0.0,0.0,4,4,0.0,0.0
70,0,sp,12/25/14,2,0.0,0.0,4,4,0.0,0.0
71,0,sp,12/25/14,3,0.0,0.0,4,4,0.0,0.0
72,7,sp,12/25/14,4,0.0,0.0,4,4,0.0,0.0
73,0,sp,12/25/14,5,0.0,0.0,4,4,0.0,0.0
74,0,sp,12/25/14,6,0.0,0.0,4,4,0.0,0.0
75,0,sp,12/25/14,0,0.0,0.0,4,5,0.0,0.0
76,0,sp,12/25/14,1,0.0,0.0,4,5,0.0,0.0
77,0,sp,12/25/14,2,0.0,0.0,4,5,0.0,0.0
78,0,sp,12/25/14,3,0.0,0.0,4,5,0.0,0.0
79,0,sp,12/25/14,4,0.0,0.0,4,5,0.0,0.0
80,18,sp,12/25/14,5,0.0,0.0,4,5,0.0,0.0
81,3,sp,12/25/14,6,0.0,0.0,4,5,0.0,0.0
82,0,sp,12/25/14,0,0.0,0.0,4,6,0.0,0.0
83,0,sp,12/25/14,1,0.0,0.0,4,6,0.0,0.0
84,0,sp,12/25/14,2,0.0,0.0,4,6,0.0,0.0
85,0,sp,12/25/14,3,0.0,0.0,4,6,0.0,0.0
86,0,sp,12/25/14,4,0.0,0.0,4,6,0.0,0.0
87,0,sp,12/25/14,5,0.0,0.0,4,6,0.0,0.0
88,5,sp,12/25/14,6,0.0,0.0,4,6,0.0,0.0
89,75,fr,12/25/14,0,0.0,0.0,4,0,0.0,0.0
90,0,fr,12/25/14,1,0.0,0.0,4,0,0.0,0.0
91,0,fr,12/25/14,2,0.0,0.0,4,0,0.0,0.0
92,1,fr,12/25/14,3,0.0,0.0,4,0,0.0,0.0
93,1,fr,12/25/14,4,0.0,0.0,4,0,0.0,0.0
94,0,fr,12/25/14,5,0.0,0.0,4,0,0.0,0.0
95,1,fr,12/25/14,6,0.0,0.0,4,0,0.0,0.0
96,0,fr,12/25/14,0,0.0,0.0,4,1,0.0,0.0
97,6,fr,12/25/14,1,0.0,0.0,4,1,0.0,0.0
98,0,fr,12/25/14,2,0.0,0.0,4,1,0.0,0.0
