EDGE_ID	LAT_D	LON_D	CON_D	LAT_O	LON_O	CON_O	NATION
0	42.50778	1.5325	0	42.50778	1.5325	0	fr
1	42.50722	1.5380555	0	42.508335	1.5236111	0	fr
2	42.508335	1.5236111	0	42.508335	1.5236111	0	fr
3	42.50722	1.5380555	0	42.50722	1.5380555	0	fr
4	42.510834	1.5402777	0	42.50722	1.5380555	0	fr
5	42.50778	1.5325	0	42.50722	1.5380555	0	fr
6	42.51139	1.5305556	0	42.50722	1.5380555	0	fr
7	0.0	0.0	5	0.0	0.0	5	fr
8	0.0	0.0	2	0.0	0.0	2	fr
9	0.0	0.0	6	0.0	0.0	6	fr
10	0.0	0.0	4	0.0	0.0	4	fr
11	0.0	0.0	1	0.0	0.0	1	fr
12	42.50778	1.5325	0	42.51139	1.5305556	0	fr
13	42.508335	1.5236111	0	42.51139	1.5305556	0	fr
14	42.51139	1.5305556	0	42.51139	1.5305556	0	fr
15	42.50611	1.5208334	0	42.51139	1.5305556	0	fr
16	42.50611	1.5208334	0	42.50611	1.5208334	0	fr
17	42.508335	1.5236111	0	42.50611	1.5208334	0	fr
18	42.51139	1.5305556	0	42.510834	1.5402777	0	fr
19	42.510834	1.5402777	0	42.510834	1.5402777	0	fr
20	42.496666	1.5125	0	42.50722	1.5380555	0	fr
21	42.508335	1.5236111	0	42.50722	1.5380555	0	fr
22	42.509445	1.5230556	0	42.509445	1.5230556	0	fr
23	42.51139	1.5305556	0	42.504166	1.5272223	0	fr
24	42.504166	1.5272223	0	42.504166	1.5272223	0	fr
25	42.508335	1.5236111	0	42.510834	1.5402777	0	fr
26	42.50083	1.5311111	0	42.508335	1.5236111	0	fr
27	42.50722	1.5380555	0	42.51139	1.5305556	0	fr
28	42.510834	1.5402777	0	42.51139	1.5305556	0	fr
29	42.51139	1.5305556	0	42.50083	1.5311111	0	fr
30	42.50083	1.5311111	0	42.50083	1.5311111	0	fr
31	42.508335	1.5236111	0	42.50083	1.5311111	0	fr
32	0.0	0.0	3	0.0	0.0	3	fr
33	0.0	0.0	4	0.0	0.0	5	fr
34	42.496666	1.5125	0	42.496666	1.5125	0	fr
35	42.51139	1.5305556	0	42.50778	1.5325	0	fr
36	42.504166	1.5272223	0	42.50611	1.5208334	0	fr
37	42.50722	1.5380555	0	42.510834	1.5402777	0	fr
38	0.0	0.0	4	0.0	0.0	0	fr
39	42.50611	1.5208334	0	42.504166	1.5272223	0	fr
40	42.50083	1.5311111	0	42.50611	1.5208334	0	fr
41	42.50611	1.5208334	0	42.50083	1.5311111	0	fr
42	0.0	0.0	5	0.0	0.0	6	fr
43	0.0	0.0	0	0.0	0.0	5	fr
44	0.0	0.0	4	0.0	0.0	6	fr
45	0.0	0.0	5	0.0	0.0	4	fr
46	42.50722	1.5380555	0	42.50778	1.5325	0	fr
47	42.504166	1.5272223	0	42.508335	1.5236111	0	fr
48	42.51139	1.5305556	0	42.50611	1.5208334	0	fr
49	42.508335	1.5236111	0	42.496666	1.5125	0	fr
50	0.0	0.0	4	0.0	0.0	2	fr
51	0.0	0.0	0	0.0	0.0	2	fr
52	0.0	0.0	2	0.0	0.0	4	fr
53	42.51139	1.5305556	0	42.508335	1.5236111	0	fr
54	42.510834	1.5402777	0	42.508335	1.5236111	0	fr
55	0.0	0.0	1	0.0	0.0	4	fr
56	42.5075	1.5227778	0	42.5075	1.5227778	0	fr
57	0.0	0.0	0	0.0	0.0	6	fr
58	0.0	0.0	0	0.0	0.0	4	fr
59	42.508335	1.5236111	0	42.509445	1.5230556	0	fr
60	42.510834	1.5402777	0	42.50778	1.5325	0	fr
61	42.5075	1.5227778	0	42.50722	1.5380555	0	fr
62	0.0	0.0	1	0.0	0.0	0	fr
63	0.0	0.0	1	0.0	0.0	5	fr
64	42.50611	1.5208334	0	42.510834	1.5402777	0	fr
65	42.50083	1.5311111	0	42.50722	1.5380555	0	fr
66	0.0	0.0	6	0.0	0.0	0	fr
67	0.0	0.0	5	0.0	0.0	0	fr
68	42.50722	1.5225	0	42.50611	1.5208334	0	fr
69	42.50778	1.5325	0	42.508335	1.5236111	0	fr
70	42.496666	1.5125	0	42.508335	1.5236111	0	fr
71	0.0	0.0	1	0.0	0.0	2	fr
72	0.0	0.0	6	0.0	0.0	4	fr
73	0.0	0.0	6	0.0	0.0	5	fr
74	0.0	0.0	5	0.0	0.0	3	fr
75	42.517223	1.5677778	0	42.517223	1.5677778	0	fr
76	42.50083	1.5311111	0	42.509445	1.5230556	0	fr
77	0.0	0.0	6	0.0	0.0	2	fr
78	0.0	0.0	1	0.0	0.0	6	fr
79	42.504166	1.5272223	0	42.50778	1.5325	0	fr
80	0.0	0.0	2	0.0	0.0	0	fr
81	42.5075	1.5227778	0	42.509445	1.5230556	0	fr
82	42.509445	1.5230556	0	42.508335	1.5236111	0	fr
83	0.0	0.0	4	0.0	0.0	1	fr
84	42.508335	1.5236111	0	42.5075	1.5227778	0	fr
85	42.509445	1.5230556	0	42.5075	1.5227778	0	fr
86	42.50778	1.5325	0	42.510834	1.5402777	0	fr
87	42.508335	1.5236111	0	42.50778	1.5325	0	fr
88	42.504166	1.5272223	0	42.517223	1.5677778	0	fr
89	0.0	0.0	2	0.0	0.0	1	fr
90	0.0	0.0	6	0.0	0.0	1	fr
91	42.50611	1.5208334	0	42.50778	1.5325	0	fr
92	42.50778	1.5325	0	42.50611	1.5208334	0	fr
93	42.5075	1.5227778	0	42.508335	1.5236111	0	fr
94	0.0	0.0	3	0.0	0.0	4	fr
95	42.5075	1.5227778	0	42.51139	1.5305556	0	fr
96	42.51139	1.5305556	0	42.509445	1.5230556	0	fr
97	0.0	0.0	5	0.0	0.0	1	fr
98	0.0	0.0	2	0.0	0.0	3	fr
99	0.0	0.0	3	0.0	0.0	5	fr
100	0.0	0.0	0	0.0	0.0	1	fr
101	42.5075	1.5227778	0	42.496666	1.5125	0	fr
102	42.50611	1.5208334	0	42.496666	1.5125	0	fr
103	42.509445	1.5230556	0	42.496666	1.5125	0	fr
104	42.50722	1.5380555	0	42.496666	1.5125	0	fr
105	42.50611	1.5208334	0	42.508335	1.5236111	0	fr
106	42.50778	1.5325	0	42.515278	1.5272223	0	fr
107	42.515278	1.5272223	0	42.515278	1.5272223	0	fr
108	0.0	0.0	2	0.0	0.0	5	fr
109	42.504166	1.5272223	0	42.51139	1.5305556	0	fr
110	42.50722	1.5380555	0	42.5075	1.5227778	0	fr
111	42.51139	1.5305556	0	42.5075	1.5227778	0	fr
112	42.50778	1.5325	0	42.5075	1.5227778	0	fr
113	0.0	0.0	2	0.0	0.0	6	fr
114	42.50083	1.5311111	0	42.50778	1.5325	0	fr
115	42.50722	1.5225	0	42.50778	1.5325	0	fr
116	42.508335	1.5236111	0	42.504166	1.5272223	0	fr
117	42.510834	1.5402777	0	42.50083	1.5311111	0	fr
118	42.496666	1.5125	0	42.50083	1.5311111	0	fr
119	0.0	0.0	5	0.0	0.0	2	fr
120	0.0	0.0	1	0.0	0.0	3	fr
121	0.0	0.0	4	0.0	0.0	3	fr
122	0.0	0.0	3	0.0	0.0	2	fr
123	0.0	0.0	3	0.0	0.0	6	fr
124	42.510834	1.5402777	0	42.496666	1.5125	0	fr
125	42.496666	1.5125	0	42.51139	1.5305556	0	fr
126	42.5075	1.5227778	0	42.50611	1.5208334	0	fr
127	42.5075	1.5227778	0	42.50778	1.5325	0	fr
128	0.0	0.0	0	0.0	0.0	3	fr
129	42.504166	1.5272223	0	42.5075	1.5227778	0	fr
130	42.496666	1.5125	0	42.5075	1.5227778	0	fr
131	42.496666	1.4980556	0	42.496666	1.4980556	0	fr
132	42.50722	1.5225	0	42.496666	1.4980556	0	fr
133	42.496666	1.5125	0	42.50778	1.5325	0	fr
134	42.50778	1.5325	0	42.496666	1.5125	0	fr
135	42.51139	1.5305556	0	42.496666	1.5125	0	fr
136	42.50722	1.5225	0	42.496666	1.5125	0	fr
137	42.50778	1.5325	0	42.509445	1.5230556	0	fr
138	42.50722	1.5225	0	42.50722	1.5225	0	fr
139	42.51139	1.5305556	0	42.50722	1.5225	0	fr
140	42.50778	1.5325	0	42.50722	1.5225	0	fr
141	42.496666	1.5125	0	42.50611	1.5208334	0	fr
142	42.50083	1.5311111	0	42.51139	1.5305556	0	fr
143	42.50778	1.5325	0	42.50083	1.5311111	0	fr
144	42.496666	1.4980556	0	42.50083	1.5311111	0	fr
145	42.50722	1.5225	0	42.50083	1.5311111	0	fr
146	42.509445	1.5230556	0	42.50611	1.5208334	0	fr
147	42.5075	1.5227778	0	42.510834	1.5402777	0	fr
148	42.50611	1.5208334	0	42.509445	1.5230556	0	fr
149	0.0	0.0	3	0.0	0.0	0	fr
150	42.504166	1.5272223	0	42.50722	1.5380555	0	fr
151	0.0	0.0	6	0.0	0.0	3	fr
152	42.50611	1.5208334	0	42.5075	1.5227778	0	fr
153	42.50722	1.5380555	0	42.50611	1.5208334	0	fr
154	42.496666	1.5125	0	42.496666	1.4980556	0	fr
155	42.51139	1.5305556	0	42.496666	1.4980556	0	fr
156	42.517223	1.5677778	0	42.50778	1.5325	0	fr
157	42.510834	1.5402777	0	42.50722	1.5225	0	fr
158	42.508335	1.5236111	0	42.50722	1.5225	0	fr
159	42.50778	1.5325	0	42.504166	1.5272223	0	fr
160	42.496666	1.4980556	0	42.508335	1.5236111	0	fr
161	42.50722	1.5225	0	42.51139	1.5305556	0	fr
162	42.50722	1.5380555	0	42.50083	1.5311111	0	fr
163	42.515278	1.5272223	0	42.50778	1.5325	0	fr
164	42.510834	1.5402777	0	42.5075	1.5227778	0	fr
165	42.496666	1.4980556	0	42.496666	1.5125	0	fr
166	42.509445	1.5230556	0	42.50722	1.5225	0	fr
167	42.50083	1.5311111	0	42.50722	1.5225	0	fr
168	42.5075	1.5227778	0	42.504166	1.5272223	0	fr
169	42.50083	1.5311111	0	42.510834	1.5402777	0	fr
170	42.50611	1.5208334	0	42.50722	1.5380555	0	fr
171	42.504166	1.5272223	0	42.496666	1.5125	0	fr
172	42.515278	1.5272223	0	42.51139	1.5305556	0	fr
173	42.517223	1.5677778	0	42.5075	1.5227778	0	fr
174	42.50722	1.5380555	0	42.517223	1.5677778	0	fr
175	42.496666	1.5125	0	42.504166	1.5272223	0	fr
176	42.50722	1.5380555	0	42.504166	1.5272223	0	fr
177	42.510834	1.5402777	0	42.504166	1.5272223	0	fr
178	42.50722	1.5225	0	42.508335	1.5236111	0	fr
179	42.517223	1.5677778	0	42.50083	1.5311111	0	fr
180	42.509445	1.5230556	0	42.50722	1.5380555	0	fr
181	0.0	0.0	3	0.0	0.0	1	fr
182	42.508335	1.5236111	0	42.515278	1.5272223	0	fr
183	42.50083	1.5311111	0	42.496666	1.5125	0	fr
184	42.51139	1.5305556	0	42.517223	1.5677778	0	fr
185	42.50611	1.5208334	0	42.517223	1.5677778	0	fr
186	42.508335	1.5236111	0	42.517223	1.5677778	0	fr
187	42.50722	1.5225	0	42.509445	1.5230556	0	fr
188	42.510834	1.5402777	0	42.50611	1.5208334	0	fr
189	42.50722	1.5225	0	42.510834	1.5402777	0	fr
190	42.509445	1.5230556	0	42.50083	1.5311111	0	fr
191	42.504166	1.5272223	0	42.510834	1.5402777	0	fr
192	42.50778	1.5325	0	42.496666	1.4980556	0	fr
193	42.50611	1.5208334	0	42.496666	1.4980556	0	fr
194	42.510834	1.5402777	0	42.496666	1.4980556	0	fr
195	42.508335	1.5236111	0	42.496666	1.4980556	0	fr
196	42.509445	1.5230556	0	42.50778	1.5325	0	fr
197	42.496666	1.4980556	0	42.509445	1.5230556	0	fr
198	42.50083	1.5311111	0	42.504166	1.5272223	0	fr
199	42.517223	1.5677778	0	42.510834	1.5402777	0	fr
200	42.496666	1.5125	0	42.509445	1.5230556	0	fr
201	42.496666	1.4980556	0	42.50778	1.5325	0	fr
202	42.504166	1.5272223	0	42.50083	1.5311111	0	fr
203	42.509445	1.5230556	0	42.51139	1.5305556	0	fr
204	42.50722	1.5380555	0	42.496666	1.4980556	0	fr
205	42.509445	1.5230556	0	42.510834	1.5402777	0	fr
206	42.50083	1.5311111	0	42.5075	1.5227778	0	fr
207	42.50722	1.5380555	0	42.515278	1.5272223	0	fr
208	42.5075	1.5227778	0	42.50083	1.5311111	0	fr
209	42.515278	1.5272223	0	42.510834	1.5402777	0	fr
210	42.51139	1.5305556	0	42.515278	1.5272223	0	fr
211	42.50722	1.5380555	0	42.509445	1.5230556	0	fr
212	42.496666	1.5125	0	42.50722	1.5225	0	fr
213	42.504166	1.5272223	0	42.509445	1.5230556	0	fr
214	42.50611	1.5208334	0	42.50722	1.5225	0	fr
215	0.0	0.0	1	0.0	0.0	1	sp
216	0.0	0.0	3	0.0	0.0	1	sp
217	0.0	0.0	0	0.0	0.0	1	sp
218	42.508335	1.5236111	0	42.496666	1.5125	0	sp
219	42.496666	1.5125	0	42.496666	1.5125	0	sp
220	42.50778	1.5325	0	42.50778	1.5325	0	sp
221	42.51139	1.5305556	0	42.50778	1.5325	0	sp
222	42.508335	1.5236111	0	42.508335	1.5236111	0	sp
223	0.0	0.0	2	0.0	0.0	0	sp
224	42.510834	1.5402777	0	42.508335	1.5236111	0	sp
225	0.0	0.0	4	0.0	0.0	4	sp
226	42.50722	1.5380555	0	42.50722	1.5380555	0	sp
227	0.0	0.0	2	0.0	0.0	2	sp
228	0.0	0.0	4	0.0	0.0	1	sp
229	0.0	0.0	5	0.0	0.0	5	sp
230	0.0	0.0	6	0.0	0.0	6	sp
231	0.0	0.0	5	0.0	0.0	6	sp
232	0.0	0.0	3	0.0	0.0	3	sp
233	0.0	0.0	5	0.0	0.0	4	sp
234	42.50778	1.5325	0	42.51139	1.5305556	0	sp
235	42.51139	1.5305556	0	42.51139	1.5305556	0	sp
236	42.5075	1.5227778	0	42.5075	1.5227778	0	sp
237	42.51139	1.5305556	0	42.50611	1.5208334	0	sp
238	42.5075	1.5227778	0	42.50611	1.5208334	0	sp
239	42.50611	1.5208334	0	42.50611	1.5208334	0	sp
240	42.510834	1.5402777	0	42.510834	1.5402777	0	sp
241	0.0	0.0	3	0.0	0.0	0	sp
242	42.51139	1.5305556	0	42.50722	1.5380555	0	sp
243	42.50611	1.5208334	0	42.496666	1.5125	0	sp
244	42.50083	1.5311111	0	42.496666	1.5125	0	sp
245	42.5075	1.5227778	0	42.509445	1.5230556	0	sp
246	42.509445	1.5230556	0	42.509445	1.5230556	0	sp
247	42.5075	1.5227778	0	42.504166	1.5272223	0	sp
248	42.504166	1.5272223	0	42.504166	1.5272223	0	sp
249	42.496666	1.5125	0	42.50611	1.5208334	0	sp
250	42.509445	1.5230556	0	42.508335	1.5236111	0	sp
251	0.0	0.0	5	0.0	0.0	1	sp
252	42.50722	1.5380555	0	42.51139	1.5305556	0	sp
253	42.50083	1.5311111	0	42.50083	1.5311111	0	sp
254	42.508335	1.5236111	0	42.50083	1.5311111	0	sp
255	42.50722	1.5380555	0	42.50778	1.5325	0	sp
256	42.510834	1.5402777	0	42.50722	1.5380555	0	sp
257	0.0	0.0	5	0.0	0.0	0	sp
258	42.50611	1.5208334	0	42.5075	1.5227778	0	sp
259	42.508335	1.5236111	0	42.50611	1.5208334	0	sp
260	42.50722	1.5380555	0	42.510834	1.5402777	0	sp
261	0.0	0.0	2	0.0	0.0	1	sp
262	42.509445	1.5230556	0	42.51139	1.5305556	0	sp
263	0.0	0.0	4	0.0	0.0	5	sp
264	0.0	0.0	3	0.0	0.0	2	sp
265	42.50611	1.5208334	0	42.508335	1.5236111	0	sp
266	42.504166	1.5272223	0	42.50778	1.5325	0	sp
267	0.0	0.0	6	0.0	0.0	1	sp
268	0.0	0.0	4	0.0	0.0	0	sp
269	42.50778	1.5325	0	42.50611	1.5208334	0	sp
270	42.51139	1.5305556	0	42.510834	1.5402777	0	sp
271	0.0	0.0	1	0.0	0.0	4	sp
272	42.50611	1.5208334	0	42.50778	1.5325	0	sp
273	0.0	0.0	4	0.0	0.0	6	sp
274	42.508335	1.5236111	0	42.5075	1.5227778	0	sp
275	0.0	0.0	1	0.0	0.0	0	sp
276	42.508335	1.5236111	0	42.50778	1.5325	0	sp
277	0.0	0.0	0	0.0	0.0	4	sp
278	0.0	0.0	1	0.0	0.0	2	sp
279	0.0	0.0	3	0.0	0.0	5	sp
280	0.0	0.0	2	0.0	0.0	3	sp
281	42.50778	1.5325	0	42.50722	1.5380555	0	sp
282	42.50778	1.5325	0	42.504166	1.5272223	0	sp
283	42.50722	1.5380555	0	42.508335	1.5236111	0	sp
