HOUR	EDGE_ID	AMOUNT
0	1	1
0	1	1
0	4	1
0	4	1
0	7	1
0	7	1
0	10	1
0	11	1
0	13	6
0	14	14
0	15	1
0	17	1
0	19	3
0	20	1
0	20	1
0	23	8
0	24	1
0	24	1
0	27	1
0	29	3
0	30	1
0	31	1
0	32	1
0	34	1
0	1	1
0	35	2
0	37	1
0	39	1
0	7	1
0	42	1
0	20	1
0	44	1
0	45	1
0	47	1
0	48	2
0	17	1
0	49	1
0	51	1
0	53	1
0	55	1
0	57	1
0	59	1
1	0	2
1	1	2
1	2	2
1	4	1
1	9	4
1	9	9
1	10	5
1	62	1
1	15	1
1	14	7
1	13	5
1	16	89
1	18	22
1	18	3
1	18	1
1	19	2
1	64	1
1	26	1
1	65	1
1	31	1
1	4	3
1	35	1
1	40	2
1	68	1
1	69	1
1	70	1
1	44	1
1	45	1
1	15	1
1	18	2
1	49	1
1	2	2
1	74	1
1	11	1
1	40	1
1	31	1
2	5	1
2	9	5
2	54	1
2	13	1
2	14	17
2	16	88
2	18	5
2	18	4
2	75	1
2	40	2
2	5	1
2	11	1
2	20	1
2	18	1
2	48	1
2	6	1
2	6	1
2	11	1
2	70	1
2	20	1
2	78	2
2	31	1
3	5	1
3	68	1
3	79	1
3	11	1
3	14	45
3	13	2
3	16	89
3	18	7
3	20	1
3	23	1
3	5	3
3	38	1
3	40	3
3	64	1
3	44	9
3	0	1
3	5	1
3	6	1
3	6	1
3	70	1
3	40	3
4	61	1
4	51	1
4	6	1
4	8	1
4	52	1
4	9	3
4	10	1
4	13	1
4	14	9
4	16	32
4	18	2
4	19	2
4	23	1
4	26	1
4	40	2
4	30	1
4	36	1
4	39	1
4	48	2
4	50	1
4	83	1
4	7	1
4	41	1
4	56	1
5	0	2
5	1	2
5	5	1
5	67	1
5	9	3
5	10	1
5	13	1
5	85	1
5	86	1
5	48	1
5	0	4
5	19	3
5	26	1
5	87	1
5	56	1
5	30	1
5	4	1
5	10	3
5	35	2
5	6	1
5	0	1
5	19	1
5	89	1
5	90	1
5	17	2
5	53	1
5	73	1
5	86	1
5	40	2
5	35	1
6	5	1
6	13	1
6	13	1
6	73	1
6	47	1
6	46	1
6	20	1
6	43	1
6	23	2
6	56	1
6	30	1
6	5	1
6	10	7
6	48	1
6	81	1
6	38	2
6	94	1
6	67	1
6	72	1
6	46	1
6	46	2
6	1	2
6	10	1
6	78	1
7	0	2
7	1	1
7	51	5
7	6	1
7	10	1
7	15	1
7	14	3
7	46	1
7	47	1
7	16	34
7	18	4
7	17	1
7	70	1
7	56	1
7	30	1
7	51	1
7	39	1
7	6	3
7	44	8
7	99	1
7	82	1
7	48	1
7	49	1
7	51	1
7	6	1
7	88	1
7	102	1
8	0	1
8	1	1
8	6	1
8	17	1
8	10	2
8	11	1
8	103	1
8	46	1
8	16	58
8	53	1
8	19	3
8	43	1
8	81	1
8	100	1
8	29	1
8	64	1
8	81	1
8	35	1
8	38	9
8	6	8
8	44	1
8	48	1
8	3	1
8	81	1
8	53	1
8	17	1
8	40	2
9	0	5
9	0	1
9	1	1
9	5	2
9	51	1
9	6	1
9	41	1
9	52	1
9	68	1
9	10	3
9	10	2
9	108	3
9	13	1
9	14	71
9	46	1
9	97	1
9	47	1
9	48	1
9	18	6
9	17	1
9	19	1
9	20	1
9	109	1
9	23	1
9	23	1
9	25	1
9	48	1
9	30	1
9	31	1
9	33	1
9	48	1
9	110	1
9	111	1
9	92	1
9	38	4
9	101	1
9	68	1
9	20	1
9	88	1
9	112	1
9	89	1
9	15	2
9	98	1
9	48	1
9	97	1
9	51	1
9	70	1
9	43	1
9	57	1
9	92	2
10	0	3
10	71	4
10	1	7
10	5	1
10	4	1
10	7	1
10	51	1
10	49	1
10	10	4
10	11	1
10	81	1
10	11	1
10	13	1
10	115	1
10	46	1
10	47	1
10	86	1
10	48	1
10	48	1
10	116	1
10	98	1
10	53	1
10	117	1
10	67	1
10	21	1
10	109	3
10	25	1
10	87	1
10	27	2
10	81	1
10	40	1
10	48	1
10	29	1
10	30	1
10	31	1
10	4	1
10	120	1
10	122	1
10	35	14
10	35	1
10	105	4
10	88	1
10	71	1
10	56	1
10	124	1
10	7	1
10	74	1
10	70	1
10	44	1
10	71	1
10	91	1
10	91	1
10	91	1
10	53	1
10	82	1
10	127	1
10	128	1
10	68	1
10	91	1
10	88	1
10	56	1
10	92	2
11	0	9
11	0	1
11	3	1
11	3	1
11	5	1
11	5	1
11	107	1
11	6	3
11	9	3
11	53	1
11	17	1
11	116	1
11	11	1
11	11	1
11	108	1
11	73	1
11	91	1
11	14	62
11	46	1
11	47	1
11	73	1
11	18	9
11	98	2
11	82	1
11	126	1
11	53	1
11	53	2
11	97	1
11	117	1
11	53	2
11	19	3
11	43	1
11	75	1
11	21	1
11	22	1
11	130	1
11	81	1
11	40	3
11	30	1
11	30	5
11	31	1
11	31	1
11	4	1
11	4	1
11	61	1
11	120	1
11	131	1
11	35	6
11	38	4
11	39	1
11	94	1
11	7	1
11	7	1
11	70	1
11	21	1
11	21	1
11	134	1
11	91	3
11	97	1
11	127	1
11	2	1
11	74	1
11	136	1
11	91	1
11	91	1
11	57	1
11	124	1
12	0	3
12	1	17
12	67	1
12	137	1
12	4	2
12	51	1
12	77	1
12	6	1
12	6	1
12	64	1
12	41	1
12	9	1
12	9	2
12	49	1
12	11	1
12	11	1
12	13	1
12	86	1
12	46	1
12	46	1
12	99	1
12	15	1
12	97	1
12	18	20
12	98	2
12	16	210
12	48	1
12	82	1
12	49	1
12	17	1
12	98	1
12	43	1
12	51	1
12	20	1
12	70	1
12	26	1
12	23	2
12	139	1
12	139	1
12	28	1
12	40	7
12	64	1
12	29	5
12	141	1
12	30	1
12	142	1
12	119	1
12	32	1
12	1	1
12	125	1
12	35	9
12	38	1
12	60	1
12	58	1
12	64	1
12	64	1
12	75	1
12	44	2
12	44	1
12	15	1
12	98	1
12	116	1
12	50	1
12	145	1
12	64	1
12	8	1
12	50	1
12	20	1
12	81	1
13	146	1
13	1	1
13	61	1
13	5	2
13	6	1
13	68	1
13	41	1
13	52	1
13	10	1
13	13	2
13	71	1
13	47	1
13	46	1
13	99	1
