,country,date,hour,origin_lat,origin_lon,origin_container,destination_lat,destination_lon,destination_container,amount
1324,fr,2015.07.12,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,39
1326,fr,2015.07.12,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
1655,fr,2015.07.12,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
1660,fr,2015.07.12,0,42.46027778,1.491111111,1,42.49666667,1.5125,0,1
1984,fr,2015.07.12,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
1986,fr,2015.07.12,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,2
2317,fr,2015.07.12,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
2392,fr,2015.07.12,0,42.46027778,1.491111111,1,42.44805556,1.4825,1,1
2979,fr,2015.07.12,0,42.49666667,1.5125,0,42.49666667,1.5125,0,2
2980,fr,2015.07.12,0,42.49666667,1.5125,0,42.49666667,1.5125,0,1
3310,fr,2015.07.12,0,42.49666667,1.5125,0,42.49666667,1.5125,0,2
3402,fr,2015.07.12,0,42.49666667,1.5125,0,42.50527778,1.517777778,0,1
3451,fr,2015.07.12,0,42.49666667,1.5125,0,42.49666667,1.5125,0,1
3594,fr,2015.07.12,0,42.49666667,1.5125,0,42.49666667,1.5125,0,1
4276,fr,2015.07.12,0,42.50777778,1.5325,0,42.51138889,1.530555556,0,1
4303,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,4
4304,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
4306,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
4386,fr,2015.07.12,0,42.50777778,1.5325,0,42.51138889,1.530555556,0,1
4627,fr,2015.07.12,0,42.50777778,1.5325,0,42.46027778,1.491111111,1,1
4634,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,85
4637,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
4741,fr,2015.07.12,0,42.50777778,1.5325,0,42.51083333,1.540277778,0,1
4965,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,7
5296,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,4
5399,fr,2015.07.12,0,42.50777778,1.5325,0,42.51694444,1.554166667,4,1
5624,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,2
5627,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,2
5958,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,24
5961,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,2
6236,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50777778,1.5325,0,1
6289,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,7
6426,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50944444,1.523055556,0,1
6620,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,6
6711,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50611111,1.520833333,0,1
6948,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
7036,fr,2015.07.12,0,42.50833333,1.523611111,0,42.5075,1.522777778,0,1
7610,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
7613,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,2
7944,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,5
7947,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,3
8223,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,1
8275,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,1
8321,fr,2015.07.12,0,42.53444444,1.58,4,42.535,1.5875,4,1
8606,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,178
8937,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,12
8938,fr,2015.07.12,0,42.53444444,1.58,4,42.53444444,1.58,4,1
8981,fr,2015.07.12,0,42.53444444,1.58,4,42.535,1.5875,4,1
