HOUR	EDGE_ID	AMOUNT
0	1	1
0	3	1
0	5	4
0	6	1
0	8	1
0	10	1
0	12	1
0	14	5
0	15	13
0	16	1
0	16	2
0	16	2
0	20	1
0	22	73
0	23	1
0	25	1
0	6	1
0	1	1
0	29	5
0	31	1
0	32	1
0	32	1
0	35	2
0	36	1
0	8	1
0	39	1
0	8	1
0	42	2
0	44	1
0	46	1
0	46	1
0	49	1
0	51	216
0	16	23
0	6	1
0	52	1
0	54	1
0	56	1
0	6	1
0	59	1
0	61	1
0	63	4
0	63	1
0	65	1
0	1	1
0	67	1
0	68	3
0	23	1
0	70	1
0	70	2
0	73	1
0	75	3
0	76	2
0	76	1
0	77	1
0	42	3
0	79	1
0	81	1
0	83	1
0	84	2
0	85	2
0	87	1
0	89	1
0	91	1
0	93	195
0	94	26
0	95	1
0	96	1
0	87	1
0	99	1
0	101	1
0	103	1
0	105	1
0	83	1
0	108	11
0	109	1
0	111	7
0	111	6
0	109	1
0	113	1
0	115	1
0	116	1
0	87	1
0	119	1
0	120	1
0	122	2
0	124	1
0	125	1
0	125	1
0	127	1
0	128	1
0	87	1
0	130	2
0	131	4
0	133	19
0	135	4
0	137	9
0	137	6
0	135	2
0	140	1
0	141	1
0	143	1
0	145	1
0	113	2
0	146	1
0	148	1
0	148	2
0	151	1
0	87	1
0	143	1
0	153	1
0	155	1
0	87	1
0	158	1
0	159	1
0	135	9
0	162	1
0	164	1
0	166	6
0	167	2
0	168	7
0	169	1
0	162	1
0	172	1
0	174	1
0	175	1
0	177	1
0	177	1
0	179	2
0	179	2
0	182	1
0	184	1
0	169	1
0	187	72
0	169	1
0	179	1
0	189	1
0	190	1
0	192	1
0	194	1
0	196	1
0	198	1
0	187	1
1	1	1
1	2	3
1	2	3
1	5	4
1	200	1
1	9	7
1	10	1
1	14	5
1	15	8
1	15	2
1	19	3
1	20	1
1	24	1
1	22	79
1	23	1
1	26	3
1	29	5
1	29	2
1	33	1
1	65	1
1	32	1
1	202	1
1	36	1
1	204	2
1	38	1
1	42	2
1	45	48
1	45	2
1	46	1
1	51	273
1	8	2
1	52	2
1	53	1
1	207	1
1	57	3
1	208	1
1	58	1
1	31	1
1	23	1
1	73	1
1	13	1
1	211	2
1	39	1
1	47	18
1	56	1
1	81	1
1	84	1
1	84	8
1	86	1
1	153	1
1	92	433
1	93	65
1	94	20
1	95	1
1	97	1
1	96	1
1	100	1
1	83	1
1	103	2
1	108	2
1	105	2
1	106	3
1	103	1
1	109	1
1	112	1
1	112	1
1	115	1
1	127	1
1	125	2
1	125	1
1	123	1
1	131	2
1	137	7
1	136	1
1	141	12
1	112	2
1	149	7
1	150	1
1	119	1
1	156	1
1	97	1
1	215	1
1	125	2
1	216	1
1	165	2
1	166	1
1	167	3
1	168	4
1	173	1
1	162	1
1	162	1
1	174	1
1	176	4
1	218	1
1	178	2
1	220	3
1	183	2
1	222	1
1	224	1
1	225	1
1	187	1
1	188	3
1	179	1
1	179	1
1	227	1
1	227	1
1	228	1
1	169	1
1	230	1
1	179	1
1	232	1
2	2	2
2	5	1
2	233	1
2	11	1
2	14	1
2	43	1
2	19	1
2	19	1
2	21	4
2	234	1
2	25	1
2	29	4
2	235	1
2	33	2
2	236	1
2	35	1
2	36	1
2	38	1
2	43	2
2	45	7
2	51	325
2	6	1
2	16	6
2	56	1
2	57	2
2	209	1
2	47	1
2	239	1
2	1	1
2	72	1
2	13	1
2	63	1
2	39	1
2	242	1
2	47	5
2	81	1
2	86	1
2	152	1
2	93	1
2	94	13
2	95	1
2	87	1
2	100	1
2	102	2
2	103	1
2	105	2
2	106	3
2	108	3
2	107	1
2	109	1
2	113	1
2	115	4
2	105	9
2	126	1
2	124	1
2	101	1
2	88	1
2	137	1
2	137	3
2	141	6
2	149	1
2	103	1
2	81	1
2	88	1
2	247	1
2	248	1
2	160	1
2	249	1
2	162	1
2	165	7
2	166	1
2	166	1
2	167	25
2	168	3
2	168	1
2	196	1
2	174	1
2	176	1
2	178	1
2	220	1
2	253	1
2	253	1
2	168	4
2	255	1
2	257	2
2	188	2
2	179	2
2	190	1
2	191	3
2	182	1
2	165	2
2	173	1
2	179	1
3	2	2
3	2	2
3	5	1
3	200	1
3	14	2
3	15	9
3	19	1
3	19	1
3	21	3
3	22	55
3	26	3
3	30	1
3	34	1
3	35	2
3	37	2
3	42	1
3	43	1
3	47	1
3	49	1
3	52	83
3	53	7
3	209	1
3	261	1
3	39	1
3	10	1
3	67	1
3	68	1
3	1	1
3	72	1
3	72	1
3	264	1
3	238	1
3	80	1
3	84	1
3	86	1
3	265	1
3	93	1
3	94	20
3	95	1
3	100	1
3	102	1
3	102	1
3	105	4
3	106	3
3	108	3
3	111	2
3	114	1
3	267	1
3	118	1
3	125	2
3	95	1
3	135	1
3	268	1
3	141	5
3	160	1
3	96	1
3	159	6
3	161	1
3	163	1
3	166	1
3	167	62
3	181	1
3	170	39
3	171	10
3	174	1
3	176	1
3	178	1
3	181	1
3	232	1
3	257	1
3	187	3
3	161	1
3	222	1
3	227	1
3	218	1
3	163	1
3	187	2
4	2	3
4	2	2
4	4	1
4	14	1
4	15	9
4	15	3
4	20	1
4	21	3
4	27	1
4	235	1
4	8	1
4	29	4
4	29	2
4	201	1
4	34	1
4	35	2
4	37	2
4	39	1
4	43	3
4	274	1
4	206	1
4	53	8
4	56	1
4	208	1
4	58	1
4	65	1
4	29	2
4	28	1
4	236	1
4	28	1
4	72	1
4	13	1
4	11	1
4	276	1
4	39	1
4	81	1
4	85	1
4	129	1
4	155	1
4	93	1
4	94	39
4	96	1
4	214	1
4	151	1
4	106	3
4	149	1
4	145	1
4	145	1
4	114	1
4	277	1
4	115	1
4	119	1
4	125	1
4	96	1
4	131	5
4	88	1
4	137	1
4	138	1
4	280	1
4	141	5
4	107	1
4	282	1
4	153	1
4	107	1
4	145	1
4	159	6
4	249	1
4	284	1
4	166	5
4	285	1
4	168	9
4	173	1
4	171	9
4	174	3
4	176	1
4	218	1
4	178	1
4	220	1
4	180	1
4	253	1
4	257	1
4	188	1
4	179	2
4	179	2
4	191	1
4	196	1
4	169	1
4	290	1
4	224	1
4	184	1
5	2	1
5	6	1
5	3	1
5	8	1
5	11	1
5	15	4
5	16	1
5	20	1
5	21	3
5	22	18
5	234	1
5	26	3
5	28	1
5	292	1
5	33	3
5	32	1
5	35	2
5	37	3
5	43	1
5	8	1
5	211	1
5	8	1
5	57	6
5	237	1
5	1	1
5	23	1
5	24	1
5	12	1
5	42	2
5	81	1
5	84	1
5	84	5
5	86	1
5	110	1
5	90	1
5	92	3
5	110	1
5	94	17
5	110	1
5	96	1
5	100	3
5	102	1
5	101	1
5	243	1
5	108	1
5	106	3
5	108	4
5	109	1
5	109	1
5	112	1
5	267	1
5	115	1
5	122	3
5	123	1
5	131	1
5	271	1
5	139	1
5	137	3
5	139	1
5	295	1
5	141	3
5	110	1
5	101	1
5	110	1
5	127	1
5	99	1
5	109	1
5	266	1
5	161	1
5	163	2
5	165	1
5	166	1
5	251	1
5	178	1
5	168	6
5	255	1
5	170	1
5	171	5
5	171	1
5	174	3
5	176	1
5	301	1
5	220	1
5	169	1
5	181	1
5	165	1
5	257	1
5	187	11
5	188	4
5	289	1
5	191	1
5	302	2
5	196	1
5	303	1
5	178	1
5	173	1
6	2	1
6	70	1
6	73	1
6	264	1
6	15	5
6	77	1
6	20	1
6	27	1
6	22	47
6	206	1
6	206	1
6	304	1
6	30	1
6	34	1
6	35	2
6	37	2
6	42	1
6	305	1
6	23	1
6	1	1
6	55	1
6	57	3
6	57	5
6	308	1
6	28	1
6	4	1
6	264	1
6	12	1
6	263	1
6	309	1
6	8	1
6	47	1
6	80	4
6	80	1
6	310	1
6	82	1
6	84	6
6	89	1
6	90	1
6	90	1
6	92	1
6	156	1
6	143	1
6	155	1
6	94	13
6	96	2
6	87	1
6	130	1
6	101	1
6	102	2
6	103	1
6	311	1
6	119	1
6	106	2
6	108	4
6	145	1
6	145	1
6	109	1
6	314	1
6	115	1
6	122	8
6	125	1
6	125	1
6	125	1
6	213	1
6	131	6
6	135	3
6	135	1
6	280	1
6	135	1
6	141	4
6	154	1
6	112	1
6	149	1
6	107	1
6	84	1
6	283	1
6	318	1
6	130	1
6	150	1
6	159	4
6	249	1
6	161	1
6	163	1
6	166	1
6	166	1
6	167	22
6	170	1
6	228	1
6	171	8
6	173	1
6	167	1
6	167	1
6	167	2
6	177	1
6	321	1
6	169	1
6	253	3
6	187	11
6	179	1
6	177	2
6	191	2
6	181	1
6	163	1
6	322	1
