HOUR	EDGE_ID	AMOUNT
0	1	1
0	3	1
0	3	3
0	5	1
0	7	1
0	8	1
0	9	28
0	10	1
0	12	1
0	14	2
0	15	1
0	17	1
0	19	1
0	20	1
0	22	5
0	23	1
0	17	1
0	26	1
0	28	1
0	15	1
0	30	2
0	30	10
0	10	1
0	33	1
0	35	1
0	36	1
1	0	3
1	38	1
1	2	1
1	10	1
1	3	5
1	8	1
1	8	6
1	9	8
1	11	1
1	14	1
1	36	1
1	4	2
1	24	2
1	40	2
1	14	13
1	41	1
1	32	2
1	42	1
1	44	1
1	34	3
1	47	1
2	11	2
2	49	1
2	0	1
2	2	1
2	10	2
2	6	1
2	8	2
2	50	1
2	11	1
2	44	1
2	14	1
2	27	1
2	14	3
2	18	1
2	22	1
2	14	1
2	30	2
2	52	1
2	54	1
3	11	5
3	0	2
3	53	1
3	3	5
3	8	1
3	9	6
3	12	1
3	19	1
3	34	2
3	9	1
3	33	1
3	38	1
4	7	1
4	8	1
4	9	4
4	10	1
4	14	1
4	56	1
4	0	1
4	38	1
4	26	1
4	50	1
4	10	1
4	10	1
4	33	1
4	10	1
4	2	1
4	2	1
4	27	1
5	60	1
5	2	1
5	10	2
5	61	1
5	63	1
5	8	2
5	43	1
5	9	21
5	44	1
5	10	1
5	14	1
5	13	1
5	37	1
5	38	1
5	66	1
5	17	1
5	66	1
5	14	2
5	32	1
5	43	1
5	58	1
5	45	1
5	34	1
5	70	1
5	71	1
6	11	2
6	2	1
6	10	19
6	3	2
6	3	1
6	5	1
6	7	1
6	73	1
6	9	11
6	10	1
6	14	2
6	12	1
6	57	1
6	19	1
6	22	1
6	19	1
6	62	1
6	77	1
6	32	2
6	78	1
6	44	2
6	52	1
6	79	1
6	80	1
7	11	2
7	0	1
7	82	1
7	55	1
7	3	1
7	3	1
7	3	1
7	33	1
7	8	8
7	43	1
7	57	1
7	44	1
7	45	1
7	56	1
7	56	2
7	85	1
7	16	1
7	86	1
7	87	1
7	3	1
7	5	1
7	88	1
7	89	1
7	67	1
7	30	1
7	32	1
7	57	1
7	57	1
7	58	1
7	49	1
7	49	1
7	47	1
7	58	1
7	92	1
7	19	1
8	11	3
8	49	1
8	0	1
8	66	1
8	2	3
8	70	1
8	53	1
8	10	3
8	3	4
8	8	2
8	7	2
8	43	1
8	43	1
8	58	1
8	43	1
8	11	13
8	72	1
8	32	5
8	58	1
8	13	1
8	62	1
8	62	1
8	58	1
8	42	1
8	19	1
8	21	1
8	38	1
8	22	1
8	96	1
8	24	3
8	69	1
8	12	1
8	30	3
8	98	1
8	99	1
8	73	1
8	83	1
8	38	1
8	66	1
8	52	1
8	71	1
8	92	1
8	37	1
8	22	1
9	11	5
9	11	2
9	101	1
9	34	1
9	103	1
9	0	5
9	35	1
9	2	1
9	2	2
9	67	1
9	105	1
9	66	1
9	72	1
9	4	1
9	6	1
9	8	4
9	8	2
9	7	8
9	73	1
9	33	2
9	33	1
9	63	1
9	9	813
9	42	1
9	55	1
9	106	1
9	108	1
9	52	1
9	52	1
9	27	1
9	14	8
9	14	7
9	13	1
9	110	1
9	112	1
9	48	1
9	48	1
9	42	1
9	19	1
9	19	1
9	86	1
9	87	2
9	114	1
9	62	1
9	75	7
9	23	1
9	39	1
9	70	1
9	15	1
9	66	1
9	117	1
9	31	1
9	119	1
9	77	1
9	98	1
9	122	1
9	108	1
9	78	1
9	108	1
9	72	1
9	83	1
9	79	1
9	47	1
9	21	1
9	125	1
9	96	1
10	34	3
10	34	2
10	104	1
10	34	6
10	34	2
10	46	1
10	127	1
10	38	1
10	60	1
10	2	1
10	2	1
10	2	3
10	93	1
10	93	5
10	67	1
10	52	1
10	3	1
10	21	1
10	5	1
10	21	1
10	8	1
10	100	1
10	43	1
10	73	2
10	43	1
10	73	1
10	50	1
10	51	1
10	71	1
10	42	1
10	9	889
10	57	1
10	9	2
10	55	1
10	72	1
10	120	1
10	12	1
10	66	1
10	13	1
10	95	1
10	112	1
10	56	1
10	56	1
10	129	1
10	110	1
10	130	1
10	17	1
10	86	1
10	37	1
10	18	1
10	38	1
10	131	1
10	38	1
10	133	1
10	21	1
10	67	1
10	34	3
10	136	1
10	137	1
10	59	1
10	138	2
10	140	1
10	59	1
10	67	1
10	90	1
10	141	1
10	70	1
10	54	1
10	27	2
10	142	1
10	143	1
10	145	1
10	97	1
10	122	1
10	72	1
10	63	1
10	94	1
10	34	1
10	127	1
10	133	1
10	70	2
10	50	1
10	146	1
10	67	1
10	147	1
11	100	1
11	34	3
11	101	1
11	102	1
11	62	1
11	101	1
11	62	1
11	0	2
11	35	1
11	127	1
11	67	2
11	53	1
11	93	1
11	53	3
11	47	1
11	93	13
11	93	1
11	10	1
11	58	1
11	3	1
11	4	1
11	6	2
11	149	1
11	149	1
11	51	1
11	50	1
11	100	1
11	43	1
11	43	1
11	63	1
11	33	1
11	63	1
11	77	1
11	32	4
11	42	1
11	44	2
11	44	2
11	42	1
11	113	1
11	63	1
11	151	1
11	27	1
11	28	1
11	27	2
11	28	1
11	109	1
11	112	1
11	111	1
11	56	9
11	112	1
11	130	1
11	17	1
11	18	1
11	18	1
11	19	3
11	97	1
11	155	1
11	115	1
11	114	1
11	60	1
11	101	1
11	75	7
11	59	2
11	140	1
11	157	1
11	139	1
11	116	1
11	23	1
11	24	5
11	116	1
11	48	1
11	86	1
11	53	2
11	26	1
11	28	1
11	28	1
11	118	1
11	30	1
11	30	8
11	30	1
11	50	1
11	119	1
11	151	1
11	52	1
11	113	1
11	113	1
11	113	1
11	91	1
11	93	2
11	28	1
11	141	1
11	141	1
12	11	14
12	83	1
12	34	1
12	49	1
12	49	1
12	49	1
12	79	1
12	66	1
12	87	1
12	60	1
12	79	2
12	60	1
12	69	1
12	53	7
12	47	1
12	70	1
12	82	1
12	70	2
12	82	1
12	10	1
12	55	1
12	6	1
12	61	1
12	20	1
12	150	1
12	51	1
12	83	1
12	7	6
12	33	1
12	77	1
12	50	1
12	33	1
12	99	1
12	9	817
12	9	2
12	78	1
12	58	1
12	52	1
12	80	1
12	108	1
12	45	1
12	98	1
12	45	1
12	12	1
12	27	1
12	66	1
12	28	1
12	80	1
12	13	1
12	67	1
12	95	1
12	84	2
12	85	1
12	56	4
12	164	1
12	56	1
12	92	1
12	36	1
12	92	1
12	113	1
12	86	1
12	19	5
12	25	1
12	86	1
12	154	1
12	114	1
12	107	2
12	20	1
12	49	1
12	135	1
12	165	1
12	75	3
12	59	2
12	166	1
12	167	1
12	81	1
12	116	1
12	168	2
12	39	2
12	40	1
12	1	1
12	82	3
12	161	1
12	15	1
12	143	1
12	162	1
12	31	1
12	128	1
12	121	1
12	128	1
12	52	1
12	78	1
12	113	1
12	101	1
12	47	2
12	48	1
12	141	1
13	11	1
13	90	1
13	171	1
13	80	1
13	135	1
13	0	10
13	46	1
13	35	2
13	127	1
13	66	1
13	38	1
13	79	1
13	133	1
13	163	1
13	2	6
13	47	1
13	69	1
13	62	1
13	47	1
13	10	2
13	10	1
13	52	1
13	3	10
13	6	1
13	6	1
13	6	1
13	66	1
13	122	1
13	7	7
13	7	1
13	7	1
13	33	1
13	63	1
13	32	12
13	42	1
13	9	930
13	44	1
13	9	1
13	44	1
13	108	1
13	90	1
13	55	1
13	98	1
13	12	1
13	14	6
13	28	1
13	27	4
13	66	1
13	66	1
13	56	2
13	173	1
13	111	4
13	111	1
13	85	1
13	16	4
13	44	1
13	19	4
13	86	1
13	131	2
13	133	1
13	114	1
13	114	1
13	65	2
13	134	1
13	174	1
13	22	8
13	158	1
13	167	1
13	138	2
13	22	4
13	159	1
13	176	1
13	159	1
13	159	1
13	48	1
13	86	1
13	54	1
13	26	1
13	178	1
13	125	1
13	13	2
13	13	2
13	90	1
13	162	1
13	31	1
13	30	5
13	179	1
13	30	7
13	117	1
13	30	1
13	50	1
13	119	1
13	72	1
13	63	1
13	113	1
13	89	1
13	114	1
13	93	4
13	54	1
13	94	1
13	146	1
13	141	1
13	22	1
14	11	4
14	11	1
14	90	1
14	134	1
14	171	1
14	134	1
14	135	1
14	67	1
14	66	1
14	46	1
14	35	1
14	67	1
14	87	1
14	133	1
14	87	1
14	2	1
14	47	1
14	67	1
14	10	1
14	45	1
14	6	2
14	6	1
14	5	1
14	8	1
14	50	1
14	122	1
14	33	1
14	33	1
14	43	1
14	73	1
14	77	1
14	32	1
14	57	1
14	44	1
14	42	1
14	44	1
14	77	1
14	42	1
14	58	1
14	99	1
14	181	1
14	45	1
14	32	2
14	45	1
14	27	2
14	14	8
14	28	2
14	13	1
14	95	1
