EDGE_ID	LAT_D	LON_D	CON_D	LAT_O	LON_O	CON_O	NATION
0	42.460278	1.4911112	1	42.460278	1.4911112	1	fr
1	42.496666	1.5125	0	42.496666	1.5125	0	fr
2	42.50611	1.5208334	0	42.496666	1.5125	0	fr
3	42.50778	1.5325	0	42.50778	1.5325	0	fr
5	42.504166	1.5272223	0	42.508335	1.5236111	0	fr
4	42.508335	1.5236111	0	42.50778	1.5325	0	fr
6	0.0	0.0	4	0.0	0.0	4	fr
7	0.0	0.0	0	0.0	0.0	4	fr
8	42.50722	1.5380555	0	42.50722	1.5380555	0	fr
9	42.50778	1.5325	0	42.50722	1.5380555	0	fr
10	42.504166	1.5272223	0	42.50722	1.5380555	0	fr
11	42.510834	1.5402777	0	42.50722	1.5380555	0	fr
12	0.0	0.0	2	0.0	0.0	2	fr
13	0.0	0.0	5	0.0	0.0	5	fr
14	0.0	0.0	6	0.0	0.0	5	fr
15	0.0	0.0	6	0.0	0.0	6	fr
16	0.0	0.0	5	0.0	0.0	4	fr
17	0.0	0.0	3	0.0	0.0	3	fr
18	42.50778	1.5325	0	42.51139	1.5305556	0	fr
19	42.51139	1.5305556	0	42.51139	1.5305556	0	fr
20	42.510834	1.5402777	0	42.51139	1.5305556	0	fr
21	0.0	0.0	4	0.0	0.0	0	fr
22	42.5075	1.5227778	0	42.5075	1.5227778	0	fr
23	42.510834	1.5402777	0	42.5075	1.5227778	0	fr
24	42.50611	1.5208334	0	42.50611	1.5208334	0	fr
25	42.50722	1.5380555	0	42.50611	1.5208334	0	fr
26	42.50611	1.5208334	0	42.510834	1.5402777	0	fr
27	42.510834	1.5402777	0	42.510834	1.5402777	0	fr
28	42.51139	1.5305556	0	42.510834	1.5402777	0	fr
29	42.5075	1.5227778	0	42.510834	1.5402777	0	fr
30	42.50722	1.5380555	0	42.510834	1.5402777	0	fr
31	42.496666	1.4980556	0	42.496666	1.4980556	0	fr
32	42.509445	1.5230556	0	42.509445	1.5230556	0	fr
33	42.50722	1.5380555	0	42.504166	1.5272223	0	fr
34	42.504166	1.5272223	0	42.504166	1.5272223	0	fr
35	42.508335	1.5236111	0	42.50778	1.5325	0	fr
36	42.510834	1.5402777	0	42.50083	1.5311111	0	fr
37	42.50778	1.5325	0	42.50083	1.5311111	0	fr
38	42.50083	1.5311111	0	42.50083	1.5311111	0	fr
39	0.0	0.0	3	0.0	0.0	2	fr
40	42.50722	1.5380555	0	42.496666	1.5125	0	fr
41	42.51139	1.5305556	0	42.50778	1.5325	0	fr
42	42.50722	1.5380555	0	42.50778	1.5325	0	fr
43	42.504166	1.5272223	0	42.50778	1.5325	0	fr
44	42.50083	1.5311111	0	42.50778	1.5325	0	fr
45	42.508335	1.5236111	0	42.50778	1.5325	0	fr
46	42.50611	1.5208334	0	42.508335	1.5236111	0	fr
47	42.50611	1.5208334	0	42.50722	1.5380555	0	fr
48	42.51139	1.5305556	0	42.50722	1.5380555	0	fr
49	42.50722	1.5380555	0	42.51139	1.5305556	0	fr
50	0.0	0.0	3	0.0	0.0	0	fr
51	0.0	0.0	1	0.0	0.0	1	sp
52	0.0	0.0	0	0.0	0.0	1	sp
53	42.496666	1.5125	0	42.496666	1.5125	0	sp
54	42.50722	1.5380555	0	42.50778	1.5325	0	sp
55	42.50778	1.5325	0	42.50778	1.5325	0	sp
56	42.508335	1.5236111	0	42.508335	1.5236111	0	sp
57	0.0	0.0	4	0.0	0.0	4	sp
58	42.50722	1.5380555	0	42.50722	1.5380555	0	sp
59	42.51139	1.5305556	0	42.50722	1.5380555	0	sp
60	0.0	0.0	2	0.0	0.0	2	sp
61	0.0	0.0	5	0.0	0.0	5	sp
62	0.0	0.0	6	0.0	0.0	6	sp
63	42.515278	1.5272223	0	42.515278	1.5272223	0	sp
64	42.50778	1.5325	0	42.515278	1.5272223	0	sp
65	0.0	0.0	0	0.0	0.0	2	sp
66	0.0	0.0	5	0.0	0.0	4	sp
67	0.0	0.0	3	0.0	0.0	3	sp
68	42.51139	1.5305556	0	42.51139	1.5305556	0	sp
69	42.50611	1.5208334	0	42.51139	1.5305556	0	sp
70	42.50778	1.5325	0	42.51139	1.5305556	0	sp
71	0.0	0.0	1	0.0	0.0	0	sp
72	42.5075	1.5227778	0	42.5075	1.5227778	0	sp
73	42.508335	1.5236111	0	42.5075	1.5227778	0	sp
74	42.496666	1.4980556	0	42.50611	1.5208334	0	sp
75	42.50778	1.5325	0	42.50611	1.5208334	0	sp
76	42.50611	1.5208334	0	42.50611	1.5208334	0	sp
77	42.51139	1.5305556	0	42.50611	1.5208334	0	sp
78	42.510834	1.5402777	0	42.510834	1.5402777	0	sp
79	42.50722	1.5380555	0	42.510834	1.5402777	0	sp
80	42.51139	1.5305556	0	42.50778	1.5325	0	sp
81	42.510834	1.5402777	0	42.50722	1.5380555	0	sp
82	42.517223	1.5677778	0	42.517223	1.5677778	0	sp
83	42.509445	1.5230556	0	42.509445	1.5230556	0	sp
84	42.50611	1.5208334	0	42.496666	1.4980556	0	sp
85	42.496666	1.4980556	0	42.496666	1.4980556	0	sp
86	42.504166	1.5272223	0	42.504166	1.5272223	0	sp
87	42.509445	1.5230556	0	42.508335	1.5236111	0	sp
88	42.50083	1.5311111	0	42.51139	1.5305556	0	sp
89	42.510834	1.5402777	0	42.51139	1.5305556	0	sp
90	0.0	0.0	2	0.0	0.0	1	sp
91	42.50778	1.5325	0	42.50083	1.5311111	0	sp
92	42.510834	1.5402777	0	42.50083	1.5311111	0	sp
93	42.50611	1.5208334	0	42.50083	1.5311111	0	sp
94	42.50611	1.5208334	0	42.50778	1.5325	0	sp
95	42.510834	1.5402777	0	42.50778	1.5325	0	sp
96	42.50083	1.5311111	0	42.50778	1.5325	0	sp
97	42.504166	1.5272223	0	42.508335	1.5236111	0	sp
98	42.50611	1.5208334	0	42.508335	1.5236111	0	sp
99	42.50722	1.5380555	0	42.51139	1.5305556	0	sp
100	42.51139	1.5305556	0	42.510834	1.5402777	0	sp
101	42.50083	1.5311111	0	42.510834	1.5402777	0	sp
102	42.50778	1.5325	0	42.510834	1.5402777	0	sp
103	42.508335	1.5236111	0	42.509445	1.5230556	0	sp
104	0.0	0.0	1	0.0	0.0	1	other
105	42.496666	1.5125	0	42.496666	1.5125	0	other
106	42.5075	1.5227778	0	42.496666	1.5125	0	other
107	42.50611	1.5208334	0	42.496666	1.5125	0	other
108	42.50778	1.5325	0	42.50778	1.5325	0	other
109	42.508335	1.5236111	0	42.508335	1.5236111	0	other
110	42.5075	1.5227778	0	42.508335	1.5236111	0	other
111	42.51139	1.5305556	0	42.508335	1.5236111	0	other
112	42.509445	1.5230556	0	42.508335	1.5236111	0	other
113	0.0	0.0	4	0.0	0.0	4	other
114	42.50722	1.5380555	0	42.50722	1.5380555	0	other
115	0.0	0.0	2	0.0	0.0	2	other
116	0.0	0.0	0	0.0	0.0	1	other
117	0.0	0.0	5	0.0	0.0	5	other
118	0.0	0.0	6	0.0	0.0	6	other
119	0.0	0.0	3	0.0	0.0	3	other
120	42.50778	1.5325	0	42.51139	1.5305556	0	other
121	42.504166	1.5272223	0	42.5075	1.5227778	0	other
122	42.5075	1.5227778	0	42.5075	1.5227778	0	other
123	42.50611	1.5208334	0	42.50611	1.5208334	0	other
124	42.510834	1.5402777	0	42.510834	1.5402777	0	other
125	42.51139	1.5305556	0	42.510834	1.5402777	0	other
126	42.509445	1.5230556	0	42.510834	1.5402777	0	other
127	42.496666	1.4980556	0	42.496666	1.4980556	0	other
128	42.509445	1.5230556	0	42.509445	1.5230556	0	other
129	42.508335	1.5236111	0	42.509445	1.5230556	0	other
130	42.508335	1.5236111	0	42.504166	1.5272223	0	other
131	42.504166	1.5272223	0	42.504166	1.5272223	0	other
132	42.50083	1.5311111	0	42.50611	1.5208334	0	other
133	42.50083	1.5311111	0	42.50083	1.5311111	0	other
134	42.51139	1.5305556	0	42.51139	1.5305556	0	other
135	42.51139	1.5305556	0	42.50778	1.5325	0	other
136	42.510834	1.5402777	0	42.508335	1.5236111	0	other
137	42.504166	1.5272223	0	42.508335	1.5236111	0	other
138	42.510834	1.5402777	0	42.51139	1.5305556	0	other
139	42.508335	1.5236111	0	42.51139	1.5305556	0	other
140	0.0	0.0	4	0.0	0.0	5	fr
