HOUR	EDGE_ID	AMOUNT
0	1	3
0	1	5
0	3	1
0	5	1
0	6	50
0	7	7
0	8	3
0	8	1
0	10	1
0	12	1
0	13	2
0	15	1
0	17	1
0	19	1
0	21	1
0	22	1
0	24	1
0	26	9
0	26	1
0	28	1
0	30	1
0	32	1
0	34	1
0	36	1
0	38	1
0	13	1
0	32	1
0	10	1
0	42	29
0	43	1
0	43	1
0	45	1
0	46	1
0	48	1
0	13	1
0	28	2
0	52	1
0	24	2
0	54	1
0	55	1
0	54	1
0	10	1
0	58	1
0	59	1
0	60	1
0	61	1
0	48	1
0	64	1
0	28	1
0	10	1
0	67	2
0	68	2
0	69	1
0	70	1
0	72	1
0	74	1
0	74	1
0	76	4
0	77	1
0	77	1
0	80	15
0	81	1
0	83	1
0	85	1
0	87	1
0	89	1
0	91	1
0	93	1
0	93	2
0	96	1
0	97	1
0	99	4
0	100	1
0	102	1
0	104	1
0	106	22
0	107	1
0	108	1
0	109	1
0	110	6
0	112	6
0	114	1
0	97	1
0	117	1
0	118	1
0	96	1
0	121	1
0	123	1
0	97	1
0	126	1
0	128	1
0	96	1
0	102	1
0	131	1
0	132	1
0	133	3
0	133	1
0	135	1
0	136	1
0	138	1
0	140	1
0	142	4
0	143	1
0	138	1
0	146	1
0	146	1
0	149	1
0	151	1
0	151	1
0	152	4
0	154	1
0	156	1
0	156	1
0	157	1
0	146	1
0	160	1
0	162	1
0	164	4
0	165	1
0	167	1
1	168	1
1	1	1
1	3	2
1	6	15
1	60	1
1	7	20
1	22	1
1	169	1
1	12	8
1	14	1
1	20	1
1	20	1
1	170	1
1	11	1
1	23	14
1	24	1
1	26	2
1	29	2
1	29	1
1	31	6
1	31	1
1	45	1
1	174	1
1	35	4
1	175	1
1	38	1
1	9	1
1	42	4
1	177	1
1	178	1
1	43	1
1	62	1
1	47	1
1	49	1
1	52	1
1	57	1
1	60	1
1	28	1
1	39	1
1	39	1
1	180	1
1	71	1
1	72	1
1	76	4
1	181	2
1	80	8
1	81	1
1	182	1
1	86	1
1	88	2
1	89	2
1	91	1
1	93	1
1	93	3
1	93	1
1	183	1
1	184	1
1	100	1
1	106	29
1	107	3
1	131	1
1	112	3
1	185	1
1	116	5
1	117	1
1	121	1
1	186	1
1	187	1
1	92	1
1	92	1
1	130	1
1	192	1
1	132	6
1	194	1
1	133	2
1	135	1
1	137	3
1	137	2
1	197	2
1	140	1
1	163	1
1	145	1
1	198	2
1	199	2
1	151	1
1	152	1
1	201	1
1	203	1
1	133	2
1	154	1
1	205	1
1	206	1
1	194	1
1	207	1
1	208	1
1	152	1
1	144	2
1	210	1
2	13	1
2	3	1
2	58	1
2	211	1
2	48	1
2	48	1
2	8	1
2	10	1
2	14	2
2	16	28
2	212	1
2	213	2
2	19	1
2	26	1
2	29	1
2	31	2
2	174	1
2	35	2
2	13	1
2	214	1
2	41	1
2	41	1
2	43	1
2	66	1
2	49	1
2	51	3
2	13	1
2	2	1
2	63	1
2	169	1
2	66	1
2	218	1
2	219	1
2	69	1
2	71	4
2	72	1
2	74	1
2	78	1
2	79	1
2	80	4
2	81	1
2	86	1
2	88	2
2	89	1
2	93	2
2	183	1
2	99	1
2	98	1
2	104	1
2	191	1
2	107	1
2	107	1
2	221	1
2	222	1
2	223	1
2	224	1
2	225	1
2	180	1
2	121	1
2	109	1
2	96	1
2	135	1
2	196	1
2	139	1
2	140	1
2	132	4
2	144	1
2	132	1
2	146	11
2	148	1
2	148	1
2	151	1
2	138	1
2	163	1
2	155	2
2	133	2
2	156	2
2	229	1
2	158	1
2	146	1
2	146	1
2	133	5
2	140	3
2	144	2
2	154	12
3	13	1
3	3	2
3	10	1
3	7	1
3	8	1
3	10	1
3	14	1
3	16	24
3	19	1
3	13	1
3	23	5
3	11	1
3	231	1
3	31	5
3	218	1
3	18	1
3	35	2
3	37	1
3	41	1
3	44	2
3	178	1
3	49	1
3	15	1
3	171	1
3	2	1
3	234	1
3	46	1
3	47	1
3	9	1
3	25	1
3	37	1
3	72	1
3	73	9
3	74	1
3	76	3
3	181	1
3	76	5
3	77	1
3	80	8
3	83	1
3	86	2
3	88	3
3	89	1
3	93	2
3	239	1
3	190	1
3	190	1
3	106	13
3	107	1
3	107	1
3	112	5
3	240	1
3	97	1
3	117	1
3	226	1
3	121	1
3	103	1
3	242	1
3	94	1
