DATE	HOUR	EDGE_ID	AMOUNT
2015.07.12	0	1	1
2015.07.12	0	3	1
2015.07.12	0	5	4
2015.07.12	0	6	1
2015.07.12	0	8	1
2015.07.12	0	10	1
2015.07.12	0	12	1
2015.07.12	0	14	5
2015.07.12	0	15	13
2015.07.12	0	16	1
2015.07.12	0	16	2
2015.07.12	0	16	2
2015.07.12	0	20	1
2015.07.12	0	22	73
2015.07.12	0	23	1
2015.07.12	0	25	1
2015.07.12	0	6	1
2015.07.12	0	1	1
2015.07.12	0	29	5
2015.07.12	0	31	1
2015.07.12	0	32	1
2015.07.12	0	32	1
2015.07.12	0	35	2
2015.07.12	0	36	1
2015.07.12	0	8	1
2015.07.12	0	39	1
2015.07.12	0	8	1
2015.07.12	0	42	2
2015.07.12	0	44	1
2015.07.12	0	46	1
2015.07.12	0	46	1
2015.07.12	0	49	1
2015.07.12	0	51	216
2015.07.12	0	16	23
2015.07.12	0	6	1
2015.07.12	0	52	1
2015.07.12	0	54	1
2015.07.12	0	56	1
2015.07.12	0	6	1
2015.07.12	0	59	1
2015.07.12	0	61	1
2015.07.12	0	63	4
2015.07.12	0	63	1
2015.07.12	0	65	1
2015.07.12	0	1	1
2015.07.12	0	67	1
2015.07.12	0	68	3
2015.07.12	0	23	1
2015.07.12	0	70	1
2015.07.12	0	70	2
2015.07.12	0	73	1
2015.07.12	0	75	3
2015.07.12	0	76	2
2015.07.12	0	76	1
2015.07.12	0	77	1
2015.07.12	0	42	3
2015.07.12	0	79	1
2015.07.12	0	81	1
2015.07.12	0	83	1
2015.07.12	0	84	2
2015.07.12	0	85	2
2015.07.12	0	87	1
2015.07.12	0	89	1
2015.07.12	0	91	1
2015.07.12	0	93	195
2015.07.12	0	94	26
2015.07.12	0	95	1
2015.07.12	0	96	1
2015.07.12	0	87	1
2015.07.12	0	99	1
2015.07.12	0	101	1
2015.07.12	0	103	1
2015.07.12	0	105	1
2015.07.12	0	83	1
2015.07.12	0	108	11
2015.07.12	0	109	1
2015.07.12	0	111	7
2015.07.12	0	111	6
2015.07.12	0	109	1
2015.07.12	0	113	1
2015.07.12	0	115	1
2015.07.12	0	116	1
2015.07.12	0	87	1
2015.07.12	0	119	1
2015.07.12	0	120	1
2015.07.12	0	122	2
2015.07.12	0	124	1
2015.07.12	0	125	1
2015.07.12	0	125	1
2015.07.12	0	127	1
2015.07.12	0	128	1
2015.07.12	0	87	1
2015.07.12	0	130	2
2015.07.12	0	131	4
2015.07.12	0	133	19
2015.07.12	0	135	4
2015.07.12	0	137	9
2015.07.12	0	137	6
2015.07.12	0	135	2
2015.07.12	0	140	1
2015.07.12	0	141	1
2015.07.12	0	143	1
2015.07.12	0	145	1
2015.07.12	0	113	2
2015.07.12	0	146	1
2015.07.12	0	148	1
2015.07.12	0	148	2
2015.07.12	0	151	1
2015.07.12	0	87	1
2015.07.12	0	143	1
2015.07.12	0	153	1
2015.07.12	0	155	1
2015.07.12	0	87	1
2015.07.12	0	158	1
2015.07.12	0	159	1
2015.07.12	0	135	9
2015.07.12	0	162	1
2015.07.12	0	164	1
2015.07.12	0	166	6
