,amount,country,date,destination_container,destination_lat,destination_lon,hour,origin_container,origin_lat,origin_lon
0,12,sp,12/25/14,0,42.49666667,1.498055556,13,0,42.49666667,1.498055556
1,1,sp,12/25/14,0,42.50416667,1.527222222,13,0,42.49666667,1.498055556
2,1,sp,12/25/14,0,42.5075,1.522777778,13,0,42.49666667,1.498055556
3,1,sp,12/25/14,0,42.50944444,1.523055556,13,0,42.49666667,1.498055556
4,33,sp,12/25/14,0,42.49666667,1.5125,13,0,42.49666667,1.5125
5,1,sp,12/25/14,0,42.50611111,1.520833333,13,0,42.49666667,1.5125
6,1,sp,12/25/14,0,42.50944444,1.523055556,13,0,42.49666667,1.5125
7,1,sp,12/25/14,0,42.51083333,1.540277778,13,0,42.49666667,1.5125
8,1,sp,12/25/14,0,42.51138889,1.530555556,13,0,42.49666667,1.5125
9,1,sp,12/25/14,0,42.49666667,1.5125,13,0,42.50083333,1.531111111
10,4,sp,12/25/14,0,42.50083333,1.531111111,13,0,42.50083333,1.531111111
11,1,sp,12/25/14,0,42.50777778,1.5325,13,0,42.50083333,1.531111111
12,1,sp,12/25/14,0,42.51083333,1.540277778,13,0,42.50083333,1.531111111
13,14,sp,12/25/14,0,42.50416667,1.527222222,13,0,42.50416667,1.527222222
14,1,sp,12/25/14,0,42.5075,1.522777778,13,0,42.50416667,1.527222222
15,3,sp,12/25/14,0,42.50833333,1.523611111,13,0,42.50416667,1.527222222
16,1,sp,12/25/14,0,42.50527778,1.517777778,13,0,42.50527778,1.517777778
17,1,sp,12/25/14,0,42.49666667,1.5125,13,0,42.50611111,1.520833333
18,1,sp,12/25/14,0,42.50416667,1.527222222,13,0,42.50611111,1.520833333
19,16,sp,12/25/14,0,42.50611111,1.520833333,13,0,42.50611111,1.520833333
20,2,sp,12/25/14,0,42.50722222,1.538055556,13,0,42.50611111,1.520833333
21,3,sp,12/25/14,0,42.5075,1.522777778,13,0,42.50611111,1.520833333
22,1,sp,12/25/14,0,42.50833333,1.523611111,13,0,42.50611111,1.520833333
23,1,sp,12/25/14,0,42.50944444,1.523055556,13,0,42.50611111,1.520833333
24,58,sp,12/25/14,0,42.50722222,1.538055556,13,0,42.50722222,1.538055556
25,1,sp,12/25/14,0,42.50777778,1.5325,13,0,42.50722222,1.538055556
26,1,sp,12/25/14,0,42.50833333,1.523611111,13,0,42.50722222,1.538055556
27,8,sp,12/25/14,0,42.51083333,1.540277778,13,0,42.50722222,1.538055556
28,5,sp,12/25/14,0,42.51138889,1.530555556,13,0,42.50722222,1.538055556
29,1,sp,12/25/14,0,42.50416667,1.527222222,13,0,42.5075,1.522777778
30,2,sp,12/25/14,0,42.50611111,1.520833333,13,0,42.5075,1.522777778
31,25,sp,12/25/14,0,42.5075,1.522777778,13,0,42.5075,1.522777778
32,1,sp,12/25/14,0,42.50777778,1.5325,13,0,42.5075,1.522777778
33,4,sp,12/25/14,0,42.51138889,1.530555556,13,0,42.5075,1.522777778
34,1,sp,12/25/14,0,42.49666667,1.498055556,13,0,42.50777778,1.5325
35,1,sp,12/25/14,0,42.49666667,1.5125,13,0,42.50777778,1.5325
36,1,sp,12/25/14,0,42.50083333,1.531111111,13,0,42.50777778,1.5325
37,1,sp,12/25/14,0,42.50611111,1.520833333,13,0,42.50777778,1.5325
38,1,sp,12/25/14,0,42.50722222,1.538055556,13,0,42.50777778,1.5325
39,37,sp,12/25/14,0,42.50777778,1.5325,13,0,42.50777778,1.5325
40,2,sp,12/25/14,0,42.51083333,1.540277778,13,0,42.50777778,1.5325
41,2,sp,12/25/14,0,42.51138889,1.530555556,13,0,42.50777778,1.5325
42,2,sp,12/25/14,0,42.50416667,1.527222222,13,0,42.50833333,1.523611111
43,2,sp,12/25/14,0,42.50611111,1.520833333,13,0,42.50833333,1.523611111
44,1,sp,12/25/14,0,42.50722222,1.538055556,13,0,42.50833333,1.523611111
45,1,sp,12/25/14,0,42.5075,1.522777778,13,0,42.50833333,1.523611111
46,1,sp,12/25/14,0,42.50777778,1.5325,13,0,42.50833333,1.523611111
47,24,sp,12/25/14,0,42.50833333,1.523611111,13,0,42.50833333,1.523611111
48,1,sp,12/25/14,0,42.50944444,1.523055556,13,0,42.50833333,1.523611111
49,2,sp,12/25/14,0,42.51083333,1.540277778,13,0,42.50833333,1.523611111
50,3,sp,12/25/14,0,42.51138889,1.530555556,13,0,42.50833333,1.523611111
51,1,sp,12/25/14,0,42.50083333,1.531111111,13,0,42.50944444,1.523055556
52,1,sp,12/25/14,0,42.50416667,1.527222222,13,0,42.50944444,1.523055556
53,1,sp,12/25/14,0,42.50611111,1.520833333,13,0,42.50944444,1.523055556
54,1,sp,12/25/14,0,42.5075,1.522777778,13,0,42.50944444,1.523055556
55,16,sp,12/25/14,0,42.50944444,1.523055556,13,0,42.50944444,1.523055556
56,1,sp,12/25/14,0,42.51083333,1.540277778,13,0,42.50944444,1.523055556
57,9,sp,12/25/14,0,42.50722222,1.538055556,13,0,42.51083333,1.540277778
58,4,sp,12/25/14,0,42.50777778,1.5325,13,0,42.51083333,1.540277778
59,1,sp,12/25/14,0,42.50833333,1.523611111,13,0,42.51083333,1.540277778
60,44,sp,12/25/14,0,42.51083333,1.540277778,13,0,42.51083333,1.540277778
61,8,sp,12/25/14,0,42.51138889,1.530555556,13,0,42.51083333,1.540277778
62,2,sp,12/25/14,0,42.49666667,1.5125,13,0,42.51138889,1.530555556
63,1,sp,12/25/14,0,42.50722222,1.538055556,13,0,42.51138889,1.530555556
64,11,sp,12/25/14,0,42.50777778,1.5325,13,0,42.51138889,1.530555556
65,1,sp,12/25/14,0,42.50833333,1.523611111,13,0,42.51138889,1.530555556
66,3,sp,12/25/14,0,42.51083333,1.540277778,13,0,42.51138889,1.530555556
67,35,sp,12/25/14,0,42.51138889,1.530555556,13,0,42.51138889,1.530555556
68,8,fr,12/25/14,0,42.49666667,1.5125,13,0,42.49666667,1.5125
69,1,fr,12/25/14,0,42.50722222,1.538055556,13,0,42.49666667,1.5125
70,1,fr,12/25/14,0,42.50777778,1.5325,13,0,42.49666667,1.5125
71,1,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.49666667,1.5125
72,1,fr,12/25/14,0,42.50944444,1.523055556,13,0,42.49666667,1.5125
73,1,fr,12/25/14,0,42.51083333,1.540277778,13,0,42.49666667,1.5125
74,4,fr,12/25/14,0,42.50083333,1.531111111,13,0,42.50083333,1.531111111
75,2,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.50083333,1.531111111
76,4,fr,12/25/14,0,42.50416667,1.527222222,13,0,42.50416667,1.527222222
77,1,fr,12/25/14,0,42.50722222,1.538055556,13,0,42.50416667,1.527222222
78,2,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.50416667,1.527222222
79,1,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.50527778,1.517777778
80,1,fr,12/25/14,0,42.49666667,1.5125,13,0,42.50611111,1.520833333
81,37,fr,12/25/14,0,42.50611111,1.520833333,13,0,42.50611111,1.520833333
82,2,fr,12/25/14,0,42.5075,1.522777778,13,0,42.50611111,1.520833333
83,1,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.50611111,1.520833333
84,2,fr,12/25/14,0,42.50722222,1.5225,13,0,42.50722222,1.5225
85,1,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.50722222,1.5225
86,3,fr,12/25/14,0,42.50083333,1.531111111,13,0,42.50722222,1.538055556
87,41,fr,12/25/14,0,42.50722222,1.538055556,13,0,42.50722222,1.538055556
88,1,fr,12/25/14,0,42.5075,1.522777778,13,0,42.50722222,1.538055556
89,1,fr,12/25/14,0,42.50777778,1.5325,13,0,42.50722222,1.538055556
90,1,fr,12/25/14,0,42.51083333,1.540277778,13,0,42.50722222,1.538055556
91,1,fr,12/25/14,0,42.51722222,1.567777778,13,0,42.50722222,1.538055556
92,1,fr,12/25/14,0,42.50611111,1.520833333,13,0,42.5075,1.522777778
93,3,fr,12/25/14,0,42.50722222,1.538055556,13,0,42.5075,1.522777778
94,19,fr,12/25/14,0,42.5075,1.522777778,13,0,42.5075,1.522777778
95,1,fr,12/25/14,0,42.50777778,1.5325,13,0,42.5075,1.522777778
96,4,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.5075,1.522777778
97,1,fr,12/25/14,0,42.50722222,1.538055556,13,0,42.50777778,1.5325
98,14,fr,12/25/14,0,42.50777778,1.5325,13,0,42.50777778,1.5325
99,1,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.50777778,1.5325
100,1,fr,12/25/14,0,42.50083333,1.531111111,13,0,42.50833333,1.523611111
101,1,fr,12/25/14,0,42.50416667,1.527222222,13,0,42.50833333,1.523611111
102,1,fr,12/25/14,0,42.50611111,1.520833333,13,0,42.50833333,1.523611111
103,3,fr,12/25/14,0,42.50722222,1.5225,13,0,42.50833333,1.523611111
104,4,fr,12/25/14,0,42.5075,1.522777778,13,0,42.50833333,1.523611111
105,28,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.50833333,1.523611111
106,2,fr,12/25/14,0,42.50944444,1.523055556,13,0,42.50833333,1.523611111
107,3,fr,12/25/14,0,42.51138889,1.530555556,13,0,42.50833333,1.523611111
108,2,fr,12/25/14,0,42.50833333,1.523611111,13,0,42.50944444,1.523055556
109,4,fr,12/25/14,0,42.50944444,1.523055556,13,0,42.50944444,1.523055556
110,1,fr,12/25/14,0,42.50722222,1.538055556,13,0,42.51083333,1.540277778
111,1,fr,12/25/14,0,42.50777778,1.5325,13,0,42.51083333,1.540277778
112,21,fr,12/25/14,0,42.51083333,1.540277778,13,0,42.51083333,1.540277778
113,1,fr,12/25/14,0,42.51138889,1.530555556,13,0,42.51083333,1.540277778
114,2,fr,12/25/14,0,42.50083333,1.531111111,13,0,42.51138889,1.530555556
115,2,fr,12/25/14,0,42.50416667,1.527222222,13,0,42.51138889,1.530555556
116,1,fr,12/25/14,0,42.50527778,1.517777778,13,0,42.51138889,1.530555556
117,2,fr,12/25/14,0,42.50611111,1.520833333,13,0,42.51138889,1.530555556
118,1,fr,12/25/14,0,42.50722222,1.538055556,13,0,42.51138889,1.530555556
119,1,fr,12/25/14,0,42.5075,1.522777778,13,0,42.51138889,1.530555556
120,3,fr,12/25/14,0,42.50777778,1.5325,13,0,42.51138889,1.530555556
