Name,Lat,Long,Reviews,Stars,Type
Grandvalira Ski Resort,42.578394,1.646131,510,,Attraction
Guillem Hotel,42.535707,1.583299,3,5,Hotel
Shusski Hotel Andorra La Vella,42.534919,1.587221,4,4,Hotel
L'Orri,42.532501,1.573982,14,4,Restaurant
Sola Irrigation Canal Trail,42.5276424,1.5206606,13,,Attraction
La Dama Del Lac,42.522504,1.571996,9,2,Restaurant
La Dama Del Lac,42.522504,1.571996,9,2,Restaurant
Mola Park Atiram,42.511541,1.538627,236,5,Hotel
Hotel Espel,42.510635,1.542092,123,4,Hotel
Metropolis,42.510291,1.54081,99,4,Hotel
L'esquiador,42.510075,1.538786,4,2,Restaurant
L'esquiador,42.510075,1.538786,4,2,Restaurant
Restaurant Els Cacadors,42.5100113,1.5294379,16,4,Restaurant
Golden Tulip Andorra F_nix,42.509528,1.539636,175,4,Hotel
L'Escenari de Pizzes,42.509467,1.5301592,288,5,Restaurant
Centre Termol_dic Caldea(Massage),42.5094549,1.5368931,90,,Attraction
IN_U,42.5094549,1.5368931,4,,Attraction
Pont de la Tosca,42.509447,1.5418069,3,,Attraction
Hotel Magic Andorra Restaurant,42.5093974,1.5282023,7,4,Restaurant
Termes De Carlemany Hotel,42.50937,1.544571,5,4,Hotel
Magic Andorra Hotel,42.509354,1.530051,253,4,Hotel
El Raco del Park,42.5092791,1.5206004,10,4,Restaurant
Complex Esportiu Prat del Roure,42.5092335,1.5371291,3,,Attraction
Hotel Roc Blanc,42.509222,1.539326,368,4,Hotel
Andorra Park Hotel,42.509219,1.523036,553,5,Hotel
Hotel Hesperia Restaurant,42.5091657,1.5271409,7,4,Restaurant
Fesc Co,42.509158,1.529276,22,3,Restaurant
Fesc Co,42.509158,1.529276,22,3,Restaurant
Roma,42.5091545,1.5274893,3,4,Restaurant
Pont dEngordany,42.5091307,1.5399508,3,,Attraction
Hotel Siracusa,42.509128,1.543259,48,3,Hotel
Hesperia Andorra la Vella,42.509116,1.52924,577,5,Hotel
Restaurant Grill Pizzeria La Mossegada,42.508981,1.529112,68,4,Restaurant
Restaurant Grill Pizzeria La Mossegada,42.508981,1.529112,68,4,Restaurant
The Burger Lounge,42.508957,1.53441,42,3,Restaurant
El Japo,42.50895,1.5263847,59,4,Restaurant
Hotel Residencia Paris Restaurant,42.50895,1.528531,2,3,Restaurant
El Refugi Alpi,42.5089333,1.5270089,370,4,Restaurant
Hotel Eureka,42.508898,1.540238,82,3,Hotel
Restaurant El Cap Bo,42.5088681,1.53232,25,5,Restaurant
Coll Arenys,42.5088588,1.5191881,3,,Attraction
Hotel Tudel,42.508819,1.539261,53,4,Hotel
Restaurant Ca La Conxita,42.5088152,1.5197177,53,5,Restaurant
Bodega Poblet,42.5088043,1.5213249,150,5,Restaurant
Hotel Acta Florida Andorra,42.508783,1.522177,80,4,Hotel
Lizarran,42.508732,1.528058,61,3,Restaurant
La Taverna d'Excalibur,42.5086338,1.5368836,137,3,Restaurant
Plaza de la Rotonda,42.5086133,1.5292124,10,,Attraction
Sal i Pebre,42.508594,1.530712,1,3,Restaurant
Hotel Cims,42.50859,1.530739,17,3,Hotel
Chesterfield Lounge,42.508589,1.527767,1,3,Restaurant
Chesterfield Lounge,42.508589,1.527767,1,3,Restaurant
Marfany,42.50856,1.53655,44,3,Hotel
El Tall a Taula,42.5085041,1.5289951,71,4,Restaurant
Mc Donald's,42.5084785,1.5284006,6,4,Restaurant
Salvia D'Or Restaurant,42.5084489,1.5256794,7,4,Restaurant
La cafeteria 124,42.508382,1.533411,1,3,Restaurant
Restaurant 120,42.508357,1.5312303,398,4,Restaurant
Hotel Starc,42.508338,1.533162,1,2,Hotel
La Cava Andorra,42.5083325,1.5197924,98,5,Restaurant
Restaurant Hotel Husa Centric,42.508319,1.5267344,45,4,Restaurant
Centric Atiram Hotel,42.5083,1.531454,344,4,Hotel
La Brasserie at Hotel Andorra Palace,42.5082991,1.52481,4,4,Restaurant
Quarts de Quinze,42.508284,1.521535,33,5,Restaurant
Hotel Andorra Palace,42.50827,1.527125,60,4,Hotel
La Cortina Restaurant,42.508259,1.521539,1,3,Restaurant
Vilarrasa,42.508251,1.521497,10,3,Restaurant
Vilarrasa,42.508251,1.521497,10,3,Restaurant
Exe Prisma Hotel,42.508249,1.538657,224,5,Hotel
Cca - Centre Comercial Andorra,42.5082301,1.5303401,23,,Attraction
Cafeteria Self-Service CCA,42.508228,1.530337,4,3,Restaurant
Cafeteria Self-Service CCA,42.508228,1.530337,4,3,Restaurant
Restaurant Eximi,42.5081963,1.5224501,315,5,Restaurant
L'Alternativa,42.5081503,1.5196952,24,5,Restaurant
La Botiga Del Te,42.5081499,1.5225895,39,5,Restaurant
Tastets,42.508138,1.522179,9,3,Restaurant
Tastets,42.508138,1.522179,9,3,Restaurant
El Crosto,42.5081367,1.5221802,193,5,Restaurant
Restaurante Vermell Ahotels Princep,42.5081193,1.5319705,34,4,Restaurant
Restaurant Pizzeria Magna,42.5081114,1.5270003,5,5,Restaurant
Mama Maria,42.5080783,1.5228039,590,3,Restaurant
Sushi and Gong,42.5080372,1.5205624,52,4,Restaurant
And Burger Zero,42.508033,1.5222998,241,5,Restaurant
Hotel Eurostars Andorra Centre,42.508031,1.524777,58,4,Hotel
Tulip Inn Andorra Delfos Hotel,42.508019,1.538667,192,4,Hotel
Restaurant 3 Eixos,42.5079993,1.5256503,9,5,Restaurant
Hotel De L'Isard,42.507968,1.525226,348,4,Hotel
Hotel Isard Restaurant,42.5079499,1.5230436,32,4,Restaurant
La Piazza,42.507922,1.5289458,93,4,Restaurant
Restaurant El Faisa,42.5078979,1.5201406,32,4,Restaurant
Versailles,42.5078915,1.5220869,143,5,Restaurant
El Jardi at Hotel Mercure,42.5078909,1.4924492,7,4,Restaurant
Hotel Mercure Andorra,42.507885,1.52678,202,4,Hotel
