ID;Name;Callsign;Gen;Latitude;Longitude;Altitude (m);Height (m);Frequency (Hz) ;ERP (W?);Polarization;Direction (deg);Aperture (deg);Tilt M;Tilt E
2190;2VALMI0;2190;2G;42.525;1.536111;1575;0;915;31.933;V;0;360;0;0
2010;ALIGA0;2010;2G;42.55722;1.497778;1615;20;915;30.496;V;70;65;0;-10
2011;ALIGA1;2011;2G;42.55722;1.497778;1615;20;915;30.496;V;240;65;0;-5
2012;ALIGA2;2012;2G;42.55722;1.497778;1615;25;915;30.496;V;340;65;0;-5
1030;ANDORR0;1030;2G;42.50778;1.5325;1014;12;915;242.238;V;70;65;-3;-5
1031;ANDORR1;1031;2G;42.50778;1.5325;1014;12;915;242.238;V;280;65;-3;-3
1032;ANDORR2;1032;2G;42.50778;1.5325;1014;12;915;242.238;V;340;65;-3;-3
2040;ARANS0;2040;2G;42.58139;1.518889;1404;12;915;183.756;V;40;65;0;0
2041;ARANS1;2041;2G;42.58139;1.518889;1404;12;915;183.756;V;175;65;0;0
2090;ARCALI0;2090;2G;42.61972;1.486111;2505;6;915;31.933;V;0;360;0;0
2020;ARINSA0;2020;2G;42.580833;1.4775;1624;3;915;31.933;V;0;360;0;0
2021;ARINSA1;2021;2G;42.580833;1.4775;1624;3;915;183.756;V;145;65;0;8
3020;BARTRA0;3020;2G;42.519722;1.557222;1169;4;915;183.756;V;275;65;0;0
1610;BONAVI0;1610;2G;42.460278;1.491111;1005;3;915;196.899;V;0;65;0;-6
1611;BONAVI1;1611;2G;42.460278;1.491111;1005;12;915;196.899;V;225;65;0;-9
2570;BURNA0;2570;2G;42.53639;1.516111;1345;2;915;183.756;V;5;65;0;0
2571;BURNA1;2571;2G;42.53639;1.516111;1345;2;915;183.756;V;140;65;0;-4
1340;C_GRAL0;1340;2G;42.50611;1.520833;1031;3;915;183.756;V;120;65;0;0
1341;C_GRAL1;1341;2G;42.50611;1.520833;1031;3;915;183.756;V;240;65;0;0
3510;CANILL0;3510;2G;42.56889;1.585556;1533;8;915;40.202;V;0;360;0;0
1120;CANOLI0;1120;2G;42.476665;1.454444;1471;8;915;92.096;V;190|340;65;0|0;-10|8
1121;CANOLI1;1121;2G;42.476665;1.454444;1471;8;915;183.756;V;85;65;0;-12
4500;CARROI0;4500;2G;42.51389;1.495556;2295;4;915;183.756;V;25;65;0;-3
4501;CARROI1;4501;2G;42.51389;1.495556;2295;4;915;183.756;V;125;65;0;-4
4502;CARROI2;4502;2G;42.51389;1.495556;2295;4;915;183.756;V;160;65;0;-3
1770;CERTES0;1770;2G;42.474167;1.505556;1323;3;915;183.756;V;215;65;0;-6
1330;CGRALI0;1330;2G;42.50611;1.520833;1031;0;915;31.933;V;0;360;0;0
1100;COMELL0;1100;2G;42.496666;1.5125;1095;20;915;5.061;V;50;65;-8;-6
1101;COMELL1;1101;2G;42.496666;1.5125;1095;20;915;201.485;V;290;65;-3;-2
1680;COMETV0;1680;2G;42.50083;1.531111;1340;22;915;183.756;V;300;65;0;0
