obstacle	vertX	vertY
0	63.359997	63.359997
0	1872.0	59.52
0	1912.32	61.44
0	1908.48	126.71999
0	1891.2	105.6
0	1872.0	94.079994
0	1848.96	92.159996
0	1837.44	132.48
0	1864.32	508.8
0	1824.0	547.2
0	1762.5599	560.64
0	1608.96	577.92
0	1779.84	643.2
0	1760.64	729.6
0	912.0	716.16
0	839.04	733.44
0	792.95996	769.92
0	771.83997	806.39996
0	725.76	915.83997
0	-48.0	864.0
0	48.0	750.72
0	82.56	675.83997
0	69.119995	389.75998
0	119.04	391.68
0	195.84	318.72
0	318.72	299.52
0	432.0	351.36
0	587.51996	337.91998
0	744.95996	399.36
0	1614.72	577.92
0	735.36	410.88
0	585.6	353.28
0	428.16	368.63998
0	316.8	320.63998
0	122.88	339.84
0	69.119995	370.56
1	74.88	677.76
1	51.84	691.2
1	36.48	679.68
1	30.72	384.0
1	124.799995	343.68
1	128.64	385.91998
1	51.84	407.03998
2	1843.2	124.799995
2	1868.1599	130.56
2	1883.5199	153.59999
2	1879.6799	552.95996
2	1873.9199	581.76
2	1810.5599	587.51996
2	1806.72	549.12
2	1847.0399	535.68
2	1835.52	172.8
