obstacle	vertX	vertY
0	295.99997	726.0
0	351.0	516.0
0	384.0	486.99997
0	434.99997	339.99997
0	591.99994	339.0
0	693.99994	420.99997
0	744.99994	393.99997
0	971.99994	452.99997
0	1233.0	495.0
0	1614.9999	576.0
0	1717.9999	646.99994
0	1810.9999	570.99994
0	1748.8398	704.12
0	1726.08	710.39996
0	1004.16	710.39996
0	969.6	700.8
0	925.44	698.88
0	898.56	733.44
0	912.0	760.32
0	938.88	779.51996
0	950.39996	773.76
0	994.56	775.68
0	1009.92	750.72
0	1774.08	760.32
0	1800.96	727.68
0	1845.12	721.92
0	1860.48	754.56
0	1862.3999	791.04
0	1822.08	917.76
0	873.6	929.27997
0	798.72	921.6
0	741.12	869.76
0	769.92	771.83997
0	812.11993	707.07996
0	797.72	640.75995
0	731.83997	619.6
0	640.6	654.31995
0	570.0	687.16
0	501.99994	723.99994
0	372.0	857.99994
1	717.0	50.999996
1	747.99994	168.0
1	947.99994	238.99998
1	1047.0	165.0
1	1141.9999	69.99999
2	1140.9999	70.99999
2	1029.0	178.99998
2	1206.0	280.99997
2	1395.0	205.99998
2	1305.0	60.999996
3	1280.88	18.759996
3	1614.9999	577.99994
3	1714.9999	651.0
3	1821.7599	559.2399
3	1844.1199	556.32
3	1845.7198	36.679996
4	1580.9999	526.99994
4	1452.0	489.99997
4	1282.9999	408.99997
4	1045.9999	324.99997
4	977.99994	242.99998
4	897.99994	246.0
4	779.99994	218.99998
4	660.0	186.99998
4	564.99994	150.0
4	561.0	162.99998
4	853.99994	247.99997
4	910.99994	253.99997
4	972.99994	252.0
4	1038.9999	333.0
4	1278.9999	415.99997
4	1452.0	501.99994
5	576.99994	345.0
5	727.99994	400.99997
5	727.99994	390.99997
5	588.0	339.0
5	612.99994	222.99998
6	528.99994	253.99997
6	723.0	271.99997
6	877.99994	312.99997
6	972.99994	250.99997
6	959.99994	246.99998
6	874.99994	295.99997
6	726.99994	264.0
6	535.99994	241.99998
6	444.99997	215.99998
7	1906.5599	138.23999
7	1875.84	128.64
7	1850.88	149.76
7	1860.48	533.76
7	1870.08	556.8
8	53.76	683.51996
8	46.079998	385.91998
8	92.159996	387.84
8	88.32	382.08
8	26.88	384.0
8	26.88	675.83997
8	38.399998	704.64
9	28.8	368.63998
9	99.84	360.96
9	174.72	314.88
9	320.63998	295.68
9	430.08	345.6
9	435.84	174.72
9	687.36	59.52
9	716.16	9.599999
9	3.84	7.68
10	113.28	387.84
10	188.15999	357.12
10	320.63998	328.32
10	420.47998	376.31998
10	378.24	493.44
10	351.36	518.39996
10	274.56	802.56
10	266.88	856.32
10	7.68	892.8
10	1.92	689.27997
10	44.16	664.32
10	44.16	393.6
11	468.47998	787.2
11	648.95996	681.6
11	735.36	641.27997
11	781.44	662.39996
11	791.04	695.04
11	714.24	842.88
11	518.39996	1000.32
11	422.4	896.63995
