originx,originy,destinationx,destinationy
468.54376,158.94785,,
,,129.60095,200.91246
,,541.33984,160.94081
,,494.27075,154.92296
144.46259,201.29102,,
212.63873,397.1806,,
,,223.72766,168.4367
,,626.0005,175.98769
130.71411,205.14088,,
605.79395,317.9439,,
659.2915,345.9259,,
,,659.2915,345.9259
371.23022,138.55057,,
,,197.39319,154.50627
480.5233,195.74753,,
572.13306,301.2038,,
484.60284,151.68103,,
,,197.39319,154.50627
,,481.12903,153.17377
220.17126,175.64154,,
312.53384,187.92577,,
,,66.00183,307.92966
528.6503,132.70367,,
,,481.12903,153.17377
,,528.6503,132.70367
,,468.54376,158.94785
,,173.78027,181.03937
658.156,239.11765,,
,,496.75677,135.29362
605.62915,294.3114,,
541.33984,160.94081,,
,,480.5233,195.74753
223.72766,168.4367,,
344.26154,194.15794,,
,,641.92456,228.22601
,,572.8517,301.54657
,,528.6503,132.70367
,,312.53384,187.92577
,,341.82297,294.7423
,,197.39319,154.50627
612.70886,166.08739,,
641.92456,228.22601,,
377.88303,158.8415,,
220.17126,175.64154,,
,,541.33984,160.94081
,,480.5233,195.74753
,,627.3135,171.54712
,,370.7114,137.61844
173.78027,181.03937,,
572.13306,301.2038,,
,,341.82297,294.7423
,,570.84424,155.0202
129.60095,200.91246,,
,,276.39545,391.30145
,,634.06134,230.50087
634.11523,231.896,,
,,480.5582,195.76416
480.5233,195.74753,,
130.71411,205.14088,,
,,496.75677,135.29362
,,570.84424,155.0202
,,612.70886,166.08739
312.53384,187.92577,,
276.39545,391.30145,,
197.39319,154.50627,,
,,344.26154,194.15794
,,634.11523,231.896
494.27075,154.92296,,
130.71411,205.14088,,
,,494.27075,154.92296
,,570.84424,155.0202
572.13306,301.2038,,
,,484.60284,151.68103
611.0421,174.87833,,
514.44604,133.4604,,
312.53384,187.92577,,
,,573.6253,155.66197
,,634.06134,230.50087
619.70654,167.23409,,
,,456.6039,133.2594
341.82297,294.7423,,
,,377.88303,158.8415
129.60095,200.91246,,
480.5233,195.74753,,
,,377.88303,158.8415
665.66455,357.04526,,
605.62915,294.3114,,
,,220.17126,175.64154
,,480.5233,195.74753
480.5233,195.74753,,
659.2915,345.9259,,
