HOUR,TOTAL,SPANISH,FRENCH,OTHER
0,560,221,277,62
1,177,102,40,35
2,138,39,59,40
3,103,53,27,23
4,240,54,162,24
5,100,53,25,22
6,245,92,109,44
7,259,130,87,42
8,377,133,111,133
9,449,142,199,108
10,642,195,340,107
11,736,337,273,126
12,742,276,268,198
13,795,364,286,145
14,873,222,380,271
15,771,209,375,187
16,1034,241,482,311
17,781,207,312,262
18,855,267,441,147
19,526,180,234,112
20,395,134,177,84
21,366,145,136,85
22,464,261,94,109
23,234,80,82,72
24,222,67,62,93
25,192,52,113,27
26,95,32,35,28
27,111,39,41,31
28,145,38,35,72
29,115,44,42,29
30,576,446,93,37
31,182,84,49,49
32,453,205,169,79
33,626,148,331,147
34,715,172,399,144
35,536,198,184,154
36,871,419,244,208
37,724,304,277,143
38,1011,245,500,266
39,835,219,337,279
40,757,259,249,249
41,615,216,242,157
42,779,330,241,208
43,769,280,366,123
44,645,183,289,173
45,459,188,156,115
46,446,142,183,121
47,506,137,317,52
48,829,108,659,62
49,243,45,113,85
50,106,34,35,37
51,175,54,57,64
52,136,73,41,22
53,136,55,48,33
54,222,61,123,38
55,236,76,114,46
56,336,143,113,80
57,526,198,191,137
58,606,239,222,145
59,895,357,258,280
60,760,298,284,178
61,1203,257,682,264
62,833,228,414,191
63,748,242,283,223
64,828,274,358,196
65,931,267,396,268
66,758,341,248,169
67,621,256,232,133
68,700,238,313,149
69,691,236,369,86
70,1211,944,197,70
71,1685,836,785,64
72,844,244,554,46
73,345,102,213,30
74,173,56,83,34
75,151,61,53,37
76,197,68,96,33
77,173,62,73,38
78,305,84,182,39
79,193,60,64,69
80,447,114,261,72
81,442,231,128,83
82,840,235,413,192
83,793,280,341,172
84,894,277,449,168
85,893,308,402,183
86,863,223,447,193
87,585,181,218,186
88,708,259,211,238
89,797,305,308,184
90,807,326,222,259
91,657,285,208,164
92,792,312,219,261
93,762,258,306,198
94,451,269,103,79
95,530,125,322,83
96,271,120,81,70
97,497,112,349,36
98,436,100,295,41
99,216,78,98,40
100,179,76,71,32
101,456,79,345,32
102,574,98,432,44
103,702,99,561,42
104,484,102,286,96
105,672,277,289,106
106,953,361,469,123
107,889,269,456,164
108,596,231,233,132
109,1067,452,488,127
110,989,219,614,156
111,1025,413,361,251
112,1005,383,465,157
113,913,376,371,166
114,1105,477,508,120
115,818,262,350,206
116,808,260,393,155
117,725,425,168,132
118,499,160,221,118
119,400,210,117,73
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
