shapeid,Lat,Lon
0,1.5380958,42.5072958
0,1.5379936,42.5076888
0,1.5383445,42.5077383
0,1.5384467,42.5073453
0,1.5380958,42.5072958
1,1.5224977,42.505488
1,1.522429,42.5054868
1,1.5223617,42.5054764
1,1.5222981,42.5054571
1,1.5222404,42.5054294
1,1.5221906,42.5053945
1,1.5221504,42.5053533
1,1.5221211,42.5053074
1,1.5221037,42.5052584
1,1.5220989,42.5052078
1,1.5221067,42.5051574
1,1.522127,42.505109
1,1.522159,42.5050641
1,1.5222016,42.5050243
1,1.5222535,42.504991
1,1.5223127,42.5049652
1,1.5223774,42.5049479
1,1.5224453,42.5049397
1,1.5225141,42.5049408
1,1.5225814,42.5049512
1,1.522645,42.5049706
1,1.5227026,42.5049982
1,1.5227524,42.5050332
1,1.5227927,42.5050743
1,1.522822,42.5051202
1,1.5228393,42.5051693
1,1.5228442,42.5052199
1,1.5228363,42.5052703
1,1.5228161,42.5053187
1,1.5227841,42.5053636
1,1.5227414,42.5054034
1,1.5226896,42.5054367
1,1.5226303,42.5054625
1,1.5225656,42.5054797
1,1.5224977,42.505488
2,1.5341619,42.5099435
2,1.5344489,42.5099218
2,1.534571,42.5099218
2,1.5347064,42.5099277
2,1.5346863,42.5101343
2,1.5346125,42.5101294
2,1.5347855,42.5101996
2,1.5349304,42.5103815
2,1.5349344,42.5102994
2,1.535145,42.5103103
2,1.5351168,42.5105397
2,1.5349505,42.5106662
2,1.5345535,42.5103795
2,1.5341806,42.5100866
2,1.5341096,42.5100404
2,1.5340962,42.5100206
2,1.5340989,42.5099969
2,1.5341123,42.5099712
2,1.5341619,42.5099435
3,1.5306574,42.5103442
3,1.5308454,42.5103668
3,1.5308567,42.5103158
3,1.5306687,42.5102932
3,1.5306574,42.5103442
4,1.5215706,42.5073074
4,1.5218245,42.5073271
4,1.5218539,42.5070923
4,1.5217446,42.5070857
4,1.5217376,42.5070557
4,1.5217058,42.5070323
4,1.5216616,42.5070336
4,1.5216263,42.5070505
4,1.521621,42.5070766
4,1.5216018,42.5070765
4,1.5215706,42.5073074
5,1.5293594,42.5093556
5,1.529535,42.5092115
5,1.5295498,42.5091994
5,1.5299453,42.5094304
5,1.5302297,42.5095068
5,1.5303558,42.5095266
5,1.5305941,42.5095491
5,1.5306586,42.5095375
5,1.5306573,42.5095563
5,1.530656,42.5095768
5,1.5304162,42.5097787
5,1.5300004,42.5097431
5,1.5293594,42.5093556
6,1.5341731,42.5090638
6,1.5341482,42.5090442
6,1.5341371,42.5090044
6,1.5341729,42.508675
6,1.5342858,42.5086581
6,1.5344552,42.50861
6,1.5345066,42.5085508
6,1.5352484,42.508606
6,1.5352849,42.508616
6,1.5353175,42.5086309
6,1.5353366,42.508655
6,1.5353404,42.5086919
6,1.5352897,42.5091017
6,1.5352477,42.5091407
6,1.5351921,42.509146
6,1.5342327,42.5090901
6,1.5342003,42.5090844
6,1.5341731,42.5090638
7,1.5367725,42.5120048
7,1.5365984,42.5119407
7,1.5364663,42.5118288
7,1.5363241,42.5116145
7,1.5364441,42.5115422
7,1.5370929,42.5112906
7,1.5372683,42.511311
7,1.5374024,42.5112002
7,1.5377932,42.511072
7,1.5380077,42.5109839
7,1.5381217,42.5111421
7,1.5383118,42.5114063
7,1.5376436,42.5116625
7,1.5373919,42.5116516
7,1.5373121,42.5116783
7,1.5373153,42.5117766
7,1.5372717,42.5118305
7,1.5368707,42.5119894
7,1.5367725,42.5120048
8,1.5420157,42.5107971
8,1.5421712,42.5108208
8,1.5422437,42.5106329
8,1.5423,42.510631
8,1.5423188,42.5104708
8,1.5421015,42.5104313
8,1.5420157,42.5107971
9,1.5375289,42.5127394
9,1.5377657,42.5127314
9,1.5377572,42.5125962
9,1.5375204,42.5126042
9,1.5375289,42.5127394
10,1.5368518,42.5125481
10,1.5368983,42.5126401
10,1.5371635,42.5125674
10,1.537117,42.5124753
10,1.5368518,42.5125481
11,1.5409456,42.5087328
11,1.5413243,42.5087726
11,1.5413013,42.5089048
11,1.5409238,42.5088605
11,1.5409456,42.5087328
12,1.5439735,42.5090096
12,1.5438749,42.5091196
12,1.5439039,42.5091306
12,1.5438293,42.5092027
12,1.5438732,42.5092241
12,1.5438417,42.5092907
12,1.5438807,42.5092974
12,1.5438749,42.5093268
12,1.5439561,42.5093366
12,1.5439644,42.5093005
12,1.5440042,42.5093048
12,1.5440059,42.5092742
12,1.544078,42.5092553
12,1.544054,42.5091746
12,1.5440763,42.5091618
12,1.5440739,42.5089998
12,1.5440838,42.5089619
12,1.5440158,42.5089503
12,1.5439735,42.5090096
13,1.5418362,42.5088563
13,1.5415842,42.5088232
13,1.541559,42.5089277
13,1.541811,42.5089608
13,1.5418362,42.5088563
14,1.520357,42.5064102
14,1.5206255,42.506168
14,1.5210318,42.5064154
14,1.5207527,42.5066524
14,1.520357,42.5064102
15,1.5327842,42.5069521
15,1.5328264,42.5068884
15,1.5328633,42.5067819
15,1.5328668,42.5067029
15,1.5328442,42.5066613
15,1.5327845,42.5066576
15,1.5326989,42.5066511
15,1.5326137,42.5066488
15,1.5325182,42.5066597
15,1.5324054,42.5066703
15,1.5323468,42.5066932
15,1.5322941,42.506739
15,1.5323075,42.5067886
15,1.5323627,42.5068292
15,1.532412,42.5068512
15,1.5324702,42.5068785
15,1.5326126,42.5069869
15,1.5327276,42.5069939
15,1.5327842,42.5069521
16,1.5335159,42.5067414
16,1.5340792,42.5068837
16,1.5341596,42.5068165
16,1.5341382,42.5066979
16,1.5341006,42.506603
16,1.5339665,42.5065318
