tid,text,ts,uid,username,user_screen_name,created_at,timezone,user_description,coordinates,city,country,lang
743668930703568896,"Good morning,Andorra! #andorra #pianists @ Hotel Màgic La Massana https://t.co/Ty72gCjGHx",1466139464437,806433403,Mihaela Duma,DumaMihaela,Fri Jun 17 04:57:44 +0000 2016,Athens,pianist/artist,"[1.51519072, 42.54693834]",la Massana,Andorra,und
743681240872587264,Ni la nieve ni tu fuisteis un sueño #aunqueloparece #flipocontigo #contigoalfindelmundo… https://t.co/bpbNK01Ho7,1466142399410,224568310,leti nova,pisterilla,Fri Jun 17 05:46:39 +0000 2016,Paris,,"[1.73333, 42.55]",Encamp,Andorra,es
743688297830965248,Looking tip top out there this am! 💯 @ Anyós https://t.co/M9L3rNd8dY,1466144081920,26972430,Joel Strachan,TKMSMAX,Fri Jun 17 06:14:41 +0000 2016,Melbourne,"Cyclist at Satalyst Verve Racing in 2016  •  Instagram  | TKMSMAX • richmond, VIC  ✌️","[1.53333, 42.5333]",La Massana,Andorra,en
743693161126498304,Today I'm leaving the mountainous nation of Andorra and cycling my way back to northern Spain. @… https://t.co/twasYMvaNk,1466145241420,14603919,Bicycle Touring Pro,bicycletouring,Fri Jun 17 06:34:01 +0000 2016,Mountain Time (US & Canada),Modern bicycle touring and world travel information... from the Bicycle Touring Pro  - Tweets by Darren Alff,"[1.5, 42.5]",Andorra la Vella,Andorra,en
743702444287238144,"#felizfinde #neverusual ⚡
#NewCollection 😎 #Summer2016 
#bamboo #polarized #sunglasses 
➡ https://t.co/SeK6hcoWge 🌞 https://t.co/WvqmQ2R4bS",1466147454698,2776084585,SEVEN Sunglasses,Se7enSunglasses,Fri Jun 17 07:10:54 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-3.6955179, 40.4311025]",España,España,und
743706110956183552,@TylerMeers thank-you very much,1466148328900,149969114,Matthieu Paris2024,matthieuparis,Fri Jun 17 07:25:28 +0000 2016,Greenland,(-18y) http://twitter.com/Paris2024/stat… TO DREAM AND TO DO / THE STRENGTH OF DREAM,"[1.7022502, 46.8100617]",France,France,en
743732251377053697,"PORTUGAL VODAFONE - IPHONE UNLOCK ALL MODELS
https://t.co/5CcRdgF9Oy https://t.co/TD6I5qCD9x",1466154561262,719556105022676992,unlock world,WwwUnlockworld,Fri Jun 17 09:09:21 +0000 2016,,"Official Factory Unlock, iPhone Unlock, iCloud Unlock, Factory Codes.","[-3.7077146, 40.4531519]",España,España,de
743737896180424704,"@SocialMedier y esa interacción, Amel ha provocado qué formes parte de nuestra comunidad #neverusual ⚡ 🌞 #nananacomeon",1466155907088,2776084585,SEVEN Sunglasses,Se7enSunglasses,Fri Jun 17 09:31:47 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-3.694358, 40.4269157]",España,España,es
743743615214575616,"YA es #FinDeSemana !!! 😎
Alguna #combinacionperfecta mejor que ésta? 🕶🍺🍻🍺

#SevenSunglasses®  ✖️ #Lasalty https://t.co/UEwSm97Jlb",1466157270612,2776084585,SEVEN Sunglasses,Se7enSunglasses,Fri Jun 17 09:54:30 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-3.6941928, 40.4268458]",España,España,es
743763187498094592,f,1466161937008,859997336,DubNationOrDie.,tndstrs,Fri Jun 17 11:12:17 +0000 2016,Amsterdam,ZzZzZ,"[2.6248259, 48.5392894]",France,France,und
743774301489364992,We are here! Let the days begin🗼,1466164586790,725102779530940417,Cassandra,__cassandra13,Fri Jun 17 11:56:26 +0000 2016,,Sometimes we search for one thing but discover another. -HIMYM,"[2.3012113, 48.8246558]",France,France,en
743775403022651394,@KatieHayKnight Haz qué sea #neverusual ⚡ 😎 🎤 🎸,1466164849416,2776084585,SEVEN Sunglasses,Se7enSunglasses,Fri Jun 17 12:00:49 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-3.7195141, 40.4285488]",España,España,es
743775816429993984,@Alicante_City lo vemos 😎 🌞 🔥,1466164947980,2776084585,SEVEN Sunglasses,Se7enSunglasses,Fri Jun 17 12:02:27 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-3.7195166, 40.4285264]",España,España,es
743781426403942400,En #larotonda sí que saben cómo presentar #quieretemuchomaricon 😍 @ Principado De Andorra https://t.co/2syT8lwIOM,1466166285502,255996793,Gabriel J. Martín,GabrielJMartin,Fri Jun 17 12:24:45 +0000 2016,London,"Ser gay fue casualidad. Ser psicólogo, una vocación. Ser psicólogo especializado en gais fue una oportunidad. Y una gozada. Y una profesión fascinante.","[1.51306878, 42.50315082]",Andorra la Vieja,Andorra,es
743784512056885248,"#eau vive, air frais, se rafraîchir les idees... #Riviere de #montagne #balade à #Malniu… https://t.co/pJQorzAqG2",1466167021179,48865138,Alexandra Foissac,AF_VIC,Fri Jun 17 12:37:01 +0000 2016,Paris,"VICBIOSTART Communication #Biotech #Food #Innovation & Journaliste #Lifestyle #Tourisme, un blog http://www.9Skyline.com #voyage #art contemporain #vin","[1.78333, 42.3667]",Bellver de Cerdanya,España,fr
743804616249348096,"La vuelta al mundo en ochenta risas 💚

#Andorra #michica #20 #lovelovelove #pyrenees… https://t.co/rQ85lhOOLN",1466171814392,1522085881,Catarsis.,__snnd,Fri Jun 17 13:56:54 +0000 2016,Pacific Time (US & Canada),"- Prefirió reinar en el infierno que servir al cielo.
↘Flechazo a primera risa↙","[1.73333, 42.55]",Encamp,Andorra,es
743809919749492736,🇨🇭 @ Lake Geneva https://t.co/poDX49zzgN,1466173078845,450326353,Petar Pan,noxnoces69,Fri Jun 17 14:17:58 +0000 2016,Belgrade,,"[6.55, 46.43333333]",France,France,en
743819083758579712,"Si os preocuparais de meteros en vuestra vida, no tendriais que estar pendientes de lo que hacen unos y otros 👏",1466175263715,962758440,Æ,Adrian_aleon,Fri Jun 17 14:54:23 +0000 2016,Amsterdam,"Solo descansaremos cuando estemos muertos.                                         Dedicación, Motivación e inspiración AESTHETICS  Instagram: Adrileon15","[-5.6082492, 39.9867648]",España,España,es
743819173130809345,@AccorHotels_FR #WelcomeLesBleus #chambre1996,1466175285023,718102629436547072,Louis Perez,Louis_Prz,Fri Jun 17 14:54:45 +0000 2016,,,"[2.9006225, 50.562741]",France,France,und
743820987557285889,"Good mountain hike today! nikkenajs @dani_juncadella @ Pas De La Case, Andorra https://t.co/4C3ox5ARuT",1466175717616,316989623,Felix Rosenqvist,FRosenqvist,Fri Jun 17 15:01:57 +0000 2016,Stockholm,"European F3 Champion, 2x Macau Grand Prix & F3 Masters Winner. Racing in Blancpain Sprint Series, Indy Lights & DTM reserve/test driver for Mercedes-Benz.","[1.73218158, 42.54146408]",Encamp,Andorra,en
743831840155283456,An old beautiful city between the Pyrenees #Andorra #Grammasters3 #Landscape #Nikon… https://t.co/LoYSJ6eSTJ,1466178305077,115555842,Lou Umanzor,luisaumanzor,Fri Jun 17 15:45:05 +0000 2016,Pacific Time (US & Canada),Urrghh... Is this thing on?,"[1.5229481, 42.5059814]",Andorra la Vella,Andorra,en
743836259773087749,🌬 @ Lake Geneva https://t.co/axfp8Wulr0,1466179358796,450326353,Petar Pan,noxnoces69,Fri Jun 17 16:02:38 +0000 2016,Belgrade,,"[6.55, 46.43333333]",France,France,en
