obstacle,vertX,vertY
311,832.6381,270.39526
311,836.666,281.95923
311,833.98816,285.24036
311,818.6434,290.3692
311,814.8341,288.55228
311,811.55646,277.34613
311,832.6381,270.39526
310,1065.9341,263.85464
310,1067.4722,258.80264
310,1065.3766,258.67966
310,1070.061,245.83627
310,1042.6085,236.42389
310,1034.7576,259.5036
310,1036.4185,263.10095
310,1097.0907,284.326
310,1100.6615,274.63312
310,1065.9341,263.85464
309,1027.3767,272.98944
309,993.0613,296.5955
309,982.94867,283.18118
309,983.88776,258.03192
309,985.114,255.461
309,986.5544,254.39484
309,989.41156,253.82904
309,1023.478,264.29224
309,1026.9265,267.16437
309,1027.3767,272.98944
308,953.0404,379.0185
308,953.24396,367.71964
308,941.8667,368.2539
308,941.09564,357.36673
308,967.8966,354.02045
308,967.66394,381.4352
308,953.0404,379.0185
307,920.3922,350.29688
307,918.3289,349.31274
307,911.45197,311.6693
307,935.3194,311.65747
307,936.56964,346.61716
307,934.24023,349.36322
307,920.3922,350.29688
306,878.5142,301.9198
306,903.5595,293.70364
306,905.2967,294.53226
306,907.01135,304.9929
306,905.2401,308.7064
306,883.0118,316.33768
306,878.5142,301.9198
305,805.8162,354.55548
305,806.7347,340.79242
305,823.48785,340.19244
305,835.98975,336.86346
305,841.2701,350.77805
305,824.3541,357.7873
305,805.8162,354.55548
304,802.381,335.9106
304,802.66174,323.77194
304,819.6118,320.46072
304,824.0915,334.87
304,820.8267,336.11795
304,802.381,335.9106
303,871.1547,298.40952
303,866.1507,280.59427
303,845.16833,288.81976
303,850.23834,305.43924
303,871.1547,298.40952
302,1018.11743,299.07922
302,1036.2295,281.77042
302,1031.137,274.78296
302,1010.9868,287.96384
302,1018.11743,299.07922
301,1008.6509,289.6548
301,1016.0405,300.8938
301,1004.3336,312.1408
301,995.3307,299.60648
301,1008.6509,289.6548
300,851.11743,310.7676
300,873.57806,303.2471
300,878.34033,316.9146
300,855.9556,324.47128
300,851.11743,310.7676
299,872.0449,278.67197
299,899.83685,271.06458
299,903.93427,288.4474
299,877.94116,295.6855
299,872.0449,278.67197
298,1065.0573,316.55927
298,1062.9247,309.0551
298,1057.5731,310.1844
298,1055.1608,307.1052
298,1056.1926,304.79224
298,1048.822,302.3285
298,1047.7299,303.56085
298,1037.1582,291.8561
298,1036.2104,289.47556
298,1036.2633,287.5722
298,1047.9558,275.09097
298,1049.5928,274.81982
298,1051.3981,274.80432
298,1099.2623,292.02405
298,1092.6101,309.88983
298,1090.1179,311.5063
298,1065.0573,316.55927
297,932.52954,376.07288
297,933.9075,374.97696
297,934.96814,374.43094
297,935.65717,373.883
297,936.3485,372.28415
297,936.5077,358.86017
297,934.74054,357.1407
297,931.93164,355.8009
297,903.7041,356.71356
297,900.9093,357.30914
297,898.886,359.14917
297,897.9198,362.3701
297,899.6384,368.09897
297,901.93256,370.0698
297,932.52954,376.07288
296,900.9297,223.02136
296,910.0926,224.76201
296,911.1554,225.26895
296,922.8217,225.74908
296,931.21436,226.0704
296,936.1307,231.22055
296,941.28174,227.19049
296,943.1399,232.81055
296,941.2791,238.58522
296,935.5891,273.0398
296,902.61066,259.9397
296,900.9297,223.02136
295,940.3018,306.67047
295,973.26544,306.9648
295,979.45776,305.36002
295,988.00085,299.79214
295,988.18066,299.00128
295,979.31647,285.1305
295,970.68854,290.65796
295,961.28687,287.05023
295,957.8024,286.26483
295,942.2492,280.77484
295,940.3018,306.67047
294,822.9972,319.27032
294,846.5531,311.39566
294,851.29626,325.93063
294,828.4817,334.15894
294,822.9972,319.27032
293,781.1072,28.94168
293,777.97,36.036102
293,784.5927,39.194977
293,784.2152,40.066833
293,790.0831,42.865692
293,793.6067,34.903625
293,781.1072,28.94168
292,830.95575,44.12738
292,828.2662,35.480927
292,831.07654,34.542206
292,831.54755,35.818817
292,834.20825,35.159363
292,834.86926,35.47461
292,839.0495,34.66333
292,841.7425,42.78543
292,836.05927,44.633057
292,835.6541,43.563232
292,833.28815,44.36325
292,833.11194,43.227234
292,830.95575,44.12738
291,843.81604,33.255066
291,845.7745,40.676147
