,amount,country,date,destination_container,destination_lat,destination_lon,hour,origin_container,origin_lat,origin_lon
0,3,sp,12/25/14,0,42.49666667,1.498055556,12,0,42.49666667,1.498055556
1,1,sp,12/25/14,0,42.5075,1.522777778,12,0,42.49666667,1.498055556
2,1,sp,12/25/14,0,42.50777778,1.5325,12,0,42.49666667,1.498055556
3,1,sp,12/25/14,0,42.50944444,1.523055556,12,0,42.49666667,1.498055556
4,41,sp,12/25/14,0,42.49666667,1.5125,12,0,42.49666667,1.5125
5,1,sp,12/25/14,0,42.50611111,1.520833333,12,0,42.49666667,1.5125
6,1,sp,12/25/14,0,42.50722222,1.538055556,12,0,42.49666667,1.5125
7,4,sp,12/25/14,0,42.5075,1.522777778,12,0,42.49666667,1.5125
8,1,sp,12/25/14,0,42.50833333,1.523611111,12,0,42.49666667,1.5125
9,1,sp,12/25/14,0,42.51138889,1.530555556,12,0,42.49666667,1.5125
10,10,sp,12/25/14,0,42.50083333,1.531111111,12,0,42.50083333,1.531111111
11,2,sp,12/25/14,0,42.50722222,1.538055556,12,0,42.50083333,1.531111111
12,7,sp,12/25/14,0,42.50416667,1.527222222,12,0,42.50416667,1.527222222
13,1,sp,12/25/14,0,42.50833333,1.523611111,12,0,42.50416667,1.527222222
14,2,sp,12/25/14,0,42.51138889,1.530555556,12,0,42.50416667,1.527222222
15,3,sp,12/25/14,0,42.49666667,1.5125,12,0,42.50611111,1.520833333
16,1,sp,12/25/14,0,42.50083333,1.531111111,12,0,42.50611111,1.520833333
17,2,sp,12/25/14,0,42.50416667,1.527222222,12,0,42.50611111,1.520833333
18,27,sp,12/25/14,0,42.50611111,1.520833333,12,0,42.50611111,1.520833333
19,2,sp,12/25/14,0,42.50777778,1.5325,12,0,42.50611111,1.520833333
20,5,sp,12/25/14,0,42.50833333,1.523611111,12,0,42.50611111,1.520833333
21,2,sp,12/25/14,0,42.50722222,1.5225,12,0,42.50722222,1.5225
22,1,sp,12/25/14,0,42.50083333,1.531111111,12,0,42.50722222,1.538055556
23,54,sp,12/25/14,0,42.50722222,1.538055556,12,0,42.50722222,1.538055556
24,2,sp,12/25/14,0,42.50777778,1.5325,12,0,42.50722222,1.538055556
25,8,sp,12/25/14,0,42.51083333,1.540277778,12,0,42.50722222,1.538055556
26,3,sp,12/25/14,0,42.51138889,1.530555556,12,0,42.50722222,1.538055556
27,1,sp,12/25/14,0,42.49666667,1.5125,12,0,42.5075,1.522777778
28,1,sp,12/25/14,0,42.50611111,1.520833333,12,0,42.5075,1.522777778
29,21,sp,12/25/14,0,42.5075,1.522777778,12,0,42.5075,1.522777778
30,3,sp,12/25/14,0,42.50833333,1.523611111,12,0,42.5075,1.522777778
31,2,sp,12/25/14,0,42.50944444,1.523055556,12,0,42.5075,1.522777778
32,1,sp,12/25/14,0,42.51083333,1.540277778,12,0,42.5075,1.522777778
33,1,sp,12/25/14,0,42.51138889,1.530555556,12,0,42.5075,1.522777778
34,23,sp,12/25/14,0,42.50777778,1.5325,12,0,42.50777778,1.5325
35,1,sp,12/25/14,0,42.50833333,1.523611111,12,0,42.50777778,1.5325
36,1,sp,12/25/14,0,42.51083333,1.540277778,12,0,42.50777778,1.5325
37,7,sp,12/25/14,0,42.51138889,1.530555556,12,0,42.50777778,1.5325
38,1,sp,12/25/14,0,42.51722222,1.567777778,12,0,42.50777778,1.5325
39,1,sp,12/25/14,0,42.49666667,1.5125,12,0,42.50833333,1.523611111
40,1,sp,12/25/14,0,42.50083333,1.531111111,12,0,42.50833333,1.523611111
41,1,sp,12/25/14,0,42.50416667,1.527222222,12,0,42.50833333,1.523611111
42,1,sp,12/25/14,0,42.50527778,1.517777778,12,0,42.50833333,1.523611111
43,8,sp,12/25/14,0,42.50611111,1.520833333,12,0,42.50833333,1.523611111
44,1,sp,12/25/14,0,42.50722222,1.538055556,12,0,42.50833333,1.523611111
45,8,sp,12/25/14,0,42.5075,1.522777778,12,0,42.50833333,1.523611111
46,3,sp,12/25/14,0,42.50777778,1.5325,12,0,42.50833333,1.523611111
47,28,sp,12/25/14,0,42.50833333,1.523611111,12,0,42.50833333,1.523611111
48,1,sp,12/25/14,0,42.50944444,1.523055556,12,0,42.50833333,1.523611111
49,2,sp,12/25/14,0,42.51083333,1.540277778,12,0,42.50833333,1.523611111
50,2,sp,12/25/14,0,42.51138889,1.530555556,12,0,42.50833333,1.523611111
51,1,sp,12/25/14,0,42.49666667,1.5125,12,0,42.50944444,1.523055556
52,1,sp,12/25/14,0,42.5075,1.522777778,12,0,42.50944444,1.523055556
53,1,sp,12/25/14,0,42.50833333,1.523611111,12,0,42.50944444,1.523055556
