NAME	LAT	LNG	CAPACITY	LANGUAGES
Arlequi Pizza	42.565819	1.597529	28	CA,ES,FR,EN
Arrels	42.575878	1.670183	100	CA,ES,FR,EN,RU
Arrosseria - Pi De Migdia	42.568467	1.643345	70	CA,ES,FR,EN,RU
Borda Del Rector	42.582664	1.662712	80	CA,ES,FR,EN
Borda Patxeta	42.565977	1.566067	25	CA,ES,FR
Ca La Padrina Carmen	42.5675	1.601269	40	CA
Cal Bonavida	42.566501	1.600053	40	CA,ES,FR,EN
El Saler	42.580575	1.640753	70	CA,ES,FR,PT
Els Pessons	42.574299	1.620532	40	CA,ES,FR,PT
Fabrica De Gel	42.566329	1.598071	80	CA,ES,FR,EN
Frankfurt El Cobert	42.566139	1.59835		CA,ES,FR,PT
Bruxelles	42.576944	1.666526	50	CA,ES,FR,EN,RU,DE
Del Tarter	42.578793	1.649998		CA,ES,FR,EN,PT
El Xalet	42.572907	1.483916	35	CA,ES,FR
Llop Gris	42.578119	1.648361	80	CA,ES,FR,EN,RU
Naudi	42.576831	1.666104	100	CA,ES,FR,EN
Parador Canaro	42.579037	1.658769	140	CA,ES,FR,EN
Peretol	42.560438	1.682079	60	CA,ES,FR,EN,PT
Roc De Sant Miquel	42.580973	1.663871	30	CA,ES,FR,EN
Soldeu Maistre	42.577215	1.666269		CA,ES,FR,EN,PT
Xalet Montana	42.577175	1.666113	90	CA,ES,FR,EN
Koy Hermitage	42.575867	1.669719	20	CA,ES,FR,EN,RU
L'Abarset	42.579031	1.649518	43	CA,ES,FR,EN,RU
L'Avet	42.544102	1.73466	45	CA,ES,FR,EN
L'Era Del Rossell	42.553602	1.590453	36	CA,ES,FR,EN
La Cabana - Espiolets	42.578208	1.64619	169	CA,ES,FR,EN,RU
La Caleta	42.577226	1.665361	30	CA,ES,FR,EN
La Palmera De La Neu	42.576897	1.667068	55	CA,ES,FR,EN
La Relliscada	42.565852	1.597959	30	CA,ES,FR,EN,RU,PT
La Taula Dels Amics	42.565872	1.598074	30	CA,ES,FR,EN,PT
Origen	42.575617	1.670887	45	CA,ES,FR,EN,RU
Restaurant Fontanella	42.576731	1.667105	80	CA,ES,FR,EN
Restaurant L'Ermita	42.553883	1.590266		CA,ES,FR,EN
La Llar de lÍArtesö - Borda Popaire	42.559522	1.685831	50	CA,ES,FR,EN,PT
Restaurant Manacor Grill	42.579005	1.641378	100	CA,ES,FR,EN,RU,PT
Restaurant Moli Del Peano	42.567835	1.602384	35	CA,ES,FR,EN
Roc De Les Bruixes - El Forn	42.56593	1.601536	90	CA,ES,FR,EN,RU
Ski Plaza	42.565811	1.59739	100	CA,ES,FR,EN,PT
Steak House - Gall De Bosc	42.577213	1.647906	88	CA,ES,FR,EN,RU
La Taverna de la Iaia	42.576966	1.667457	40	CA,ES,FR,EN,PT
Terrassa Del Solö	42.566261	1.598771	180	CA,ES,FR,EN,PT,DE
Trattoria - Riba Escorxada	42.567491	1.641342	167	CA,ES,FR,EN,RU
Pizzeria La Mosquera	42.536501	1.583169		CA,ES,FR,EN,NE
