DATE	HOUR	EDGE_ID	AMOUNT
8/15/14	0	1	1
8/15/14	0	3	1
8/15/14	0	3	3
8/15/14	0	5	1
8/15/14	0	7	1
8/15/14	0	8	1
8/15/14	0	9	28
8/15/14	0	10	1
8/15/14	0	12	1
8/15/14	0	14	2
8/15/14	0	15	1
8/15/14	0	17	1
8/15/14	0	19	1
8/15/14	0	20	1
8/15/14	0	22	5
8/15/14	0	23	1
8/15/14	0	17	1
8/15/14	0	26	1
8/15/14	0	28	1
8/15/14	0	15	1
8/15/14	0	30	2
8/15/14	0	30	10
8/15/14	0	10	1
8/15/14	0	33	1
8/15/14	0	35	1
8/15/14	0	36	1
8/15/14	1	0	3
8/15/14	1	38	1
8/15/14	1	2	1
8/15/14	1	10	1
8/15/14	1	3	5
8/15/14	1	8	1
8/15/14	1	8	6
8/15/14	1	9	8
8/15/14	1	11	1
8/15/14	1	14	1
8/15/14	1	36	1
8/15/14	1	4	2
8/15/14	1	24	2
8/15/14	1	40	2
8/15/14	1	14	13
8/15/14	1	41	1
8/15/14	1	32	2
8/15/14	1	42	1
8/15/14	1	44	1
8/15/14	1	34	3
8/15/14	1	47	1
8/15/14	2	11	2
8/15/14	2	49	1
8/15/14	2	0	1
8/15/14	2	2	1
8/15/14	2	10	2
8/15/14	2	6	1
8/15/14	2	8	2
8/15/14	2	50	1
8/15/14	2	11	1
8/15/14	2	44	1
8/15/14	2	14	1
8/15/14	2	27	1
8/15/14	2	14	3
8/15/14	2	18	1
8/15/14	2	22	1
8/15/14	2	14	1
8/15/14	2	30	2
8/15/14	2	52	1
8/15/14	2	54	1
8/15/14	3	11	5
8/15/14	3	0	2
8/15/14	3	53	1
8/15/14	3	3	5
8/15/14	3	8	1
8/15/14	3	9	6
8/15/14	3	12	1
8/15/14	3	19	1
8/15/14	3	34	2
8/15/14	3	9	1
8/15/14	3	33	1
8/15/14	3	38	1
8/15/14	4	7	1
8/15/14	4	8	1
8/15/14	4	9	4
8/15/14	4	10	1
8/15/14	4	14	1
8/15/14	4	56	1
8/15/14	4	0	1
8/15/14	4	38	1
8/15/14	4	26	1
8/15/14	4	50	1
8/15/14	4	10	1
8/15/14	4	10	1
8/15/14	4	33	1
8/15/14	4	10	1
8/15/14	4	2	1
8/15/14	4	2	1
8/15/14	4	27	1
8/15/14	5	60	1
8/15/14	5	2	1
8/15/14	5	10	2
8/15/14	5	61	1
8/15/14	5	63	1
8/15/14	5	8	2
8/15/14	5	43	1
8/15/14	5	9	21
8/15/14	5	44	1
8/15/14	5	10	1
8/15/14	5	14	1
8/15/14	5	13	1
8/15/14	5	37	1
8/15/14	5	38	1
8/15/14	5	66	1
8/15/14	5	17	1
8/15/14	5	66	1
8/15/14	5	14	2
8/15/14	5	32	1
8/15/14	5	43	1
8/15/14	5	58	1
8/15/14	5	45	1
8/15/14	5	34	1
8/15/14	5	70	1
8/15/14	5	71	1
8/15/14	6	11	2
8/15/14	6	2	1
8/15/14	6	10	19
8/15/14	6	3	2
8/15/14	6	3	1
8/15/14	6	5	1
8/15/14	6	7	1
8/15/14	6	73	1
8/15/14	6	9	11
8/15/14	6	10	1
8/15/14	6	14	2
8/15/14	6	12	1
8/15/14	6	57	1
8/15/14	6	19	1
8/15/14	6	22	1
8/15/14	6	19	1
8/15/14	6	62	1
8/15/14	6	77	1
8/15/14	6	32	2
8/15/14	6	78	1
8/15/14	6	44	2
8/15/14	6	52	1
8/15/14	6	79	1
8/15/14	6	80	1
8/15/14	7	11	2
8/15/14	7	0	1
8/15/14	7	82	1
8/15/14	7	55	1
8/15/14	7	3	1
8/15/14	7	3	1
8/15/14	7	3	1
8/15/14	7	33	1
8/15/14	7	8	8
8/15/14	7	43	1
8/15/14	7	57	1
8/15/14	7	44	1
