country,date,hour,origin_lat,origin_lon,origin_container,destination_lat,destination_lon,destination_container,amount
fr,11/2/14,0,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,13
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,2
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,4
fr,11/2/14,0,42.50777778,1.5325,0,42.51138889,1.530555556,0,2
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,2
fr,11/2/14,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,2
fr,11/2/14,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,6
fr,11/2/14,0,42.50833333,1.523611111,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,2
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.51083333,1.540277778,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,2
fr,11/2/14,0,42.54444444,1.516944444,2,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
fr,11/2/14,0,42.55277778,1.533611111,2,42.55277778,1.533611111,2,11
fr,11/2/14,0,42.57555556,1.670277778,5,42.57555556,1.670277778,5,1
fr,11/2/14,0,42.53638889,1.516111111,2,42.53638889,1.516111111,2,4
fr,11/2/14,0,42.47583333,1.489722222,1,42.47583333,1.489722222,1,37
fr,11/2/14,0,42.47583333,1.489722222,1,42.47583333,1.489722222,1,2
fr,11/2/14,0,42.47583333,1.489722222,1,42.47583333,1.489722222,1,1
fr,11/2/14,0,42.47583333,1.489722222,1,42.47583333,1.489722222,1,1
fr,11/2/14,0,42.54388889,1.730555556,6,42.54388889,1.730555556,6,75
fr,11/2/14,0,42.535,1.5875,4,42.535,1.5875,4,29
fr,11/2/14,0,42.535,1.5875,4,42.53444444,1.58,4,4
fr,11/2/14,0,42.53194444,1.562777778,4,42.53194444,1.562777778,4,3
fr,11/2/14,0,42.57722222,1.662777778,5,42.57722222,1.662777778,5,1
fr,11/2/14,0,42.57777778,1.6625,5,42.57777778,1.6625,5,7
fr,11/2/14,0,42.44194444,1.463611111,1,42.44194444,1.463611111,1,1
fr,11/2/14,0,42.47416667,1.505555556,1,42.47416667,1.505555556,1,1
fr,11/2/14,0,42.47416667,1.505555556,1,42.46027778,1.491111111,1,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,2
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,10
fr,11/2/14,0,42.51138889,1.530555556,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,6
fr,11/2/14,0,42.51138889,1.530555556,0,42.50416667,1.527222222,0,2
fr,11/2/14,0,42.51138889,1.530555556,0,42.50833333,1.523611111,0,1
fr,11/2/14,0,42.50527778,1.517777778,0,42.50527778,1.517777778,0,1
fr,11/2/14,0,42.50611111,1.520833333,0,42.53444444,1.58,4,1
fr,11/2/14,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,8
fr,11/2/14,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
fr,11/2/14,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,2
fr,11/2/14,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,2
fr,11/2/14,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
fr,11/2/14,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
fr,11/2/14,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
fr,11/2/14,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,4
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,5
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,8
fr,11/2/14,0,42.50722222,1.538055556,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.51083333,1.540277778,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,2
fr,11/2/14,0,42.50722222,1.5225,0,42.50833333,1.523611111,0,1
fr,11/2/14,0,42.50944444,1.523055556,0,42.50944444,1.523055556,0,4
fr,11/2/14,0,42.50416667,1.527222222,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.50416667,1.527222222,0,42.50833333,1.523611111,0,1
fr,11/2/14,0,42.50416667,1.527222222,0,42.50416667,1.527222222,0,4
fr,11/2/14,0,42.50416667,1.527222222,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.50833333,1.523611111,0,42.50611111,1.520833333,0,1
fr,11/2/14,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,2
fr,11/2/14,0,42.51138889,1.530555556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.50083333,1.531111111,0,42.50083333,1.531111111,0,3
fr,11/2/14,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
fr,11/2/14,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,28
fr,11/2/14,0,42.55277778,1.533611111,2,42.55277778,1.533611111,2,1
fr,11/2/14,0,42.56805556,1.600277778,4,42.56805556,1.600277778,4,2
fr,11/2/14,0,42.56416667,1.664444444,5,42.56416667,1.664444444,5,1
fr,11/2/14,0,42.535,1.5875,4,42.53194444,1.562777778,4,1
fr,11/2/14,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
fr,11/2/14,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
fr,11/2/14,0,42.49666667,1.5125,0,42.49666667,1.5125,0,2
fr,11/2/14,0,42.49666667,1.5125,0,42.49666667,1.5125,0,9
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,2
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,4
fr,11/2/14,0,42.50777778,1.5325,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.49666667,1.5125,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,10
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.50833333,1.523611111,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.51138889,1.530555556,0,3
fr,11/2/14,0,42.50777778,1.5325,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,11/2/14,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
fr,11/2/14,0,42.50833333,1.523611111,0,42.50777778,1.5325,0,2
fr,11/2/14,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,4
fr,11/2/14,0,42.50833333,1.523611111,0,42.50944444,1.523055556,0,1
fr,11/2/14,0,42.53444444,1.58,4,42.535,1.5875,4,5
fr,11/2/14,0,42.53444444,1.58,4,42.53444444,1.58,4,24
fr,11/2/14,0,42.53444444,1.58,4,42.53444444,1.58,4,1
fr,11/2/14,0,42.53444444,1.58,4,42.53444444,1.58,4,1
fr,11/2/14,0,42.56611111,1.5975,4,42.56611111,1.5975,4,1
fr,11/2/14,0,42.56611111,1.5975,4,42.56611111,1.5975,4,2
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,4
fr,11/2/14,0,42.50722222,1.538055556,0,42.55722222,1.497777778,2,1
fr,11/2/14,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,11/2/14,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
fr,11/2/14,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,2
fr,11/2/14,0,42.55277778,1.533611111,2,42.55277778,1.533611111,2,2
fr,11/2/14,0,42.55722222,1.497777778,2,42.55722222,1.497777778,2,1
fr,11/2/14,0,42.55722222,1.497777778,2,42.55722222,1.497777778,2,7
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,11/2/14,0,42.51138889,1.530555556,0,42.50777778,1.5325,0,3
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,2
fr,11/2/14,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,2
