DATE	HOUR	EDGE_ID	AMOUNT
12/25/14	0	1	1
12/25/14	0	1	1
12/25/14	0	4	1
12/25/14	0	4	1
12/25/14	0	7	1
12/25/14	0	7	1
12/25/14	0	10	1
12/25/14	0	11	1
12/25/14	0	13	6
12/25/14	0	14	14
12/25/14	0	15	1
12/25/14	0	17	1
12/25/14	0	19	3
12/25/14	0	20	1
12/25/14	0	20	1
12/25/14	0	23	8
12/25/14	0	24	1
12/25/14	0	24	1
12/25/14	0	27	1
12/25/14	0	29	3
12/25/14	0	30	1
12/25/14	0	31	1
12/25/14	0	32	1
12/25/14	0	34	1
12/25/14	0	1	1
12/25/14	0	35	2
12/25/14	0	37	1
12/25/14	0	39	1
12/25/14	0	7	1
12/25/14	0	42	1
12/25/14	0	20	1
12/25/14	0	44	1
12/25/14	0	45	1
12/25/14	0	47	1
12/25/14	0	48	2
12/25/14	0	17	1
12/25/14	0	49	1
12/25/14	0	51	1
12/25/14	0	53	1
12/25/14	0	55	1
12/25/14	0	57	1
12/25/14	0	59	1
12/25/14	1	0	2
12/25/14	1	1	2
12/25/14	1	2	2
12/25/14	1	4	1
12/25/14	1	9	4
12/25/14	1	9	9
12/25/14	1	10	5
12/25/14	1	62	1
12/25/14	1	15	1
12/25/14	1	14	7
12/25/14	1	13	5
12/25/14	1	16	89
12/25/14	1	18	22
12/25/14	1	18	3
12/25/14	1	18	1
12/25/14	1	19	2
12/25/14	1	64	1
12/25/14	1	26	1
12/25/14	1	65	1
12/25/14	1	31	1
12/25/14	1	4	3
12/25/14	1	35	1
12/25/14	1	40	2
12/25/14	1	68	1
12/25/14	1	69	1
12/25/14	1	70	1
12/25/14	1	44	1
12/25/14	1	45	1
12/25/14	1	15	1
12/25/14	1	18	2
12/25/14	1	49	1
12/25/14	1	2	2
12/25/14	1	74	1
12/25/14	1	11	1
12/25/14	1	40	1
12/25/14	1	31	1
12/25/14	2	5	1
12/25/14	2	9	5
12/25/14	2	54	1
12/25/14	2	13	1
12/25/14	2	14	17
12/25/14	2	16	88
12/25/14	2	18	5
12/25/14	2	18	4
12/25/14	2	75	1
12/25/14	2	40	2
12/25/14	2	5	1
12/25/14	2	11	1
12/25/14	2	20	1
12/25/14	2	18	1
12/25/14	2	48	1
12/25/14	2	6	1
12/25/14	2	6	1
12/25/14	2	11	1
12/25/14	2	70	1
12/25/14	2	20	1
12/25/14	2	78	2
12/25/14	2	31	1
12/25/14	3	5	1
12/25/14	3	68	1
12/25/14	3	79	1
12/25/14	3	11	1
12/25/14	3	14	45
12/25/14	3	13	2
12/25/14	3	16	89
12/25/14	3	18	7
12/25/14	3	20	1
12/25/14	3	23	1
12/25/14	3	5	3
12/25/14	3	38	1
12/25/14	3	40	3
12/25/14	3	64	1
12/25/14	3	44	9
12/25/14	3	0	1
12/25/14	3	5	1
12/25/14	3	6	1
12/25/14	3	6	1
12/25/14	3	70	1
12/25/14	3	40	3
12/25/14	4	61	1
12/25/14	4	51	1
12/25/14	4	6	1
12/25/14	4	8	1
12/25/14	4	52	1
12/25/14	4	9	3
12/25/14	4	10	1
12/25/14	4	13	1
12/25/14	4	14	9
12/25/14	4	16	32
12/25/14	4	18	2
12/25/14	4	19	2
12/25/14	4	23	1
12/25/14	4	26	1
12/25/14	4	40	2
12/25/14	4	30	1
12/25/14	4	36	1
12/25/14	4	39	1
12/25/14	4	48	2
12/25/14	4	50	1
12/25/14	4	83	1
12/25/14	4	7	1
12/25/14	4	41	1
12/25/14	4	56	1
12/25/14	5	0	2
12/25/14	5	1	2
12/25/14	5	5	1
12/25/14	5	67	1
12/25/14	5	9	3
12/25/14	5	10	1
12/25/14	5	13	1
12/25/14	5	85	1
12/25/14	5	86	1
12/25/14	5	48	1
12/25/14	5	0	4
12/25/14	5	19	3
12/25/14	5	26	1
12/25/14	5	87	1
12/25/14	5	56	1
12/25/14	5	30	1
12/25/14	5	4	1
12/25/14	5	10	3
12/25/14	5	35	2
12/25/14	5	6	1
12/25/14	5	0	1
12/25/14	5	19	1
12/25/14	5	89	1
12/25/14	5	90	1
12/25/14	5	17	2
12/25/14	5	53	1
12/25/14	5	73	1
12/25/14	5	86	1
12/25/14	5	40	2
12/25/14	5	35	1
12/25/14	6	5	1
12/25/14	6	13	1
12/25/14	6	13	1
12/25/14	6	73	1
12/25/14	6	47	1
12/25/14	6	46	1
12/25/14	6	20	1
12/25/14	6	43	1
12/25/14	6	23	2
12/25/14	6	56	1
12/25/14	6	30	1
12/25/14	6	5	1
12/25/14	6	10	7
12/25/14	6	48	1
12/25/14	6	81	1
12/25/14	6	38	2
12/25/14	6	94	1
12/25/14	6	67	1
12/25/14	6	72	1
12/25/14	6	46	1
12/25/14	6	46	2
12/25/14	6	1	2
12/25/14	6	10	1
12/25/14	6	78	1
12/25/14	7	0	2
12/25/14	7	1	1
12/25/14	7	51	5
12/25/14	7	6	1
12/25/14	7	10	1
12/25/14	7	15	1
12/25/14	7	14	3
12/25/14	7	46	1
12/25/14	7	47	1
12/25/14	7	16	34
12/25/14	7	18	4
12/25/14	7	17	1
12/25/14	7	70	1
12/25/14	7	56	1
12/25/14	7	30	1
12/25/14	7	51	1
12/25/14	7	39	1
12/25/14	7	6	3
12/25/14	7	44	8
12/25/14	7	99	1
12/25/14	7	82	1
12/25/14	7	48	1
12/25/14	7	49	1
12/25/14	7	51	1
12/25/14	7	6	1
12/25/14	7	88	1
12/25/14	7	102	1
12/25/14	8	0	1
12/25/14	8	1	1
12/25/14	8	6	1
12/25/14	8	17	1
12/25/14	8	10	2
12/25/14	8	11	1
12/25/14	8	103	1
12/25/14	8	46	1
12/25/14	8	16	58
12/25/14	8	53	1
12/25/14	8	19	3
12/25/14	8	43	1
12/25/14	8	81	1
12/25/14	8	100	1
12/25/14	8	29	1
12/25/14	8	64	1
12/25/14	8	81	1
12/25/14	8	35	1
12/25/14	8	38	9
12/25/14	8	6	8
12/25/14	8	44	1
12/25/14	8	48	1
12/25/14	8	3	1
12/25/14	8	81	1
12/25/14	8	53	1
12/25/14	8	17	1
12/25/14	8	40	2
12/25/14	9	0	5
12/25/14	9	0	1
12/25/14	9	1	1
12/25/14	9	5	2
12/25/14	9	51	1
12/25/14	9	6	1
12/25/14	9	41	1
12/25/14	9	52	1
12/25/14	9	68	1
12/25/14	9	10	3
12/25/14	9	10	2
12/25/14	9	108	3
12/25/14	9	13	1
12/25/14	9	14	71
12/25/14	9	46	1
12/25/14	9	97	1
12/25/14	9	47	1
12/25/14	9	48	1
12/25/14	9	18	6
12/25/14	9	17	1
12/25/14	9	19	1
12/25/14	9	20	1
12/25/14	9	109	1
12/25/14	9	23	1
12/25/14	9	23	1
12/25/14	9	25	1
12/25/14	9	48	1
12/25/14	9	30	1
12/25/14	9	31	1
12/25/14	9	33	1
12/25/14	9	48	1
12/25/14	9	110	1
12/25/14	9	111	1
12/25/14	9	92	1
12/25/14	9	38	4
12/25/14	9	101	1
12/25/14	9	68	1
12/25/14	9	20	1
12/25/14	9	88	1
12/25/14	9	112	1
12/25/14	9	89	1
12/25/14	9	15	2
12/25/14	9	98	1
12/25/14	9	48	1
12/25/14	9	97	1
12/25/14	9	51	1
12/25/14	9	70	1
12/25/14	9	43	1
12/25/14	9	57	1
12/25/14	9	92	2
12/25/14	10	0	3
12/25/14	10	71	4
12/25/14	10	1	7
12/25/14	10	5	1
12/25/14	10	4	1
12/25/14	10	7	1
12/25/14	10	51	1
12/25/14	10	49	1
12/25/14	10	10	4
12/25/14	10	11	1
12/25/14	10	81	1
12/25/14	10	11	1
12/25/14	10	13	1
12/25/14	10	115	1
12/25/14	10	46	1
12/25/14	10	47	1
12/25/14	10	86	1
12/25/14	10	48	1
12/25/14	10	48	1
12/25/14	10	116	1
12/25/14	10	98	1
12/25/14	10	53	1
12/25/14	10	117	1
12/25/14	10	67	1
12/25/14	10	21	1
12/25/14	10	109	3
12/25/14	10	25	1
12/25/14	10	87	1
12/25/14	10	27	2
12/25/14	10	81	1
12/25/14	10	40	1
12/25/14	10	48	1
12/25/14	10	29	1
12/25/14	10	30	1
12/25/14	10	31	1
12/25/14	10	4	1
12/25/14	10	120	1
12/25/14	10	122	1
12/25/14	10	35	14
12/25/14	10	35	1
12/25/14	10	105	4
12/25/14	10	88	1
12/25/14	10	71	1
12/25/14	10	56	1
12/25/14	10	124	1
12/25/14	10	7	1
12/25/14	10	74	1
12/25/14	10	70	1
12/25/14	10	44	1
12/25/14	10	71	1
12/25/14	10	91	1
12/25/14	10	91	1
12/25/14	10	91	1
12/25/14	10	53	1
12/25/14	10	82	1
12/25/14	10	127	1
12/25/14	10	128	1
12/25/14	10	68	1
12/25/14	10	91	1
12/25/14	10	88	1
12/25/14	10	56	1
12/25/14	10	92	2
12/25/14	11	0	9
12/25/14	11	0	1
12/25/14	11	3	1
12/25/14	11	3	1
12/25/14	11	5	1
12/25/14	11	5	1
12/25/14	11	107	1
12/25/14	11	6	3
12/25/14	11	9	3
12/25/14	11	53	1
12/25/14	11	17	1
12/25/14	11	116	1
12/25/14	11	11	1
12/25/14	11	11	1
12/25/14	11	108	1
12/25/14	11	73	1
12/25/14	11	91	1
12/25/14	11	14	62
12/25/14	11	46	1
12/25/14	11	47	1
12/25/14	11	73	1
12/25/14	11	18	9
12/25/14	11	98	2
12/25/14	11	82	1
12/25/14	11	126	1
12/25/14	11	53	1
12/25/14	11	53	2
12/25/14	11	97	1
12/25/14	11	117	1
12/25/14	11	53	2
12/25/14	11	19	3
12/25/14	11	43	1
12/25/14	11	75	1
12/25/14	11	21	1
12/25/14	11	22	1
12/25/14	11	130	1
12/25/14	11	81	1
12/25/14	11	40	3
12/25/14	11	30	1
12/25/14	11	30	5
12/25/14	11	31	1
12/25/14	11	31	1
12/25/14	11	4	1
12/25/14	11	4	1
12/25/14	11	61	1
12/25/14	11	120	1
12/25/14	11	131	1
12/25/14	11	35	6
12/25/14	11	38	4
12/25/14	11	39	1
12/25/14	11	94	1
12/25/14	11	7	1
12/25/14	11	7	1
12/25/14	11	70	1
12/25/14	11	21	1
12/25/14	11	21	1
12/25/14	11	134	1
12/25/14	11	91	3
12/25/14	11	97	1
12/25/14	11	127	1
12/25/14	11	2	1
12/25/14	11	74	1
12/25/14	11	136	1
12/25/14	11	91	1
12/25/14	11	91	1
12/25/14	11	57	1
12/25/14	11	124	1
12/25/14	12	0	3
12/25/14	12	1	17
12/25/14	12	67	1
12/25/14	12	137	1
12/25/14	12	4	2
12/25/14	12	51	1
12/25/14	12	77	1
12/25/14	12	6	1
12/25/14	12	6	1
12/25/14	12	64	1
12/25/14	12	41	1
12/25/14	12	9	1
12/25/14	12	9	2
12/25/14	12	49	1
12/25/14	12	11	1
12/25/14	12	11	1
12/25/14	12	13	1
12/25/14	12	86	1
12/25/14	12	46	1
12/25/14	12	46	1
12/25/14	12	99	1
12/25/14	12	15	1
12/25/14	12	97	1
12/25/14	12	18	20
12/25/14	12	98	2
12/25/14	12	16	210
12/25/14	12	48	1
12/25/14	12	82	1
12/25/14	12	49	1
12/25/14	12	17	1
12/25/14	12	98	1
12/25/14	12	43	1
12/25/14	12	51	1
12/25/14	12	20	1
12/25/14	12	70	1
12/25/14	12	26	1
12/25/14	12	23	2
12/25/14	12	139	1
12/25/14	12	139	1
12/25/14	12	28	1
12/25/14	12	40	7
12/25/14	12	64	1
12/25/14	12	29	5
12/25/14	12	141	1
12/25/14	12	30	1
12/25/14	12	142	1
12/25/14	12	119	1
12/25/14	12	32	1
12/25/14	12	1	1
12/25/14	12	125	1
12/25/14	12	35	9
12/25/14	12	38	1
12/25/14	12	60	1
12/25/14	12	58	1
12/25/14	12	64	1
12/25/14	12	64	1
12/25/14	12	75	1
12/25/14	12	44	2
12/25/14	12	44	1
12/25/14	12	15	1
12/25/14	12	98	1
12/25/14	12	116	1
12/25/14	12	50	1
12/25/14	12	145	1
12/25/14	12	64	1
12/25/14	12	8	1
12/25/14	12	50	1
12/25/14	12	20	1
12/25/14	12	81	1
12/25/14	13	146	1
12/25/14	13	1	1
12/25/14	13	61	1
12/25/14	13	5	2
12/25/14	13	6	1
12/25/14	13	68	1
12/25/14	13	41	1
12/25/14	13	52	1
12/25/14	13	10	1
12/25/14	13	13	2
12/25/14	13	71	1
12/25/14	13	47	1
12/25/14	13	46	1
12/25/14	13	99	1
12/25/14	13	73	3
12/25/14	13	18	48
12/25/14	13	16	159
12/25/14	13	85	1
12/25/14	13	126	1
12/25/14	13	49	1
12/25/14	13	49	1
12/25/14	13	147	1
12/25/14	13	148	1
12/25/14	13	63	1
12/25/14	13	21	1
12/25/14	13	55	1
12/25/14	13	149	1
12/25/14	13	24	1
12/25/14	13	26	1
12/25/14	13	26	1
12/25/14	13	87	1
12/25/14	13	102	1
12/25/14	13	82	1
12/25/14	13	29	1
12/25/14	13	30	1
12/25/14	13	33	1
12/25/14	13	108	1
