EDGE_ID	LAT_D	LON_D	CON_D	LAT_O	LON_O	CON_O	NATION
0	42.460278	1.4911112	1	42.460278	1.4911112	1	fr
1	42.496666	1.5125	0	42.496666	1.5125	0	fr
2	42.50611	1.5208334	0	42.496666	1.5125	0	fr
3	42.50778	1.5325	0	42.50778	1.5325	0	fr
4	42.50722	1.5380555	0	42.50778	1.5325	0	fr
5	42.496666	1.5125	0	42.50778	1.5325	0	fr
6	42.508335	1.5236111	0	42.508335	1.5236111	0	fr
7	0.0	0.0	4	0.0	0.0	4	fr
8	42.50722	1.5380555	0	42.50722	1.5380555	0	fr
9	42.510834	1.5402777	0	42.50722	1.5380555	0	fr
10	0.0	0.0	1	0.0	0.0	0	fr
11	0.0	0.0	2	0.0	0.0	0	fr
12	0.0	0.0	2	0.0	0.0	2	fr
13	0.0	0.0	0	0.0	0.0	1	fr
14	0.0	0.0	5	0.0	0.0	5	fr
15	0.0	0.0	4	0.0	0.0	2	fr
16	0.0	0.0	6	0.0	0.0	6	fr
17	0.0	0.0	5	0.0	0.0	6	fr
18	0.0	0.0	0	0.0	0.0	4	fr
19	0.0	0.0	0	0.0	0.0	5	fr
20	0.0	0.0	4	0.0	0.0	5	fr
21	0.0	0.0	6	0.0	0.0	4	fr
22	0.0	0.0	5	0.0	0.0	4	fr
23	0.0	0.0	3	0.0	0.0	3	fr
24	0.0	0.0	2	0.0	0.0	3	fr
25	42.50722	1.5380555	0	42.51139	1.5305556	0	fr
26	42.51139	1.5305556	0	42.51139	1.5305556	0	fr
27	42.50083	1.5311111	0	42.51139	1.5305556	0	fr
28	42.508335	1.5236111	0	42.51139	1.5305556	0	fr
29	42.5075	1.5227778	0	42.5075	1.5227778	0	fr
30	42.508335	1.5236111	0	42.5075	1.5227778	0	fr
31	42.50611	1.5208334	0	42.50611	1.5208334	0	fr
32	0.0	0.0	4	0.0	0.0	0	fr
33	42.51139	1.5305556	0	42.50611	1.5208334	0	fr
34	42.496666	1.4980556	0	42.50611	1.5208334	0	fr
35	42.510834	1.5402777	0	42.510834	1.5402777	0	fr
36	42.51139	1.5305556	0	42.510834	1.5402777	0	fr
37	42.50722	1.5380555	0	42.510834	1.5402777	0	fr
38	42.50611	1.5208334	0	42.510834	1.5402777	0	fr
39	42.508335	1.5236111	0	42.509445	1.5230556	0	fr
40	42.496666	1.4980556	0	42.496666	1.4980556	0	fr
41	42.50611	1.5208334	0	42.509445	1.5230556	0	fr
42	42.509445	1.5230556	0	42.509445	1.5230556	0	fr
43	42.508335	1.5236111	0	42.504166	1.5272223	0	fr
44	42.504166	1.5272223	0	42.504166	1.5272223	0	fr
45	42.508335	1.5236111	0	42.50611	1.5208334	0	fr
46	42.51139	1.5305556	0	42.508335	1.5236111	0	fr
47	42.50778	1.5325	0	42.508335	1.5236111	0	fr
48	42.509445	1.5230556	0	42.508335	1.5236111	0	fr
49	0.0	0.0	4	0.0	0.0	1	fr
50	42.50778	1.5325	0	42.51139	1.5305556	0	fr
51	42.50083	1.5311111	0	42.50083	1.5311111	0	fr
52	42.50611	1.5208334	0	42.50083	1.5311111	0	fr
53	0.0	0.0	3	0.0	0.0	2	fr
54	0.0	0.0	2	0.0	0.0	4	fr
55	0.0	0.0	6	0.0	0.0	5	fr
56	0.0	0.0	2	0.0	0.0	6	fr
57	42.508335	1.5236111	0	42.50778	1.5325	0	fr
58	42.51139	1.5305556	0	42.50778	1.5325	0	fr
59	0.0	0.0	5	0.0	0.0	0	fr
60	42.504166	1.5272223	0	42.508335	1.5236111	0	fr
61	42.50722	1.5380555	0	42.508335	1.5236111	0	fr
62	42.50611	1.5208334	0	42.508335	1.5236111	0	fr
63	42.50611	1.5208334	0	42.50722	1.5380555	0	fr
64	42.50083	1.5311111	0	42.50722	1.5380555	0	fr
65	42.510834	1.5402777	0	42.51139	1.5305556	0	fr
66	42.50722	1.5380555	0	42.50611	1.5208334	0	fr
67	42.50778	1.5325	0	42.50611	1.5208334	0	fr
68	0.0	0.0	1	0.0	0.0	1	sp
69	0.0	0.0	0	0.0	0.0	1	sp
70	0.0	0.0	4	0.0	0.0	1	sp
71	42.496666	1.5125	0	42.496666	1.5125	0	sp
72	42.50611	1.5208334	0	42.496666	1.5125	0	sp
73	42.50778	1.5325	0	42.50778	1.5325	0	sp
74	42.51139	1.5305556	0	42.50778	1.5325	0	sp
75	42.504166	1.5272223	0	42.50778	1.5325	0	sp
76	42.508335	1.5236111	0	42.508335	1.5236111	0	sp
77	42.509445	1.5230556	0	42.508335	1.5236111	0	sp
78	42.5075	1.5227778	0	42.508335	1.5236111	0	sp
79	0.0	0.0	4	0.0	0.0	4	sp
80	42.50722	1.5380555	0	42.50722	1.5380555	0	sp
81	42.510834	1.5402777	0	42.50722	1.5380555	0	sp
82	42.5075	1.5227778	0	42.50722	1.5380555	0	sp
83	42.51139	1.5305556	0	42.50722	1.5380555	0	sp
84	0.0	0.0	2	0.0	0.0	2	sp
85	0.0	0.0	3	0.0	0.0	2	sp
86	0.0	0.0	5	0.0	0.0	5	sp
87	0.0	0.0	6	0.0	0.0	5	sp
88	0.0	0.0	6	0.0	0.0	6	sp
89	42.515278	1.5272223	0	42.515278	1.5272223	0	sp
90	0.0	0.0	3	0.0	0.0	3	sp
91	0.0	0.0	2	0.0	0.0	3	sp
92	42.50778	1.5325	0	42.51139	1.5305556	0	sp
93	42.51139	1.5305556	0	42.51139	1.5305556	0	sp
94	42.510834	1.5402777	0	42.51139	1.5305556	0	sp
95	42.508335	1.5236111	0	42.51139	1.5305556	0	sp
96	42.50722	1.5380555	0	42.51139	1.5305556	0	sp
97	0.0	0.0	4	0.0	0.0	0	sp
98	42.508335	1.5236111	0	42.5075	1.5227778	0	sp
99	42.5075	1.5227778	0	42.5075	1.5227778	0	sp
100	42.5075	1.5227778	0	42.50611	1.5208334	0	sp
101	42.50611	1.5208334	0	42.50611	1.5208334	0	sp
102	42.504166	1.5272223	0	42.50611	1.5208334	0	sp
103	0.0	0.0	2	0.0	0.0	0	sp
104	42.496666	1.5125	0	42.50611	1.5208334	0	sp
105	42.50778	1.5325	0	42.50611	1.5208334	0	sp
106	42.510834	1.5402777	0	42.510834	1.5402777	0	sp
107	42.50722	1.5380555	0	42.510834	1.5402777	0	sp
108	42.51139	1.5305556	0	42.510834	1.5402777	0	sp
109	42.508335	1.5236111	0	42.50778	1.5325	0	sp
110	42.5075	1.5227778	0	42.496666	1.5125	0	sp
111	42.496666	1.4980556	0	42.496666	1.5125	0	sp
112	42.517223	1.5677778	0	42.517223	1.5677778	0	sp
113	42.51139	1.5305556	0	42.496666	1.4980556	0	sp
114	42.508335	1.5236111	0	42.509445	1.5230556	0	sp
115	42.509445	1.5230556	0	42.509445	1.5230556	0	sp
116	42.504166	1.5272223	0	42.504166	1.5272223	0	sp
117	42.50611	1.5208334	0	42.504166	1.5272223	0	sp
118	42.508335	1.5236111	0	42.510834	1.5402777	0	sp
119	42.50722	1.5380555	0	42.508335	1.5236111	0	sp
120	42.50083	1.5311111	0	42.50083	1.5311111	0	sp
121	0.0	0.0	4	0.0	0.0	2	sp
122	0.0	0.0	2	0.0	0.0	4	sp
123	0.0	0.0	5	0.0	0.0	6	sp
124	0.0	0.0	5	0.0	0.0	4	sp
125	42.50722	1.5380555	0	42.50778	1.5325	0	sp
126	42.510834	1.5402777	0	42.50778	1.5325	0	sp
127	42.50611	1.5208334	0	42.50778	1.5325	0	sp
128	42.50528	1.5177778	0	42.508335	1.5236111	0	sp
129	42.515278	1.5272223	0	42.50611	1.5208334	0	sp
130	42.496666	1.4980556	0	42.50611	1.5208334	0	sp
131	42.50778	1.5325	0	42.510834	1.5402777	0	sp
132	0.0	0.0	1	0.0	0.0	1	other
133	42.496666	1.5125	0	42.496666	1.5125	0	other
134	42.508335	1.5236111	0	42.496666	1.5125	0	other
135	42.50778	1.5325	0	42.50778	1.5325	0	other
136	42.508335	1.5236111	0	42.50778	1.5325	0	other
137	42.508335	1.5236111	0	42.508335	1.5236111	0	other
138	0.0	0.0	0	0.0	0.0	4	other
139	0.0	0.0	4	0.0	0.0	4	other
140	42.50722	1.5380555	0	42.50722	1.5380555	0	other
141	0.0	0.0	2	0.0	0.0	2	other
142	0.0	0.0	5	0.0	0.0	5	other
143	0.0	0.0	4	0.0	0.0	6	other
