EDGE_ID	LAT_D	LON_D	CON_D	LAT_O	LON_O	CON_O	NATION
0	42.460278	1.4911112	1	42.460278	1.4911112	1	fr
1	0.0	0.0	0	0.0	0.0	1	fr
2	42.496666	1.5125	0	42.496666	1.5125	0	fr
3	42.50528	1.5177778	0	42.496666	1.5125	0	fr
4	42.51139	1.5305556	0	42.50778	1.5325	0	fr
5	42.50778	1.5325	0	42.50778	1.5325	0	fr
6	0.0	0.0	1	0.0	0.0	0	fr
7	42.510834	1.5402777	0	42.50778	1.5325	0	fr
8	0.0	0.0	4	0.0	0.0	0	fr
9	42.508335	1.5236111	0	42.508335	1.5236111	0	fr
10	42.50778	1.5325	0	42.508335	1.5236111	0	fr
11	42.509445	1.5230556	0	42.508335	1.5236111	0	fr
12	42.50611	1.5208334	0	42.508335	1.5236111	0	fr
13	42.5075	1.5227778	0	42.508335	1.5236111	0	fr
14	0.0	0.0	4	0.0	0.0	4	fr
15	42.50722	1.5380555	0	42.50722	1.5380555	0	fr
16	42.510834	1.5402777	0	42.50722	1.5380555	0	fr
17	42.51139	1.5305556	0	42.50722	1.5380555	0	fr
18	42.50611	1.5208334	0	42.50722	1.5380555	0	fr
19	0.0	0.0	2	0.0	0.0	2	fr
20	0.0	0.0	0	0.0	0.0	2	fr
21	0.0	0.0	5	0.0	0.0	5	fr
22	0.0	0.0	6	0.0	0.0	6	fr
23	0.0	0.0	5	0.0	0.0	6	fr
24	0.0	0.0	4	0.0	0.0	5	fr
25	42.50778	1.5325	0	42.515278	1.5272223	0	fr
26	42.515278	1.5272223	0	42.515278	1.5272223	0	fr
27	0.0	0.0	6	0.0	0.0	5	fr
28	0.0	0.0	5	0.0	0.0	4	fr
29	0.0	0.0	3	0.0	0.0	3	fr
30	42.50083	1.5311111	0	42.50083	1.5311111	0	fr
31	42.508335	1.5236111	0	42.50083	1.5311111	0	fr
32	42.50778	1.5325	0	42.51139	1.5305556	0	fr
33	42.51139	1.5305556	0	42.51139	1.5305556	0	fr
34	42.50528	1.5177778	0	42.50528	1.5177778	0	fr
35	42.5075	1.5227778	0	42.5075	1.5227778	0	fr
36	42.508335	1.5236111	0	42.5075	1.5227778	0	fr
37	42.50611	1.5208334	0	42.50611	1.5208334	0	fr
38	42.508335	1.5236111	0	42.50611	1.5208334	0	fr
39	42.50722	1.5380555	0	42.50611	1.5208334	0	fr
40	42.51139	1.5305556	0	42.50611	1.5208334	0	fr
41	42.50083	1.5311111	0	42.50611	1.5208334	0	fr
42	42.496666	1.5125	0	42.50611	1.5208334	0	fr
43	0.0	0.0	0	0.0	0.0	4	fr
44	0.0	0.0	1	0.0	0.0	4	fr
45	42.510834	1.5402777	0	42.510834	1.5402777	0	fr
46	42.51139	1.5305556	0	42.510834	1.5402777	0	fr
47	42.50722	1.5380555	0	42.510834	1.5402777	0	fr
48	42.50778	1.5325	0	42.510834	1.5402777	0	fr
49	0.0	0.0	5	0.0	0.0	0	fr
50	42.504166	1.5272223	0	42.510834	1.5402777	0	fr
51	0.0	0.0	5	0.0	0.0	1	fr
52	42.517223	1.5677778	0	42.517223	1.5677778	0	fr
