,amount,country,date,destination_container,destination_lat,destination_lon,hour,origin_container,origin_lat,origin_lon
0,1,sp,12/25/14,0,42.49666667,1.498055556,6,0,42.49666667,1.498055556
1,1,sp,12/25/14,0,42.49666667,1.5125,6,0,42.49666667,1.498055556
2,3,sp,12/25/14,0,42.49666667,1.5125,6,0,42.49666667,1.5125
3,1,sp,12/25/14,0,42.5075,1.522777778,6,0,42.49666667,1.5125
4,1,sp,12/25/14,0,42.50416667,1.527222222,6,0,42.50416667,1.527222222
5,1,sp,12/25/14,0,42.50833333,1.523611111,6,0,42.50416667,1.527222222
6,1,sp,12/25/14,0,42.50611111,1.520833333,6,0,42.50611111,1.520833333
7,1,sp,12/25/14,0,42.50944444,1.523055556,6,0,42.50611111,1.520833333
8,1,sp,12/25/14,0,42.50083333,1.531111111,6,0,42.50722222,1.538055556
9,14,sp,12/25/14,0,42.50722222,1.538055556,6,0,42.50722222,1.538055556
10,1,sp,12/25/14,0,42.5075,1.522777778,6,0,42.50722222,1.538055556
11,2,sp,12/25/14,0,42.51083333,1.540277778,6,0,42.50722222,1.538055556
12,1,sp,12/25/14,0,42.51138889,1.530555556,6,0,42.50722222,1.538055556
13,2,sp,12/25/14,0,42.50777778,1.5325,6,0,42.50777778,1.5325
14,1,sp,12/25/14,0,42.49666667,1.5125,6,0,42.50833333,1.523611111
15,1,sp,12/25/14,0,42.5075,1.522777778,6,0,42.50833333,1.523611111
16,7,sp,12/25/14,0,42.50833333,1.523611111,6,0,42.50833333,1.523611111
17,2,sp,12/25/14,0,42.50944444,1.523055556,6,0,42.50944444,1.523055556
18,1,sp,12/25/14,0,42.49666667,1.5125,6,0,42.51083333,1.540277778
19,1,sp,12/25/14,0,42.50611111,1.520833333,6,0,42.51083333,1.540277778
20,3,sp,12/25/14,0,42.50722222,1.538055556,6,0,42.51083333,1.540277778
21,1,sp,12/25/14,0,42.50777778,1.5325,6,0,42.51083333,1.540277778
22,3,sp,12/25/14,0,42.51083333,1.540277778,6,0,42.51083333,1.540277778
23,1,sp,12/25/14,0,42.51138889,1.530555556,6,0,42.51083333,1.540277778
24,1,sp,12/25/14,0,42.49666667,1.5125,6,0,42.51138889,1.530555556
25,2,fr,12/25/14,0,42.49666667,1.5125,6,0,42.49666667,1.5125
26,1,fr,12/25/14,0,42.51083333,1.540277778,6,0,42.50083333,1.531111111
27,2,fr,12/25/14,0,42.50416667,1.527222222,6,0,42.50416667,1.527222222
28,2,fr,12/25/14,0,42.50611111,1.520833333,6,0,42.50611111,1.520833333
29,1,fr,12/25/14,0,42.50777778,1.5325,6,0,42.50611111,1.520833333
30,1,fr,12/25/14,0,42.50833333,1.523611111,6,0,42.50611111,1.520833333
31,1,fr,12/25/14,0,42.50944444,1.523055556,6,0,42.50611111,1.520833333
32,1,fr,12/25/14,0,42.51138889,1.530555556,6,0,42.50611111,1.520833333
