Valid Stop Token Combinations,Added Route,Average Car Speed,Average Bus Speed,Cars Shifted (daily),Transfers to/from Blue Hill Ave. routes (per day),Dedicated lanes (miles),Passengers in New Dedicated Lanes,Parking Spaces Removed,Carbon Dioxide (pounds),Other Air Pollutants (pounds),Cost,Average BRT speed
00000,,8.22,5.7,0,3100,0,0,0,5884,348,,5.7
00001,A,8.26,5.63,54,3100,0,0,35,6010,352,20000,5.91
00002,A,8.24,5.74,387,3100,0.6,9000,35,5883,330,3400000,5.98
00003,A,7.92,5.68,585,3100,0.6,9000,35,5951,359,4400000,5.49
10000,B,8.23,5.97,0,3100,0,0,0,5877,345,20000,6.61
20000,B,8.21,5.98,855,3100,0.1,18000,0,5889,344,1400000,6.69
30000,B,8.24,6.04,810,3100,0.1,18000,0,5885,341,2400000,6.41
01010,C,8.17,5.62,117,3100,0,0,0,6096,353,40000,5.72
02020,C,7.88,5.66,768,3100,1.6,15000,0,6048,349,8400000,5.64
03030,C,8.03,5.58,849,3100,1.6,15000,0,6140,354,10400000,5.71
01100,D,8.1,5.11,18,3100,0,0,0,6131,358,40000,4.23
02200,D,7.8,5.6,858,3100,1.1,15000,0,6166,364,6400000,5.24
03300,D,7.98,5.54,813,3100,1.1,15000,0,6183,362,8400000,5.05
10001,AB,8.29,5.98,105,1000,0,0,0,6029,354,20000,6.59
20002,AB,8.03,6.01,987,1000,0.7,18000,35,5985,350,4800000,6.77
30003,AB,7.92,5.81,1140,1000,0.7,18000,35,5973,351,6800000,6.26
11010,BC,8.46,6.02,40,2300,0,0,0,6064,348,60000,6.28
22020,BC,8.21,5.98,886,2300,1.7,18000,0,6175,359,9800000,6.53
33030,BC,7.85,5.95,1003,2300,1.7,18000,0,6166,358,12800000,6.16
11100,BD,8.05,5.48,10,2900,0,0,0,6200,365,60000,5.22
22200,BD,7.9,5.85,811,2900,1.2,18000,0,6209,365,7800000,5.58
33300,BD,8.05,5.73,892,2900,1.2,18000,0,6189,358,10800000,5.99
