XCoord,YCoord,AFFILIATION,AREA,GEOCODE,COMMUTE_TYPE,FIPS,DIST_TO_MIT_KM
-71.07729543,42.3413187,OTA,ENG,OFF_CAMPUS,UNK,2.50251E+11,2.649586817
-70.9309682,42.52564037,RES,ENG,OFF_CAMPUS,DRV,2.50092E+11,26.07072418
-71.1719781,42.64126114,SER,LL,OFF_CAMPUS,UNK,2.50093E+11,32.32415053
-71.11641069,42.38390623,FAC,SCI,OFF_CAMPUS,WLK_PUB,2.50174E+11,3.816434221
-71.11734437,42.31327705,ADM,SSM,OFF_CAMPUS,WLK_PUB,2.50251E+11,5.931789293
-71.04599964,42.31011439,OTA,VPRES,OFF_CAMPUS,WLK_PUB,2.50251E+11,6.961074547
-71.06430134,42.42780826,OTA,VPRES,OFF_CAMPUS,WLK_PUB,2.50173E+11,7.547434181
-71.07450959,42.34988687,SUP,VPHR,OFF_CAMPUS,WLK,2.5025E+11,2.018129357
-71.66560581,42.34077788,RES,LL,OFF_CAMPUS,UNK,2.50277E+11,63.13838626
-71.04985518,42.29275168,RES,LL,OFF_CAMPUS,UNK,2.50251E+11,9.247956017
-71.11366812,42.38103407,OTA,SCI,OFF_CAMPUS,UNK,2.50174E+11,3.373779621
-71.15639616,42.37896627,SUP,DF,OFF_CAMPUS,DRV,2.50174E+11,7.32798125
-71.08392345,42.34257768,OTA,HAS,OFF_CAMPUS,WLK,2.5025E+11,2.099199943
-71.10312011,42.39604209,OTA,SCI,OFF_CAMPUS,BIC,2.50174E+11,4.023594322
-71.47655475,42.74644981,RES,ENG,OFF_CAMPUS,DRV_HOM,3.3011E+11,60.75847149
-71.08474178,42.34970222,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.5025E+11,1.433665217
-71.10251474,42.37503295,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,2.147049606
-71.11794769,42.41670781,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,6.862697082
-71.06129231,42.29016576,ADM,VPF,OFF_CAMPUS,WLK_PUB,2.50251E+11,8.523169695
-71.05854137,42.45101447,ADM,DSL,OFF_CAMPUS,DRV,2.50173E+11,10.81658721
-71.05931487,42.35981932,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.5025E+11,3.846163317
-71.14443138,42.33822807,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.50214E+11,5.940605055
-71.27469136,42.52738493,ADM,DGE,OFF_CAMPUS,DRV,2.50173E+11,29.07252631
-71.26110846,42.48903725,FAC,ENG,OFF_CAMPUS,DRV,2.50174E+11,24.83449517
