ID,Cluster,Latitude,Longitude,Frequency,Resilience,Mindshare Indicator
1,Apparel & Fashion,42.38535,-71.11963,1.0,38976.87,2.33
1,Apparel & Fashion,42.368256,-71.107956,1.0,6.73,3.67
2,Architecture & Planning,42.362663,-71.08415,1.0,347340.44,8.17
3,Automotive,42.35815,-71.10634,1.0,280072.34,331.67
5,Biotechnology,42.36305,-71.11533,1.0,886528.9,19.5
5,Biotechnology,42.36305,-71.11533,1.0,288035.38,26.8
5,Biotechnology,42.36305,-71.11533,1.0,800030.9,4.23
5,Biotechnology,42.36943,-71.112305,1.0,1253363.2,2.17
5,Biotechnology,42.359104,-71.10591,1.0,36.87,34.33
5,Biotechnology,42.35505,-71.10574,1.0,451326.72,8.54
5,Biotechnology,42.35906,-71.10307,1.0,727814.06,9.38
5,Biotechnology,42.35798,-71.10286,1.0,1261764.2,7.3
5,Biotechnology,42.36091,-71.10132,1.0,328751.5,8.54
5,Biotechnology,42.36091,-71.10132,1.0,133339.9,5.5
5,Biotechnology,42.363426,-71.1003,1.0,506697.53,5.6
5,Biotechnology,42.362907,-71.09217,1.0,655897.75,6.87
5,Biotechnology,42.362915,-71.09137,1.0,9725.59,2.93
5,Biotechnology,42.36657,-71.090195,1.0,84803.71,4.54
5,Biotechnology,42.36657,-71.090195,1.0,600038.75,43.8
5,Biotechnology,42.36273,-71.0832,1.0,169107.33,2.67
5,Biotechnology,42.36468,-71.08236,1.0,351.18,5.92
5,Biotechnology,42.36528,-71.08198,1.0,4544132.5,37.43
5,Biotechnology,42.36693,-71.081665,1.0,213339.6,4.0
5,Biotechnology,42.36693,-71.081665,1.0,362909.62,2.03
5,Biotechnology,42.36388,-71.08138,1.0,,
5,Biotechnology,42.36225,-71.0803,1.0,666677.8,27.17
5,Biotechnology,42.36744,-71.079506,1.0,410431.66,20.3
5,Biotechnology,42.36429,-71.079254,1.0,1466700.0,18.2
5,Biotechnology,42.36429,-71.079254,1.0,1866699.5,15.8
5,Biotechnology,42.363346,-71.07871,1.0,1176279.9,13.2
5,Biotechnology,42.363346,-71.07871,1.0,54525.26,1.32
5,Biotechnology,42.3656,-71.07857,1.0,2418698.2,9.17
5,Biotechnology,42.3656,-71.07857,1.0,1744035.0,25.1
5,Biotechnology,42.3656,-71.07857,1.0,1728030.5,2.6
5,Biotechnology,42.36968,-71.07788,1.0,3866676.8,22.33
5,Biotechnology,42.36585,-71.07579,1.0,2400009.5,17.5
5,Biotechnology,42.367104,-71.07408,1.0,800007.0,4.83
5,Biotechnology,42.367104,-71.07408,1.0,1602033.6,17.97
5,Biotechnology,42.35952,-71.11569,1.0,272127.34,11.7
5,Biotechnology,42.35952,-71.11569,1.0,1883312.8,13.93
5,Biotechnology,42.362762,-71.083496,1.0,2666675.5,16.0
5,Biotechnology,42.362762,-71.083496,1.0,2000011.2,26.33
5,Biotechnology,42.36336,-71.091415,1.0,13363.0,121.0
5,Biotechnology,42.36347,-71.07867,1.0,2100030.2,1.23
5,Biotechnology,42.363777,-71.07953,1.0,126.97,9.86
5,Biotechnology,42.365585,-71.078224,1.0,1117566.4,6.85
5,Biotechnology,42.36585,-71.07579,1.0,622908.6,14.1
5,Biotechnology,42.366325,-71.0918,1.0,265725.75,7.82
5,Biotechnology,42.36779,-71.08972,1.0,,
5,Biotechnology,42.369705,-71.07792,1.0,421367.06,21.37
5,Biotechnology,42.373615,-71.10973,1.0,1733367.0,20.73
5,Biotechnology,42.374355,-71.111595,1.0,332191.34,7.66
5,Biotechnology,42.380787,-71.116356,1.0,84922.18,4.91
5,Biotechnology,42.39057,-71.12205,1.0,146698.45,10.27
7,Computer & Network Security,38.804836,-77.04692,1.0,175761.67,114.33
7,Computer & Network Security,42.373615,-71.10973,1.0,200016.8,54.0
8,Computer Games,42.36571,-71.10315,1.0,350.96,4.82
8,Computer Games,37.800198,-122.40174,1.0,43781.82,19.08
