x,y
955,304
918,326
857,427
985,437
892,493
970,347
860,382
908,398
975,312
953,340
971,451
911,203
976,308
872,439
925,455
900,260
896,427
897,305
873,361
933,418
988,450
912,491
871,345
847,396
955,322
924,445
932,340
954,215
917,210
924,242
912,354
892,481
968,285
914,267
980,525
980,389
987,513
911,435
961,521
943,385
959,490
902,272
957,364
944,498
956,403
972,390
943,253
872,372
973,397
884,353
954,201
962,390
971,290
924,395
916,462
877,376
900,243
910,211
906,279
910,370
961,504
984,216
912,500
943,326
938,509
883,457
918,236
949,276
972,527
912,353
894,293
984,483
880,350
896,286
932,497
853,362
933,240
940,278
929,429
975,345
979,430
926,264
855,412
935,310
865,431
896,262
940,418
887,407
942,434
954,244
886,439
965,479
964,468
901,296
969,397
937,352
987,257
862,393
902,225
945,328
932,200
881,294
919,298
951,438
941,229
923,238
933,201
943,462
934,483
885,352
904,491
973,320
927,239
939,273
904,325
985,432
871,320
915,404
937,303
976,262
906,331
930,486
939,210
