x,y
451.00897,451.00897
313.87665,313.87665
391.91003,391.91003
365.46335,365.46335
417.46576,417.46576
336.71075,336.71075
393.61157,393.61157
413.21185,413.21185
270.6317,270.6317
299.26794,299.26794
395.50153,395.50153
307.06604,307.06604
310.35663,310.35663
278.11252,278.11252
295.96454,295.96454
353.5311,353.5311
392.4876,392.4876
385.3691,385.3691
443.0896,443.0896
374.071,374.071
384.073,384.073
315.9851,315.9851
298.3122,298.3122
421.73962,421.73962
332.02045,332.02045
372.34683,372.34683
451.27206,451.27206
435.39804,435.39804
436.5184,436.5184
361.84058,361.84058
382.85492,382.85492
410.62335,410.62335
428.02545,428.02545
444.9287,444.9287
285.17926,285.17926
319.22256,319.22256
399.97702,399.97702
352.20276,352.20276
290.51846,290.51846
326.3263,326.3263
395.64896,395.64896
350.3942,350.3942
331.6913,331.6913
286.28488,286.28488
324.16397,324.16397
455.17276,455.17276
285.4129,285.4129
309.7402,309.7402
290.0139,290.0139
291.0363,291.0363
400.1902,400.1902
312.9532,312.9532
415.50052,415.50052
339.1344,339.1344
335.00555,335.00555
345.70874,345.70874
279.20435,279.20435
422.33688,422.33688
270.61285,270.61285
313.86215,313.86215
452.29492,452.29492
334.88284,334.88284
365.0276,365.0276
337.1103,337.1103
412.77762,412.77762
338.51318,338.51318
416.21228,416.21228
262.76993,262.76993
369.4112,369.4112
272.15414,272.15414
322.48117,322.48117
274.67685,274.67685
305.77863,305.77863
371.87457,371.87457
284.99515,284.99515
416.63208,416.63208
308.39615,308.39615
287.52744,287.52744
453.9614,453.9614
368.08624,368.08624
406.3311,406.3311
277.86496,277.86496
406.9807,406.9807
383.03317,383.03317
455.5103,455.5103
397.8874,397.8874
362.14526,362.14526
369.25928,369.25928
283.12256,283.12256
374.99948,374.99948
420.07977,420.07977
336.46542,336.46542
315.89777,315.89777
407.77936,407.77936
304.19797,304.19797
279.875,279.875
291.64767,291.64767
411.20013,411.20013
314.2158,314.2158
413.9548,413.9548
439.01385,439.01385
398.94284,398.94284
443.4347,443.4347
327.45184,327.45184
359.91147,359.91147
283.7765,283.7765
333.60526,333.60526
429.18558,429.18558
416.5461,416.5461
341.5608,341.5608
308.48416,308.48416
381.35834,381.35834
338.8403,338.8403
439.6628,439.6628
430.58673,430.58673
397.15863,397.15863
366.02655,366.02655
279.83694,279.83694
313.19427,313.19427
288.59814,288.59814
414.9882,414.9882
393.58582,393.58582
279.63712,279.63712
418.2645,418.2645
421.94522,421.94522
391.31055,391.31055
370.95804,370.95804
297.31622,297.31622
364.02768,364.02768
390.07623,390.07623
322.39505,322.39505
345.20908,345.20908
290.99707,290.99707
404.4449,404.4449
375.07745,375.07745
371.56308,371.56308
403.19064,403.19064
390.5584,390.5584
398.2073,398.2073
291.05002,291.05002
391.3659,391.3659
325.5778,325.5778
376.18646,376.18646
278.69055,278.69055
384.98166,384.98166
432.35312,432.35312
401.98553,401.98553
296.06262,296.06262
329.4853,329.4853
422.3016,422.3016
321.59094,321.59094
341.8187,341.8187
265.0974,265.0974
386.9245,386.9245
351.5581,351.5581
391.80997,391.80997
381.75266,381.75266
409.06183,409.06183
374.36786,374.36786
341.6379,341.6379
