"shapeid","TYP_CD","TYP_CD_DES","OBJECTID"
"0","PO","Pedestrian Overhead Bridge","0"
"1","PO","Pedestrian Overhead Bridge","0"
"2","PO","Pedestrian Overhead Bridge","0"
"3","PO","Pedestrian Overhead Bridge","0"
"4","PO","Pedestrian Overhead Bridge","0"
"5","PO","Pedestrian Overhead Bridge","0"
"6","PO","Pedestrian Overhead Bridge","0"
"7","PO","Pedestrian Overhead Bridge","0"
"8","PO","Pedestrian Overhead Bridge","0"
"9","PO","Pedestrian Overhead Bridge","0"
"10","PO","Pedestrian Overhead Bridge","0"
"11","PO","Pedestrian Overhead Bridge","0"
"12","PO","Pedestrian Overhead Bridge","0"
"13","PO","Pedestrian Overhead Bridge","0"
"14","PO","Pedestrian Overhead Bridge","0"
"15","PO","Pedestrian Overhead Bridge","0"
"16","PO","Pedestrian Overhead Bridge","0"
"16.ring1","PO","Pedestrian Overhead Bridge","0"
"17","PO","Pedestrian Overhead Bridge","0"
"18","PO","Pedestrian Overhead Bridge","0"
"19","PO","Pedestrian Overhead Bridge","0"
"20.0","PO","Pedestrian Overhead Bridge","0"
"20.1","PO","Pedestrian Overhead Bridge","0"
"21","PO","Pedestrian Overhead Bridge","0"
"22","NULL","NULL","57"
"23","NULL","NULL","114"
"24","NULL","NULL","259"
"25","NULL","NULL","331"
"26","NULL","NULL","371"
"27","NULL","NULL","724"
"28","NULL","NULL","1049"
"29","NULL","NULL","1174"
"30","NULL","NULL","1294"
"31","NULL","NULL","1462"
"32","NULL","NULL","1514"
"33","NULL","NULL","496"
"34","NULL","NULL","13191"
"35","NULL","NULL","13192"
"36","NULL","NULL","13195"
"37","NULL","NULL","13196"
"38","NULL","NULL","13185"
"39","NULL","NULL","13186"
"40","NULL","NULL","13188"
"41","NULL","NULL","13189"
"42","NULL","NULL","13190"
"43","NULL","NULL","13193"
"44","NULL","NULL","13194"
"45","NULL","NULL","13197"
"46","NULL","NULL","2612"
"47","NULL","NULL","2611"
"48","NULL","NULL","2610"
"49","NULL","NULL","8945"
"50","NULL","NULL","238"
"51","NULL","NULL","8946"
"52","NULL","NULL","3331"
"53","NULL","NULL","3407"
"54","NULL","NULL","3408"
"55","NULL","NULL","3332"
"56","NULL","NULL","3330"
"57","NULL","NULL","3329"
"58","NULL","NULL","3409"
"59","NULL","NULL","3405"
"60","NULL","NULL","3406"
"61","NULL","NULL","8947"
"62","NULL","NULL","19169"
"63","NULL","NULL","19170"
