obstacle	vertX	vertY
0	214.0	219.0
0	552.0	113.0
0	689.0	47.0
0	772.0	5.0
0	947.0	4.0
0	1057.0	136.0
0	710.0	300.0
0	500.0	370.0
0	346.0	412.0
0	223.0	453.0
1	186.0	223.0
1	197.0	458.0
1	169.0	464.0
1	34.0	451.0
1	24.0	456.0
1	2.0	458.0
1	2.0	231.0
2	974.0	7.0
2	1073.0	130.0
2	1185.0	76.0
2	1127.0	6.0
3	1165.0	6.0
3	1211.0	65.0
3	1341.0	6.0
4	262.0	544.0
4	263.0	566.0
4	363.0	568.0
4	360.0	546.0
5	377.0	550.0
5	380.0	568.0
5	633.0	576.0
5	633.0	557.0
6	655.0	558.0
6	655.0	577.0
6	910.0	586.0
6	882.0	698.0
6	930.0	701.0
6	952.0	590.0
6	1377.0	577.0
6	1372.0	552.0
6	938.0	566.0
7	1081.0	143.0
7	1068.0	153.0
7	1212.0	324.0
7	1226.0	317.0
8	1238.0	332.0
8	1225.0	343.0
8	1386.0	536.0
8	1398.0	524.0
9	222.0	530.0
9	199.0	529.0
9	199.0	489.0
9	222.0	489.0
10	201.0	545.0
10	201.0	563.0
10	221.0	563.0
10	221.0	544.0
11	196.0	580.0
11	220.0	582.0
11	200.0	701.0
11	172.0	702.0
12	181.0	562.0
12	181.0	540.0
12	4.0	539.0
12	4.0	562.0
13	188.0	213.0
13	208.0	208.0
13	200.0	66.0
13	183.0	68.0
14	203.0	52.0
14	182.0	53.0
14	177.0	7.0
14	201.0	7.0
15	1115.0	-2.0
15	1405.0	357.0
15	1401.0	285.0
15	1167.0	-8.0
16	614.0	470.0
16	613.0	503.0
16	630.0	506.0
16	628.0	469.0
17	666.0	420.0
17	662.0	459.0
17	680.0	460.0
17	680.0	425.0
