"shapeid","FacilityID","FacilityRa","Name","IncidentCu","FacilityCu","IncidentID","Total_Leng","Shape_Leng"
"0","291","1","- Location 291","2","2","295","869.256109385","869.257316942"
"1","1941","1","PARC OASIS - Location 1941","2","1","297","335.661439683","335.661944919"
"2","1110","1","- Location 1110","2","1","300","83.9641514907","83.9642367358"
"3","1941","1","PARC OASIS - Location 1941","1","1","301","531.946861128","531.947657374"
"4","1109","1","IVORY HEIGHTS - Location 1109","2","1","302","363.873941355","363.874468296"
"5","291","1","- Location 291","2","1","305","236.652991263","236.653332439"
"6","291","1","- Location 291","1","1","306","223.289018157","223.289378692"
"7","291","1","- Location 291","1","1","307","440.577489736","440.578158694"
"8","1109","1","- Location 1109","2","1","308","51.2298590374","51.2299265136"
"9","496","1","- Location 496","1","1","309","172.611064616","172.611344756"
"10","496","1","- Location 496","2","1","310","131.149487289","131.149742784"
"11","291","1","- Location 291","1","1","311","294.671989472","294.672460171"
"12","2930","1","- Location 2930","2","2","312","154.158079517","154.158287682"
"13","1135","1","- Location 1135","2","2","317","153.321091442","153.321311773"
"14","2930","1","- Location 2930","1","2","318","98.8406886277","98.840873568"
"15","2930","1","- Location 2930","2","2","319","125.076872011","125.077042732"
"16","2595","1","- Location 2595","1","2","320","104.265614042","104.265716517"
"17","289","1","- Location 289","2","2","323","169.006926615","169.007170403"
"18","289","1","- Location 289","1","1","324","190.450052012","190.450317868"
"19","1135","1","IVORY HEIGHTS - Location 1135","1","1","325","242.869546961","242.869898161"
"20","2471","1","- Location 2471","1","2","326","174.532977097","174.533239119"
"21","2471","1","- Location 2471","2","1","327","123.758147559","123.758249257"
"22.0","2957","1","- Location 2957","1","1","329","309.192294295","309.19270177"
"22.1","2957","1","- Location 2957","1","1","329","309.192294295","309.19270177"
"23","289","1","- Location 289","1","1","330","230.9511889","230.951500425"
"24","2736","1","- Location 2736","2","2","331","69.592157768","69.5922998597"
"25","1597","1","- Location 1597","2","2","332","47.0044375539","47.0045121857"
"26","2471","1","- Location 2471","2","2","339","294.064536819","294.064883057"
"27","1596","1","- Location 1596","2","1","340","186.269522382","186.269778502"
"28","368","1","- Location 368","1","2","350","194.207336285","194.207596154"
"29","2471","1","- Location 2471","2","2","351","445.220520622","445.221125574"
"30","284","1","- Location 284","2","2","352","262.11695689","262.117246038"
"31","2766","1","- Location 2766","2","2","353","163.133761867","163.133956654"
"32","284","1","- Location 284","2","2","354","227.832792497","227.833110755"
"33","284","1","- Location 284","1","2","355","254.932323756","254.932653594"
"34","368","1","- Location 368","1","1","364","161.722746886","161.723001198"
"35","368","1","- Location 368","1","1","365","191.179362896","191.1796257"
"36","2091","1","- Location 2091","2","1","376","149.275736097","149.275835215"
"37.0","2091","1","- Location 2091","2","1","377","130.068274855","130.06843372"
"37.1","2091","1","- Location 2091","2","1","377","130.068274855","130.06843372"
"37.2","2091","1","- Location 2091","2","1","377","130.068274855","130.06843372"
"38.0","398","1","- Location 398","1","1","408","391.452503473","391.452994582"
"38.1","398","1","- Location 398","1","1","408","391.452503473","391.452994582"
"38.2","398","1","- Location 398","1","1","408","391.452503473","391.452994582"
"39","285","1","- Location 285","1","1","409","558.496451099","558.497123685"
"40","285","1","- Location 285","2","1","410","636.548953675","636.549786175"
"41","285","1","- Location 285","2","1","416","630.769530544","630.770323296"
"42","285","1","- Location 285","2","1","417","651.479858629","651.480679689"
"43","1941","1","PARC OASIS - Location 1941","2","1","2045","366.799135045","366.799683931"
"44","340","1","- Location 340","2","2","2050","707.558015183","707.559159039"
"45","1941","1","PARC OASIS - Location 1941","1","1","2055","527.37343064","527.374183764"
"46","1941","1","PARC OASIS - Location 1941","1","1","2056","318.778658995","318.779172524"
"47.0","291","1","- Location 291","1","2","2057","230.82901092","230.829333913"
"47.1","291","1","- Location 291","1","2","2057","230.82901092","230.829333913"
"48","496","1","- Location 496","1","1","2058","177.819441484","177.819724023"
"49","495","1","- Location 495","1","2","2059","100.522897381","100.523086116"
"50","291","1","- Location 291","1","1","2063","298.36770206","298.368206161"
"51","496","1","- Location 496","1","1","2064","268.495795195","268.496238477"
"52.0","291","1","- Location 291","2","2","2067","96.6647245557","96.6648155164"
"52.1","291","1","- Location 291","2","2","2067","96.6647245557","96.6648155164"
"53","291","1","- Location 291","1","1","2068","335.955304349","335.955819943"
"54","1109","1","- Location 1109","2","1","2069","155.258024741","155.258259904"
"55","2957","1","- Location 2957","1","1","2072","85.1900732653","85.1901958929"
"56","289","1","- Location 289","1","1","2078","132.256468031","132.256619518"
"57","289","1","- Location 289","2","1","2079","182.379563017","182.379810097"
"58","2736","1","- Location 2736","2","1","2080","127.106340067","127.106493771"
"59.0","2957","1","- Location 2957","1","1","2085","372.493021105","372.493530172"
"59.1","2957","1","- Location 2957","1","1","2085","372.493021105","372.493530172"
"60","2736","1","- Location 2736","2","1","2086","173.844514819","173.844761214"
"61","368","1","- Location 368","1","2","2091","237.877046455","237.877280442"
"62","2471","1","- Location 2471","2","2","2092","247.761991469","247.762276675"
"63","2471","1","- Location 2471","1","2","2093","250.301326862","250.301673098"
"64","2471","1","- Location 2471","1","2","2094","284.657152761","284.657528971"
"65","284","1","- Location 284","1","2","2095","289.369763996","289.370150102"
"66","2766","1","- Location 2766","1","2","2096","44.4623981971","44.462440982"
"67","284","1","- Location 284","2","2","2101","265.367637172","265.367976386"
"68","284","1","- Location 284","2","2","2102","107.244687274","107.244831771"
"69","2471","1","- Location 2471","1","2","2106","614.33237039","614.333227003"
"70","285","1","- Location 285","2","1","2107","461.8660389","461.866643335"
"71","368","1","- Location 368","1","2","2117","87.0322480476","87.0323485864"
"72","368","1","- Location 368","1","2","2118","94.337078839","94.3371922065"
"73","368","1","- Location 368","1","1","2119","235.92703413","235.927352214"
"74","2471","1","- Location 2471","1","2","2120","600.806323542","600.807071089"
"75","2411","1","- Location 2411","1","1","2121","266.420158068","266.420454172"
"76","367","1","- Location 367","1","1","2130","237.32633318","237.326651671"
"77","285","1","- Location 285","2","1","2131","325.80709073","325.80747399"
"78","367","1","- Location 367","2","1","2143","352.307934542","352.3083802"
"79","285","1","- Location 285","2","1","2144","527.236121459","527.236836756"
"80","285","1","- Location 285","2","1","2158","566.603052431","566.603738335"
"81","285","1","- Location 285","2","1","2159","466.457730019","466.458337141"
"82.0","398","1","- Location 398","1","1","2176","482.198196839","482.198734278"
"82.1","398","1","- Location 398","1","1","2176","482.198196839","482.198734278"
"82.2","398","1","- Location 398","1","1","2176","482.198196839","482.198734278"
"83","285","1","- Location 285","1","1","2177","565.922164688","565.922853549"
"84","291","1","- Location 291","2","2","3815","596.502764518","596.503580501"
"85.0","291","1","- Location 291","1","2","3817","217.451315372","217.451549901"
"85.1","291","1","- Location 291","1","2","3817","217.451315372","217.451549901"
"86","291","1","- Location 291","1","2","3822","187.100494978","187.10071707"
"87","1941","1","PARC OASIS - Location 1941","1","1","3823","494.618233771","494.618955974"
"88","1109","1","- Location 1109","2","2","3828","59.2782476784","59.2783782211"
"89","1110","1","- Location 1110","2","2","3829","27.1381748381","27.138244067"
"90","496","1","- Location 496","1","1","3830","309.281474218","309.281953604"
"91","496","1","- Location 496","2","1","3831","248.108830924","248.10922149"
"92","495","1","- Location 495","2","2","3832","74.896234911","74.8963861148"
"93.0","291","1","- Location 291","1","2","3836","224.418311019","224.418601148"
"93.1","291","1","- Location 291","1","2","3836","224.418311019","224.418601148"
"94","1109","1","WESTMERE - Location 1109","1","1","3837","236.22229558","236.222629226"
"95","1109","1","WESTMERE - Location 1109","1","1","3838","124.500494442","124.500674706"
"96","1109","1","WESTMERE - Location 1109","2","1","3839","124.500494442","124.500674706"
"97","496","1","- Location 496","2","1","3840","96.6177576035","96.6179594047"
"98","291","1","- Location 291","2","2","3843","77.8175985968","77.8176641308"
"99","291","1","- Location 291","2","1","3844","10.7591160739","10.7591666939"
"100","291","1","- Location 291","1","1","3845","217.561677976","217.561994225"
"101","2930","1","- Location 2930","2","2","3846","139.897446281","139.897684985"
"102","496","1","- Location 496","2","2","3847","135.817658339","135.817866904"
"103","289","1","- Location 289","1","1","3851","233.454441971","233.454781691"
"104","1135","1","IVORY HEIGHTS - Location 1135","2","1","3852","292.808689499","292.809062002"
"105","496","1","- Location 496","2","2","3853","104.090306678","104.090420511"
"106.0","2957","1","- Location 2957","2","1","3857","206.482411822","206.482714764"
"106.1","2957","1","- Location 2957","2","1","3857","206.482411822","206.482714764"
"107","1135","1","IVORY HEIGHTS - Location 1135","1","1","3858","243.644904292","243.645244695"
"108","1135","1","- Location 1135","1","1","3859","157.834524017","157.834755584"
"109","289","1","- Location 289","2","2","3863","190.117594371","190.117817467"
"110","2471","1","- Location 2471","1","2","3864","191.173557423","191.173794182"
"111","2736","1","- Location 2736","1","1","3865","145.927623598","145.927798347"
"112","2736","1","- Location 2736","1","2","3866","64.4793709951","64.4794438313"
"113","2736","1","- Location 2736","2","1","3867","134.439987427","134.440144081"
"114","2766","1","- Location 2766","2","2","3869","178.767233596","178.767421527"
"115","2766","1","- Location 2766","1","2","3870","92.5408331749","92.540938834"
"116","2471","1","- Location 2471","1","2","3876","323.311127426","323.311549337"
"117","1596","1","- Location 1596","1","1","3877","151.758265147","151.758465098"
"118","2766","1","- Location 2766","1","2","3878","112.707207425","112.707358656"
"119","2766","1","- Location 2766","1","2","3879","149.02135932","149.021497758"
"120","366","1","- Location 366","1","2","3885","177.294383249","177.294649838"
"121","366","1","- Location 366","2","2","3886","100.986731776","100.986933362"
"122","284","1","- Location 284","1","2","3887","197.049355463","197.049573123"
"123","368","1","- Location 368","1","2","3896","132.656325784","132.6564553"
"124","368","1","- Location 368","1","2","3897","148.37939407","148.379594695"
"125","368","1","- Location 368","1","2","3898","81.7637435252","81.7638189513"
"126","366","1","- Location 366","2","2","3899","175.488304771","175.488536949"
"127","284","1","- Location 284","1","2","3900","135.231980017","135.232167544"
"128","285","1","- Location 285","2","1","3905","56.07441971","56.0745682998"
"129","285","1","- Location 285","1","1","3906","88.0479886418","88.0481653504"
"130","368","1","- Location 368","2","1","3920","141.087106404","141.08730327"
"131","2471","1","- Location 2471","2","2","3921","660.437815468","660.438639202"
"132","285","1","- Location 285","2","1","3930","343.379615564","343.38005051"
"133","285","1","- Location 285","2","1","3931","411.956077829","411.956610464"
"134","285","1","- Location 285","2","1","3932","401.977777827","401.978350376"
"135","285","1","- Location 285","2","1","3950","500.651121659","500.65177304"
"136","2091","1","- Location 2091","1","2","3951","64.3785247305","64.3786038643"
"137","2091","1","- Location 2091","2","1","3952","119.475992647","119.476084427"
"138.0","398","1","- Location 398","2","1","3967","468.254138164","468.254662265"
"138.1","398","1","- Location 398","2","1","3967","468.254138164","468.254662265"
"138.2","398","1","- Location 398","2","1","3967","468.254138164","468.254662265"
