"shapeid","x","y","STN_NAM","id","Name","OBJECTID","HYPERLINK","POSTALCODE","ADDRESS","ADDRESSBLO","ADDRESSBUI","ADDRESSPOS","ADDRESSSTR","DESCRIPTIO","PHOTOURL","ADDRESSFLO","ADDRESSUNI","BUS_STOP_N","BUS_ROOF_N","LOC_DESC","IMAGE_PATH","PHOTOCREDI","PAGETITLE","OVERVIEW","EXTERNAL_L","OPENING_HO","HCI_NAME","HCI_TEL","POSTAL_CD","BLK_HSE_NO","FLOOR_NO","UNIT_NO","STREET_NAM","BUILDING_N","CLINIC_PRO","LANDYADDRE","HOUSE_NUMB","LEVEL_NO","STREETNAME","NAME_OF_SC","Type","INFORMATIO","FACILITIES","SCHOOL_NAM"
"0","103.742263234","1.3332090244","JURONG EAST MRT","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1","103.732558045","1.34240175171","CHINESE GARDEN MRT","1","Chinese Garden","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","103.739259626","1.33156163893","NULL","0","Genting Hotel Jurong","191","NULL","608516","2 Town Hall Link","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3","103.742880867","1.33893637511","NULL","0","ACE @ WORK EDUCARE PTE LTD","62","http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=PT4510","NULL","NULL","NULL","NULL","602288","Blk 288B JURONG EAST STREET 21 #01 - 378 SINGAPORE 602288","Child Care Services","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","103.745882879","1.328632347","NULL","0","MULBERRY LEARNING CENTRE INTERNATIONAL PTE. LTD.","232","http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=PT8706","NULL","NULL","NULL","NULL","609921","31 INTERNATIONAL BUSINESS PARK #01 - 04/05 CREATIVE RESOURCE SINGAPORE 609921","Child Care Services","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5","103.744879164","1.33183269882","NULL","0","POSSO PRESCHOOL @ BIG BOX PTE. LTD.","264","http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=PT9133","NULL","NULL","NULL","NULL","608521","Blk 1 VENTURE AVENUE #04 - 12 SINGAPORE 608521","Child Care Services","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6","103.748337575","1.32803882612","NULL","0","SAFARI HOUSE BABIES & TODDLERS","267","http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=PT9179","NULL","NULL","NULL","NULL","609933","Blk 1A INTERNATIONAL BUSINESS PARK #01 - 01 SINGAPORE 609933","Child Care Services","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","103.748331229","1.33102122077","NULL","0","CHERIE HEARTS @ THE CHEVRONS PTE LTD","281","http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=WP0740","NULL","NULL","NULL","NULL","609961","Blk 48 BOON LAY WAY #01 - 01 SINGAPORE 609961","Child Care Services","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"8","103.740101374","1.34227314302","NULL","0","CHERIE HEARTS HOLDINGS PTE. LTD.","335","http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=PT9022","NULL","NULL","NULL","NULL","600248","Blk 248 JURONG EAST STREET 24 #01 - 72 SINGAPORE 600248","Child Care Services","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"9","103.753538116","1.32749327676","NULL","0","STAR LEARNERS @ JURONG EAST PTE. LTD.","350","http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=PT9072","NULL","NULL","NULL","NULL","609964","8 BOON LAY WAY #01 - 24/25 8 @ TRADEHUB 21 SINGAPORE 609964","Child Care Services","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
