"shapeid","x","y"
"0","103.75405701","1.32671429584"
"0","103.75367","1.32683"
"0","103.75229","1.32731"
"0","103.75223","1.32734"
"0","103.75203","1.32744"
"0","103.75199","1.32746"
"0","103.75189","1.32752"
"0","103.75193","1.3275"
"0","103.75089","1.32804"
"0","103.75003","1.32865"
"1","103.7448","1.34282"
"1","103.74331","1.34084"
"2","103.73622","1.34321"
"2","103.73648","1.34307"
"2","103.73656","1.34302"
"2","103.7377","1.34238"
"2","103.73779","1.34233"
"2","103.73838","1.34199"
"2","103.7391","1.3416"
"2","103.73945","1.34144"
"2","103.73981","1.34136"
"2","103.74029","1.34135"
"2","103.7408","1.34136"
"2","103.74145","1.34137"
"2","103.74216","1.34137"
"2","103.74241","1.34133"
"2","103.74283","1.34113"
"2","103.74318","1.34091"
"3","103.74601","1.34449"
"3","103.7448","1.34282"
"4","103.75102","1.34311"
"4","103.751200713","1.34328028745"
"5","103.74891","1.34182"
"5","103.7481","1.34031"
"6.0","103.72929","1.33507"
"6.0","103.72931","1.33497"
"6.0","103.72938","1.33486"
"6.0","103.72951","1.3348"
"6.0","103.72962","1.33481"
"6.0","103.7297","1.33483"
"6.0","103.72971","1.33484"
"6.0","103.72979","1.3349"
"6.0","103.72982","1.33497"
"6.0","103.72982","1.33506"
"6.0","103.72983","1.33517"
"6.0","103.7298","1.3353"
"6.0","103.72973","1.33543"
"6.0","103.72967","1.33551"
"6.0","103.72957","1.33555"
"6.0","103.72949","1.33554"
"6.0","103.72941","1.33551"
"6.0","103.72932","1.33542"
"6.0","103.72927","1.33531"
"6.0","103.72927","1.33517"
"6.0","103.72929","1.33507"
"6.1","103.72929","1.33507"
"6.1","103.72907","1.33501"
"6.1","103.729","1.33498"
"7","103.736493155","1.32104609938"
"7","103.73678","1.32237"
"7","103.73704","1.32356"
"7","103.73724","1.32444"
"7","103.73752","1.32561"
"7","103.73763","1.32608"
"8","103.73791","1.32698"
"8","103.73771","1.32617"
"8","103.73768","1.32606"
"9","103.748616507","1.32133823478"
"9","103.74813","1.32145"
"9","103.74797","1.32149"
"9","103.74789","1.32151"
"9","103.74753","1.32159"
"9","103.74686","1.32174"
"9","103.74673","1.32169"
"9","103.74664","1.32159"
"9","103.74645","1.32059"
"10","103.746774078","1.32052518438"
"10","103.74645","1.32059"
"10","103.74614","1.32066"
"10","103.74592","1.32077"
"10","103.74552","1.321"
"11","103.73502","1.34105"
"11","103.73495","1.34095"
"12","103.74499","1.32009"
"12","103.74488","1.32015"
"13","103.74593","1.34456"
"13","103.74676","1.34568"
"14","103.74474","1.3429"
"14","103.74593","1.34456"
"15","103.74031","1.33732"
"15","103.74039","1.33741"
"15","103.74143","1.33849"
"15","103.74202","1.33927"
"15","103.74318","1.34091"
"16","103.74762","1.33275"
"16","103.7476","1.33282"
"16","103.74758","1.33293"
"16","103.74753","1.33301"
"16","103.74743","1.33309"
"17","103.73838","1.34199"
"17","103.73875","1.34265"
"17","103.73899","1.34312"
"17","103.73909","1.34329"
"17","103.73918","1.34337"
"17","103.73929","1.34341"
"17","103.73938","1.34343"
"17","103.73967","1.34344"
"17","103.74029","1.34345"
"17","103.74061","1.34345"
"17","103.74069","1.34345"
"17","103.74132","1.34344"
"17","103.74144","1.34339"
"17","103.74158","1.34325"
"17","103.74162","1.34309"
"17","103.74162","1.34281"
"17","103.74158","1.34253"
"17","103.74147","1.3422"
"17","103.74144","1.34203"
"17","103.74145","1.34137"
"18","103.74162","1.34281"
"18","103.7422","1.34283"
"18","103.74233","1.34281"
"18","103.74283","1.34237"
"18","103.74293","1.34232"
"18","103.74299","1.34233"
"18","103.74304","1.34235"
"18","103.74342","1.34284"
"19","103.7349","1.34115"
"19","103.73515","1.34147"
"19","103.73552","1.34195"
"19","103.73566","1.3422"
"19","103.73586","1.34268"
"19","103.7359","1.34278"
"19","103.73607","1.3433"
"20","103.7341","1.3384"
"20","103.73433","1.33845"
"20","103.73455","1.33848"
"20","103.73478","1.33848"
"20","103.735","1.33843"
"20","103.73516","1.33834"
"20","103.73531","1.33824"
"20","103.73545","1.33813"
"20","103.73549","1.33809"
"20","103.73567","1.33798"
"20","103.73588","1.33795"
"20","103.73618","1.33795"
"20","103.73621","1.33795"
"20","103.73645","1.33794"
"20","103.7367","1.33792"
"20","103.73688","1.33787"
"20","103.73701","1.33779"
"20","103.73715","1.33764"
"20","103.73723","1.33747"
"20","103.73727","1.33729"
"20","103.73727","1.33709"
"20","103.73727","1.33697"
"20","103.73725","1.3366"
"20","103.73727","1.33633"
"20","103.73732","1.33615"
"20","103.73741","1.33597"
"20","103.73762","1.33577"
"20","103.7379","1.33555"
"20","103.73805","1.33545"
"20","103.73821","1.33538"
"20","103.73849","1.33535"
"20","103.73883","1.33537"
"21","103.74458","1.32841"
"21","103.7445","1.32829"
"22","103.74716","1.32636"
"22","103.7473","1.32606"
"22","103.74758","1.32596"
"22","103.74789","1.32615"
"22","103.74791","1.32646"
"22","103.74769","1.32816"
"22","103.74763","1.32829"
"22","103.74751","1.3284"
"23","103.74758","1.32596"
"23","103.74776","1.32479"
"24","103.75006","1.32421"
"24","103.74965","1.32383"
"25","103.74543","1.32964"
"25","103.74558","1.32954"
"25","103.7457","1.32953"
"25","103.74584","1.32957"
"25","103.74594","1.32962"
"25","103.74684","1.32886"
"26","103.74703","1.32826"
"26","103.74689","1.32811"
"26","103.74635","1.32824"
"27","103.74589","1.33024"
"27","103.74589","1.33016"
"27","103.7459","1.33008"
"27","103.74596","1.3299"
"27","103.74599","1.32975"
"27","103.74594","1.32962"
"28","103.74548","1.32719"
"28","103.7457","1.32692"
"28","103.74591","1.32663"
"28","103.74598","1.32653"
"28","103.74613","1.32641"
"29","103.74636","1.32628"
"29","103.74716","1.32636"
"30","103.74751","1.32888"
"30","103.74814","1.3298"
"31","103.74879","1.32974"
"31","103.74869","1.32975"
"31","103.74855","1.32969"
"31","103.74847","1.32968"
"31","103.74834","1.3297"
"31","103.74814","1.3298"
"31","103.74792","1.33006"
"31","103.74789","1.33015"
"31","103.74791","1.33024"
"31","103.74794","1.33031"
"31","103.74797","1.33035"
"31","103.74801","1.33043"
