"shapeid","osm_id","name","ref","type","oneway","bridge","maxspeed"
"0","6179240","roundabout","CG-2","primary","1","0","50"
"1","6179675","Ctra. de l'Obac","CG-1","primary","1","0","70"
"2","6182051","Carrer Bonaventura Riberaygua","NULL","residential","1","0","50"
"3","6182052","Carrer de Joan Maragall","NULL","residential","1","0","NULL"
"4","6182053","Carrer Pere d'Urg","NULL","residential","1","0","NULL"
"5","6182054","Passatge d'Europa","NULL","footway","0","0","NULL"
"6","6182056","Carrer de la Borda","NULL","residential","1","0","NULL"
"7","6182057","Carrer de l'Aigueta","NULL","pedestrian","0","0","NULL"
"8","6182058","Carrer de la Sardana","NULL","residential","1","0","NULL"
"9","6182065","Carrer Verge del Pilar","NULL","residential","1","0","NULL"
"10","6182122","Carrer de la Constitucio","NULL","residential","1","0","NULL"
"11","6182127","Carrer Ciutat de Sabadell","NULL","residential","0","0","NULL"
"12","6182159","Avinguda de les Escoles","NULL","primary","1","0","NULL"
"13","6182278","Baixada del Moli","NULL","primary","1","0","NULL"
"14","6182289","Baixada del Moli","NULL","primary","0","0","NULL"
"15","6182303","Avinguda Prat de la Creu","NULL","primary","0","0","50"
"16","6182333","Carrer Prat de la Creu","NULL","primary","1","0","NULL"
"17","6182349","Carrer Doctor Vilanova","NULL","primary","1","0","NULL"
"18","6182364","Avinguda Consell d'Europa","NULL","primary","1","0","NULL"
"19","6182371","Avinguda Fiter i Rossell","CG-3a","residential","1","0","50"
"20","6182386","Carrer Pau Casals","NULL","residential","1","0","NULL"
"21","6182401","Carrer Josep Rossell i Calva","NULL","residential","0","0","NULL"
"22","6182463","Carrer de Josep Viladomat","NULL","primary","1","0","NULL"
"23","6182577","Carrer de Can Diumenge","NULL","residential","0","0","NULL"
"24","6182675","Carrer de Roca Corba","NULL","residential","0","0","NULL"
"25","6182761","Avinguda Esteve Albert","NULL","primary","1","0","NULL"
"26","6182773","Carrer Isabelle Sandy","NULL","residential","1","0","NULL"
"27","6182798","Carrer Ciutat de Consuegra","NULL","residential","1","0","NULL"
"28","6182810","Carrer Callueta","NULL","residential","1","0","NULL"
"29","6182932","Carretera de la Comella","CS-101","primary","1","0","50"
"30","6183100","Carretera d'Engolasters","CS-200","primary","0","0","NULL"
"31","6185394","Carrer Esteve Dolsa Pujol","NULL","residential","0","0","NULL"
"32","6185589","Carrer de l'Alzinaret","NULL","residential","0","0","NULL"
"33","6185611","Carrer del Carubell","NULL","residential","0","0","NULL"
"34","6185640","Carrer Dr. Molines","NULL","residential","1","0","NULL"
"35","6185726","Carrer Sant Andreu","NULL","residential","0","0","NULL"
"36","6185775","Carrer Maria Pla","NULL","residential","1","0","NULL"
"37","6185807","Avinguda Carlemany","NULL","living_street","1","0","NULL"
"38","6185826","Carrer Prat Gran","NULL","residential","1","0","NULL"
"39","6185878","Carrer de Parnal","NULL","residential","1","0","NULL"
"40","6275501","Avinguda de Salou","CG-1","primary","0","0","50"
"41","6275504","Avinguda de Tarragona","CG-1","primary","1","0","50"
"42","6275506","Ctra. de l'Obac","CG-1","primary","1","0","50"
"43","6275509","Carrer Maria Pla","NULL","residential","1","0","NULL"
"44","6275510","Placeta Na Maria Pla","NULL","residential","1","0","50"
"45","6275512","Carrer Verge del Pilar","NULL","residential","1","0","NULL"
"46","6275513","Avinguda del Fener","NULL","residential","1","0","NULL"
"47","6275514","Carrer Prada Casadet","NULL","residential","1","0","50"
"48","6275516","Carrer de la Grau","NULL","residential","0","0","NULL"
"49","23925285","CG-2","CG-2","primary","0","0","50"
"50","24361307","Passatge les Canals","NULL","footway","0","0","NULL"
"51","24361318","Passatge les Canals","NULL","residential","0","0","NULL"
"52","24361367","Carrer Parc Guillemo","NULL","residential","0","0","NULL"
"53","24361435","Carrer de la Creu Grossa","NULL","residential","0","0","NULL"
"54","24361575","Carrer Bonaventura Armengol","NULL","primary","1","0","NULL"
"55","24361984","Avinguda Consell d'Europa","CG3i4","primary","1","0","NULL"
"56","24362252","Pont de Paris","CG3i4","primary","1","1","NULL"
"57","24362255","Avinguda Consell d'Europa","CG3i4","primary","1","0","NULL"
"58","24362361","Avinguda Consell d'Europa","NULL","primary","1","0","NULL"
"59","24362714","Carrer dels Escalls","NULL","residential","0","0","NULL"
"60","24362802","Avinguda Doctor Mitjavila","CG-3a","residential","1","0","NULL"
"61","24364447","Tunel del Pont Pla","CG-3","tunnel","0","0","60"
"62","24364513","Vial de la Unio","CG-3","primary","0","0","NULL"
"63","24364799","Avinguda Prat de la Creu","CG3","primary","1","0","NULL"
"64","24405095","CG3","CG3","primary","0","1","NULL"
"65","24406052","Avinguda Fiter i Rossell","CG-3","primary","0","0","NULL"
"66","24413471","Carrer de la Unio","NULL","primary","1","0","NULL"
"67","24430806","Avinguda Consell d'Europa","NULL","primary","1","0","NULL"
"68","24430807","Avinguda Consell d'Europa","NULL","tunnel","1","0","NULL"
"69","24713904","Carrer Mossen Enric Marfany","NULL","residential","1","0","NULL"
"70","24713918","Carrer Doctor Nequi","NULL","residential","1","0","NULL"
