"shapeid","x","y"
"0","-120.488804301","35.0219824995"
"0","-120.484849997","35.0248899995"
"0","-120.482560001","35.0266099996"
"0","-120.4816354","35.0272933015"
"0","-120.480909467","35.0278297711"
"0","-120.479266961","35.0290435518"
"0","-120.477799101","35.0301063255"
"1","-120.53071947","35.0004432262"
"1","-120.546949908","34.9933801903"
"1","-120.552360754","34.9909470491"
"1","-120.570578032","34.9909842557"
"2","-120.530754978","35.0004808032"
"2","-120.526672446","35.0021109227"
"2","-120.51891428","35.0035565423"
"2","-120.50288687","35.0064818009"
"2","-120.502358044","35.0069391372"
"2","-120.502036764","35.0073578731"
"2","-120.501836321","35.0096657523"
"2","-120.501572312","35.0099433507"
"2","-120.499767959","35.0096737037"
"2","-120.497661293","35.0089930021"
"2","-120.496112508","35.0088529324"
"2","-120.495409501","35.0090733735"
"2","-120.494592845","35.0106065022"
"3","-120.494588102","35.0106561531"
"3","-120.488836794","35.021920015"
"4","-120.59166219","35.1062149332"
"4","-120.591625687","35.1020115615"
"4","-120.591670163","35.1006094149"
"4","-120.591629543","35.1001431515"
"4","-120.591999506","35.0987551855"
"4","-120.592363793","35.0983672554"
"4","-120.592342977","35.0981746199"
"5","-120.575851024","35.073947436"
"5","-120.580834585","35.07626021"
"5","-120.581945354","35.0767756505"
"5","-120.583453475","35.0774754526"
"5","-120.584008328","35.0778519778"
"5","-120.584852269","35.0788236219"
"5","-120.586761914","35.0807380282"
"5","-120.589989971","35.0841046821"
"5","-120.5906561","35.0848455136"
"5","-120.591471749","35.0859606435"
"5","-120.591687271","35.0869752506"
"5","-120.591649487","35.0908257155"
"5","-120.591639679","35.0971679966"
"5","-120.591067859","35.0979728047"
"5","-120.591165573","35.09815947"
"6","-120.498893019","35.0239227955"
"6","-120.489381949","35.0207588845"
"7","-120.43543237","34.9961161984"
"7","-120.435561156","34.9970564506"
"7","-120.436209827","34.9984854739"
"7","-120.437065499","35.0000767442"
"7","-120.43738414","35.0005972557"
"7","-120.439507302","35.0028841873"
"7","-120.440649859","35.0039151023"
"7","-120.441475397","35.0044809328"
"7","-120.443837108","35.0057092823"
"7","-120.445045741","35.0063378716"
"7","-120.447536302","35.0077149644"
"7","-120.448489273","35.008028626"
"7","-120.4496994","35.0079211709"
"7","-120.449797986","35.0078360035"
"8","-120.449820265","35.0078233241"
"8","-120.450277772","35.0076520383"
"8","-120.450673261","35.0074115128"
"8","-120.45195451","35.0064201963"
"8","-120.454067589","35.0048835386"
"8","-120.455939231","35.0035842888"
"8","-120.456437414","35.0033416787"
"8","-120.45692182","35.0032121164"
"9","-120.49891055","35.0333037237"
"9","-120.498808522","35.0334561725"
"9","-120.496575236","35.0346671336"
"9","-120.493792159","35.036340361"
"9","-120.493042235","35.0367315694"
"9","-120.491723936","35.0374726801"
"9","-120.490901638","35.037990652"
"9","-120.489237261","35.0388766206"
