"shapeid","x","y"
"0","-120.628066574","35.4557761204"
"0","-120.628019943","35.4558006995"
"0","-120.627921964","35.4558180052"
"0","-120.62775242","35.4558329698"
"0","-120.627530551","35.4558326947"
"0","-120.627305132","35.4558010771"
"0","-120.62715088","35.4557655613"
"0","-120.626987193","35.4557179729"
"0","-120.626782233","35.4556281967"
"0","-120.626698086","35.4555813725"
"0","-120.626630161","35.4555380777"
"0","-120.626548067","35.4554844676"
"0","-120.626470159","35.4554150145"
"0","-120.626398465","35.4553496218"
"0","-120.626313809","35.4552510657"
"0","-120.626273154","35.4551995965"
"1","-120.628066574","35.4557761204"
"1","-120.628101555","35.4559215898"
"2","-120.628243851","35.4557314129"
"2","-120.628298166","35.4558918952"
"3","-120.628298166","35.4558918952"
"3","-120.628101555","35.4559215898"
"4","-120.626039088","35.4550923018"
"4","-120.625998867","35.4551195812"
"4","-120.625963987","35.45515945"
"4","-120.625952782","35.4552102634"
"4","-120.625980271","35.4553041437"
"4","-120.626058956","35.4554329034"
"4","-120.626110524","35.4555245982"
"4","-120.626133397","35.4555841657"
"4","-120.626134026","35.4556440869"
"4","-120.626125483","35.4556822058"
"4","-120.626101935","35.4557223743"
"4","-120.626063336","35.4557527179"
"4","-120.626017522","35.4557712215"
"4","-120.625962558","35.4557802592"
"4","-120.625907012","35.4557742409"
"4","-120.625842526","35.4557613219"
"4","-120.625770074","35.4557532553"
"4","-120.625701742","35.4557665594"
"4","-120.625639991","35.4557965528"
"4","-120.625595141","35.4558502646"
"4","-120.625554099","35.4559550894"
"4","-120.625543084","35.4559860125"
"5","-120.625543084","35.4559860125"
"5","-120.625160161","35.4559171341"
"5","-120.625015169","35.4558840853"
"5","-120.624898719","35.4558451904"
"5","-120.624794667","35.4557979919"
"5","-120.624695759","35.4557413824"
"5","-120.624597465","35.4556706828"
"5","-120.624484122","35.4555714019"
"5","-120.624408173","35.4554777404"
"5","-120.624332711","35.4553608224"
"5","-120.624280214","35.4552188138"
"5","-120.62425414","35.4551056494"
"5","-120.624250519","35.4549921933"
"5","-120.624271786","35.454885143"
"5","-120.624312712","35.4548029851"
"5","-120.624376208","35.4547169396"
"5","-120.624440407","35.4546581946"
"5","-120.624567357","35.4545806631"
"5","-120.624697883","35.4545141677"
"6","-120.628101555","35.4559215898"
"6","-120.628031876","35.4559162903"
"6","-120.627810727","35.4559482173"
"6","-120.62763582","35.4559490967"
"6","-120.627460592","35.4559399634"
"6","-120.627272761","35.4559196487"
"6","-120.627107108","35.4558816834"
"6","-120.626926922","35.4558268527"
