"shapeid","OBJECTID","SEG_ID","ROAD_ID","PREFIX","NAME","TYPE","SUFFIX","FULLNAME","AKA","LENGTH","SPEED","CATEGORY","HWY_NUM","SHIELD","F_ZLEV","T_ZLEV","FCC","R_F_ADD","R_T_ADD","L_F_ADD","L_T_ADD","ONE_WAY","L_ESN","R_ESN","ZIP_LT","ZIP_RT","JURIS_LT","JURIS_RT","RESTRC","SPD_PST","PAVED","MAINT_BY","GTG_COMMEN","Subtype","CREATED_BY","CREATED_DA","EDITED_BY","EDITED_DAT","Shape_Leng","FrontageRd","CircClass","RoadClass","BikeName","BikewyType","BikewyTyp2","Bus_Local","Bus_Regl","Bike_Exist","Bike_Pland","NewBike","DistanceCL","BLaneCLine","1Way_2Way","NmbrLanes","LabelName","LabelRegl","RoadRegl","BikeRegl","Road_Type","RORS2004","RORS1998","CenterLane","Sidewalks","WidthROW","NetworkNm","AerialYear"
"0","11616","401735","1014","NULL","PRIMAVERA","LN","NULL","PRIMAVERA LN","NULL","0.13177774911","25","ROAD","0","NULL","0","0","P05","1600","1698","1601","1699","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","695.786515279","0","NULL","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","PRIMAVERA LN","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"1","11616","401735","1014","NULL","PRIMAVERA","LN","NULL","PRIMAVERA LN","NULL","0.00454858639","25","ROAD","0","NULL","0","0","P05","1600","1698","1601","1699","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","24.0165361225","0","NULL","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","PRIMAVERA LN","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"2","11616","401735","1014","NULL","PRIMAVERA","LN","NULL","PRIMAVERA LN","NULL","0.13055581649","25","ROAD","0","NULL","0","0","P05","1600","1698","1601","1699","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","689.334711045","0","NULL","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","PRIMAVERA LN","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"3","11599","401695","1279","NULL","VERANO","WY","NULL","VERANO WY","NULL","0.00455155515","25","ROAD","0","NULL","0","0","P05","1550","1598","1551","1599","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","24.0322111886","0","NULL","Crossing","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","VERANO WY","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"4","11599","401695","1279","NULL","VERANO","WY","NULL","VERANO WY","NULL","0.00454648684","25","ROAD","0","NULL","0","0","P05","1550","1598","1551","1599","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","24.0054505213","0","NULL","Crossing","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","VERANO WY","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"5","11541","401217","1014","NULL","PRIMAVERA","LN","NULL","PRIMAVERA LN","NULL","0.14682278187","25","ROAD","0","NULL","0","0","P05","1500","1598","1501","1599","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","775.224288282","0","Collector","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","PRIMAVERA LN","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"6","11541","401217","1014","NULL","PRIMAVERA","LN","NULL","PRIMAVERA LN","NULL","0.14472173223","25","ROAD","0","NULL","0","0","P05","1500","1598","1501","1599","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","764.130746166","0","Collector","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","PRIMAVERA LN","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"7","11615","401734","1015","NULL","CIELO","LN","NULL","CIELO LN","NULL","0.00455478991","25","ROAD","0","NULL","0","0","P05","1500","1598","1501","1599","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","24.0492907338","0","NULL","Crossing","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","CIELO LN","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"8","11541","401217","1014","NULL","PRIMAVERA","LN","NULL","PRIMAVERA LN","NULL","0.00454609985","25","ROAD","0","NULL","0","0","P05","1500","1598","1501","1599","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","24.0034072066","0","Collector","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","PRIMAVERA LN","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
"9","11615","401734","1015","NULL","CIELO","LN","NULL","CIELO LN","NULL","0.00456533709","25","ROAD","0","NULL","0","0","P05","1500","1598","1501","1599","B","1","1","93444","93444","UNINCORPORATED","UNINCORPORATED","NULL","25","YES","COUNTY OF SAN LUIS OBISPO","NULL","11","NULL","NULL","NULL","NULL","24.1049798466","0","NULL","Crossing","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","CIELO LN","NULL","No Label","NULL","Local","0","0","0","3","24","NipomoMesa","2011"
