"shapeid","x","y"
"0","-120.492317117","35.009429034"
"0","-120.492730183","35.0093782768"
"0","-120.494078878","35.0092250984"
"0","-120.494315601","35.0092048073"
"0","-120.494477534","35.0092116988"
"0","-120.494619692","35.009232007"
"1","-120.492237628","35.0094378225"
"1","-120.492317117","35.009429034"
"2","-120.492324847","35.009494758"
"2","-120.492741583","35.00944355"
"2","-120.494088513","35.0092905719"
"2","-120.494317696","35.0092709271"
"2","-120.494468576","35.0092773482"
"2","-120.494605981","35.0092969774"
"3","-120.492324847","35.009494758"
"3","-120.492317117","35.009429034"
"4","-120.49224535","35.0095034733"
"4","-120.492237628","35.0094378225"
"5","-120.48973505","35.0098846151"
"5","-120.489739238","35.0098827585"
"5","-120.489878138","35.0098211772"
"5","-120.490028414","35.0097544028"
"5","-120.490184242","35.0096900329"
"5","-120.490324164","35.0096490803"
"5","-120.490467122","35.0096150383"
"5","-120.490606975","35.0095945725"
"5","-120.491270209","35.0095345928"
"5","-120.491619482","35.0094980007"
"5","-120.492237628","35.0094378225"
"6","-120.489777594","35.0099406601"
"6","-120.489916191","35.0098792134"
"6","-120.490065446","35.0098128925"
"6","-120.490215774","35.0097507947"
"6","-120.490348759","35.0097118726"
"6","-120.490485331","35.009679351"
"6","-120.490618384","35.0096598805"
"6","-120.49127965","35.0096000786"
"6","-120.491629253","35.009563452"
"6","-120.49224535","35.0095034733"
"7","-120.48973505","35.0098846151"
"7","-120.489777594","35.0099406601"
"8","-120.489710291","35.0099764821"
"8","-120.489777258","35.0099408093"
"8","-120.489777594","35.0099406601"
"9","-120.489667648","35.0099203073"
"9","-120.489710291","35.0099764821"
"10","-120.486507104","35.0104194631"
"10","-120.486594207","35.0102732302"
"10","-120.486669606","35.0101772673"
"10","-120.486768787","35.0100712464"
"10","-120.486879472","35.0099813174"
"10","-120.486997845","35.0099116868"
"10","-120.487093231","35.009872826"
"10","-120.487196205","35.0098453617"
"10","-120.487291412","35.0098215598"
"10","-120.48752437","35.0097810588"
"10","-120.487719486","35.0097608725"
"10","-120.487913986","35.0097443886"
"10","-120.488021488","35.0097248429"
"10","-120.488109339","35.0097085737"
"10","-120.488176759","35.0096901829"
"10","-120.4882416","35.0096593062"
"10","-120.488350498","35.0095966071"
"10","-120.48847564","35.0095289694"
"10","-120.488615359","35.0094676233"
"10","-120.488725471","35.0094297724"
"10","-120.488826288","35.0094045673"
"10","-120.488933007","35.0094045675"
"10","-120.489024323","35.0094080794"
"10","-120.48914833","35.0094328838"
"10","-120.489239093","35.0094673713"
"10","-120.489322551","35.009499089"
"10","-120.48940061","35.0095495957"
"10","-120.489502217","35.0096153402"
"10","-120.489558047","35.0096514618"
"10","-120.489579291","35.0096794279"
"10","-120.48973505","35.0098846151"
"11","-120.486507104","35.0104194631"
"11","-120.486443295","35.0103831649"
"11","-120.485883791","35.0100434657"
"12","-120.486577109","35.0104517812"
"12","-120.48666409","35.010305753"
"12","-120.486735128","35.0102153414"
"12","-120.486828979","35.0101150181"
"12","-120.486931262","35.0100319158"
"12","-120.487039202","35.0099684219"
"12","-120.487123534","35.0099340648"
"12","-120.487220216","35.0099082785"
"12","-120.487311385","35.009885486"
"12","-120.487537678","35.0098461438"
"12","-120.487728593","35.0098263921"
"12","-120.487926781","35.0098095955"
"12","-120.488038935","35.0097892042"
"12","-120.488130802","35.0097721911"
"12","-120.488209788","35.0097506454"
"12","-120.48828473","35.009714959"
"12","-120.488395487","35.0096511897"
"12","-120.488516594","35.0095857323"
"12","-120.488649751","35.0095272674"
"12","-120.48875264","35.0094918997"
"12","-120.488838196","35.0094705099"
"12","-120.488931135","35.00947051"
"12","-120.48901288","35.0094736538"
"12","-120.489121812","35.0094954428"
"12","-120.489205486","35.0095272369"
"12","-120.489280401","35.0095557078"
"12","-120.489351065","35.0096014295"
"12","-120.489452673","35.0096671746"
"12","-120.4894975","35.0096961778"
"12","-120.489511319","35.0097143684"
"12","-120.489667648","35.0099203073"
"13","-120.486507104","35.0104194631"
"13","-120.486577109","35.0104517812"
"14","-120.486472437","35.0104799123"
"14","-120.486507104","35.0104194631"
"15","-120.486472437","35.0104799123"
"15","-120.486396698","35.0104368274"
"15","-120.485836201","35.0100965251"
"16","-120.486577109","35.0104517812"
"16","-120.48654306","35.0105115142"
"17","-120.48654306","35.0105115142"
"17","-120.486472437","35.0104799123"
"18","-120.491638069","35.0105138748"
"18","-120.491892256","35.0103641656"
"18","-120.492015062","35.0102620738"
"18","-120.492096591","35.0101834942"
"18","-120.492144009","35.010118696"
"18","-120.492193766","35.0100314788"
"18","-120.492229201","35.0099297883"
"18","-120.492233831","35.0099127691"
"18","-120.492259578","35.0098181192"
"18","-120.492262361","35.0097760819"
"18","-120.492262421","35.0097751682"
"18","-120.492267781","35.0096941866"
"18","-120.492265279","35.0096729158"
"18","-120.49224535","35.0095034733"
"19","-120.491561586","35.0105589201"
"19","-120.491638069","35.0105138748"
"20","-120.498807958","35.0103946536"
"20","-120.498786985","35.0103209984"
"20","-120.498734662","35.0102206805"
"20","-120.498701477","35.0101718757"
"20","-120.498697128","35.0101654784"
"20","-120.498637955","35.0100994808"
"20","-120.498582437","35.0100439796"
"20","-120.498519032","35.0099946657"
"20","-120.498427519","35.0099383388"
"20","-120.498311955","35.0098928137"
"20","-120.498189701","35.0098588499"
"20","-120.497942349","35.0097920141"
"20","-120.496978082","35.0095729631"
"20","-120.496857586","35.009542446"
"20","-120.496687003","35.0094998157"
"20","-120.496635414","35.0094804638"
"20","-120.49657074","35.0094589064"
"20","-120.496491497","35.0094475855"
"20","-120.496434005","35.0094516924"
"20","-120.496387644","35.0094665165"
"20","-120.49637882","35.009469338"
"21","-120.491724749","35.01054392"
"21","-120.49194444","35.0104145284"
"21","-120.492074105","35.0103067339"
"21","-120.492161844","35.010222169"
"21","-120.492214806","35.0101497945"
"21","-120.492269044","35.0100547226"
"21","-120.492306898","35.0099460901"
"21","-120.492312044","35.0099271711"
"21","-120.492339246","35.0098271756"
"21","-120.492342391","35.0097796575"
"21","-120.492342451","35.0097787436"
"21","-120.49234814","35.0096927953"
"21","-120.492345054","35.0096665638"
"21","-120.492324847","35.009494758"
"22","-120.491724749","35.01054392"
"22","-120.491638069","35.0105138748"
"23","-120.498729758","35.0104091189"
"23","-120.498710555","35.0103416796"
"23","-120.498662664","35.0102498601"
"23","-120.498631528","35.0102040682"
"23","-120.498629638","35.0102012873"
"23","-120.498574718","35.0101400342"
"23","-120.498523736","35.0100890673"
"23","-120.498467327","35.0100451937"
"23","-120.498385809","35.0099950192"
"23","-120.498281718","35.0099540137"
"23","-120.498164376","35.0099214146"
"23","-120.497919167","35.0098551577"
"23","-120.496955621","35.0096362707"
"23","-120.496834149","35.0096055063"
"23","-120.496658606","35.0095616365"
"23","-120.496603728","35.0095410506"
"23","-120.496548587","35.0095226707"
"23","-120.49648805","35.0095140223"
"23","-120.496452355","35.0095165721"
"23","-120.496416677","35.0095279805"
"23","-120.496410284","35.0095300247"
"24","-120.491648267","35.0105889654"
"24","-120.491561586","35.0105589201"
"25","-120.494490838","35.0105705547"
"25","-120.494720787","35.0101088343"
"25","-120.495127356","35.0092990135"
"25","-120.495188912","35.0091895986"
"25","-120.495257449","35.0090885984"
"25","-120.495341981","35.0090151082"
"25","-120.495420058","35.0089593265"
"25","-120.495535928","35.008908633"
"25","-120.49571524","35.0088465585"
"25","-120.495915624","35.008798186"
"25","-120.496088367","35.008774002"
"25","-120.496264856","35.0087604408"
"25","-120.496456046","35.0087501973"
"25","-120.496618482","35.0087571092"
"25","-120.496831375","35.008777371"
"25","-120.497155365","35.0088174534"
"25","-120.49750237","35.0088608335"
"25","-120.497618633","35.0088779306"
"25","-120.497735169","35.0089019272"
"25","-120.497878731","35.0089361079"
"25","-120.49804073","35.0089867381"
"25","-120.498196251","35.0090340545"
"25","-120.498362045","35.0090983481"
"25","-120.498608619","35.0091949845"
"25","-120.498966619","35.0093375181"
"25","-120.499234687","35.0094301897"
"25","-120.499498702","35.0095225849"
