"shapeid","osm_id","name","type"
"0","15370034","Presidio-Ojinaga International Rail Bridge","disused"
"1","15442596","Sanderson Subdivision","rail"
"2","21105605","Southern Pacific Railroad","rail"
"3","21237420","NULL","rail"
"4","21330820","NULL","rail"
"5","21330841","Laredo Subdivision","rail"
"6","26465724","Línea QA","abandoned"
"7","26521935","Línea ??","abandoned"
"8","26521964","Línea QA","abandoned"
"9","26668342","Línea M","rail"
"10","26793607","Línea BJ","rail"
"11","26793608","Missouri Pacific Railroad","rail"
"12","26829857","Línea R","rail"
"13","26829874","Línea B","rail"
"14","26829879","Línea B","rail"
"15","26829909","Línea B","rail"
"16","26829910","Línea B","rail"
"17","26829943","NULL","rail"
"18","26829982","Línea B","abandoned"
"19","26830117","Línea B","abandoned"
"20","26830128","Línea B","rail"
"21","26830185","Línea B","abandoned"
"22","26830267","NULL","rail"
"23","27034208","Línea T","rail"
"24","27058651","NULL","spur"
"25","27129385","Línea Q","rail"
"26","27129386","Línea Q","rail"
"27","27129406","NULL","abandoned"
"28","27181900","Línea RH","rail"
"29","27181958","Línea RH","rail"
"30","27182098","Línea RD","rail"
"31","27182131","Línea R","rail"
"32","27260213","Línea RA","abandoned"
"33","28049619","Línea PA","rail"
"34","28050065","Línea P","disused"
"35","28087911","NULL","rail"
"36","28087913","Línea R","rail"
"37","28088014","NULL","rail"
"38","28090873","NULL","rail"
"39","28090898","Línea M","rail"
"40","28090907","Via a Tampico","rail"
"41","28090959","Línea F","rail"
"42","28091001","Antigua Via a Tampico","rail"
"43","28210405","NULL","rail"
"44","28221995","NULL","abandoned"
"45","28242462","Línea R","rail"
"46","28242467","Línea R","rail"
"47","28586106","NULL","platform"
"48","28586122","NULL","rail"
"49","28586139","NULL","rail"
"50","28586147","Línea DA","rail"
"51","28586155","Línea DB","rail"
"52","28586161","NULL","rail"
"53","28772350","Línea T","rail"
"54","28772351","Línea T","rail"
"55","28807569","Línea T","rail"
"56","28807570","NULL","rail"
"57","28807571","NULL","rail"
"58","28807577","NULL","rail"
"59","28807578","NULL","rail"
"60","29564268","Línea DC","rail"
"61","29754597","NULL","rail"
"62","29762943","NULL","rail"
"63","29879922","NULL","rail"
"64","29879923","NULL","rail"
"65","29880159","NULL","rail"
"66","29880160","NULL","rail"
"67","30026580","NULL","rail"
"68","30026581","NULL","rail"
"69","30026584","NULL","rail"
"70","30026586","NULL","rail"
"71","30030091","NULL","rail"
"72","30030092","Línea B","rail"
"73","30030102","NULL","rail"
"74","30030204","NULL","abandoned"
"75","30639616","Texas Mexican Railway International Bridge","rail"
"76","30639620","NULL","rail"
"77","31253146","Línea A","rail"
"78","31253149","Línea A","rail"
"79","31314834","NULL","rail"
"80","31700659","Línea T","rail"
"81","31700663","Línea T","rail"
"82","31701410","Línea T","rail"
"83","31779886","NULL","rail"
"84","31779887","NULL","rail"
"85","40123660","NULL","abandoned"
"86","42834031","Línea F","rail"
"87","42952599","NULL","rail"
"88","43106073","Presidio-Ojinaga International Rail Bridge","disused"
"89","47977323","NULL","rail"
"90","50936521","NULL","narrow_gauge"
"91","59920337","NULL","abandoned"
"92","59920340","Línea M","rail"
"93","59920361","Línea M","rail"
"94","59920477","Línea M","rail"
"95","59920478","Línea M","rail"
"96","59920479","Línea M","rail"
"97","59920480","Línea M","rail"
"98","59920493","Línea M","rail"
"99","59972251","NULL","abandoned"
"100","59972277","NULL","abandoned"
"101","59972278","NULL","abandoned"
"102","59972280","NULL","abandoned"
"103","59972291","NULL","rail"
"104","60733781","NULL","abandoned"
"105","60739028","Línea DE","disused"
"106","60751762","Línea DE","abandoned"
"107","60793307","NULL","rail"
"108","60793553","Línea RH","rail"
"109","60793556","Línea RH","rail"
"110","60793560","Línea RH","rail"
"111","60793561","Línea RH","rail"
"112","60882530","Línea Q","rail"
"113","60882531","Línea Q","rail"
"114","60882533","Línea Q","rail"
"115","60882534","Línea Q","rail"
"116","60893538","Línea Q","rail"
"117","60893546","Línea Q","rail"
"118","60893548","Línea Q","rail"
"119","60893549","Línea Q","rail"
