"shapeid","osm_id","name","type"
"0","4758690","NULL","light_rail"
"1","5953737","Carrizo Gorge Railway","rail"
"2","6007678","Desert","rail"
"3","8119385","NULL","rail"
"4","10357662","Calexico Subdivision","rail"
"5","15262386","NULL","rail"
"6","15272544","NULL","rail"
"7","15272550","Southern Pacific Railroad","rail"
"8","15272552","NULL","rail"
"9","15273209","NULL","rail"
"10","15273219","NULL","rail"
"11","15273222","Missouri Pacific Railroad","rail"
"12","15273225","NULL","rail"
"13","15276026","Railroad","rail"
"14","15370034","Presidio-Ojinaga International Rail Bridge","disused"
"15","15442596","Sanderson Subdivision","rail"
"16","16794686","NULL","abandoned"
"17","16803095","NULL","abandoned"
"18","16947047","Union Pacific Railroad","rail"
"19","17301328","NULL","rail"
"20","17301340","NULL","rail"
"21","17303870","NULL","rail"
"22","17304943","NULL","rail"
"23","17304948","NULL","rail"
"24","17305893","NULL","rail"
"25","17305897","NULL","rail"
"26","17305902","NULL","rail"
"27","17308056","NULL","rail"
"28","17308661","NULL","rail"
"29","17310050","NULL","rail"
"30","17310186","NULL","rail"
"31","17310189","NULL","rail"
"32","17310195","NULL","rail"
"33","17310802","NULL","rail"
"34","17313622","NULL","rail"
"35","17342709","At and Sf Railway","rail"
"36","17342720","At and Sf Railway","rail"
"37","20746096","NULL","rail"
"38","20746100","NULL","rail"
"39","20746482","NULL","rail"
"40","20748581","NULL","rail"
"41","20748970","NULL","rail"
"42","20748991","NULL","rail"
"43","20750517","Brownsville Subdivision","rail"
"44","20751070","NULL","rail"
"45","20751777","NULL","rail"
"46","20752397","NULL","rail"
"47","20754315","NULL","rail"
"48","20754597","NULL","rail"
"49","20757622","NULL","rail"
"50","20758217","NULL","rail"
"51","20759214","NULL","rail"
"52","20772100","Missouri Pacific Railroad","rail"
"53","20772155","Missouri Pacific Railroad","rail"
"54","20772363","Brownsville Subdivision","razed"
"55","21105605","Southern Pacific Railroad","rail"
"56","21237420","NULL","rail"
"57","21330820","NULL","rail"
"58","21330841","Laredo Subdivision","rail"
"59","24611086","Línea T","rail"
"60","25120636","NULL","rail"
"61","25120637","Línea C","abandoned"
"62","26196956","NULL","rail"
"63","26457559","Línea AQ","rail"
"64","26457719","Línea NB","rail"
"65","26457723","NULL","rail"
"66","26457727","NULL","rail"
"67","26457885","NULL","rail"
"68","26458334","Línea L","rail"
"69","26465724","Línea QA","abandoned"
"70","26521935","Línea ??","abandoned"
"71","26521964","Línea QA","abandoned"
"72","26542531","Línea A","rail"
"73","26587128","Línea B","rail"
"74","26587275","Línea N","disused"
"75","26587401","Línea VC","abandoned"
"76","26601005","Línea GB","abandoned"
"77","26642487","Línea VB","rail"
"78","26643763","NULL","disused"
"79","26643766","NULL","abandoned"
"80","26643776","NULL","abandoned"
"81","26665300","NULL","rail"
"82","26665346","NULL","rail"
"83","26668342","Línea M","rail"
"84","26730608","Ferrocarril del Sur","rail"
"85","26730815","NULL","rail"
"86","26733378","Línea SC","rail"
"87","26734180","Línea S","abandoned"
"88","26736682","Línea SC","rail"
"89","26736744","Línea G","rail"
"90","26736755","NULL","abandoned"
"91","26743270","Línea FX","rail"
"92","26793607","Línea BJ","rail"
"93","26793608","Missouri Pacific Railroad","rail"
"94","26803199","Metro Línea 9","subway"
"95","26808106","Metro Línea 9","subway"
"96","26808293","NULL","subway"
"97","26808300","lìnea 5","subway"
"98","26808315","NULL","subway"
"99","26808862","FC suburbano de México","rail"
"100","26809929","Tren Ligero Línea 1","light_rail"
"101","26810057","maniobras","light_rail"
"102","26810108","Tren Ligero Línea 2","light_rail"
"103","26810115","maniobras","light_rail"
"104","26810116","maniobras","light_rail"
"105","26810143","Tren Ligero Línea 1","light_rail"
"106","26810148","Tren Ligero Línea 1","light_rail"
"107","26810548","Línea IC","abandoned"
"108","26810550","NULL","abandoned"
"109","26811062","Línea I","abandoned"
"110","26811181","Línea AC","abandoned"
"111","26811184","Ferromex","rail"
"112","26829857","Línea R","rail"
"113","26829874","Línea B","rail"
"114","26829879","Línea B","rail"
"115","26829909","Línea B","rail"
"116","26829910","Línea B","rail"
"117","26829943","NULL","rail"
"118","26829982","Línea B","abandoned"
"119","26830117","Línea B","abandoned"
"120","26830128","Línea B","rail"
"121","26830185","Línea B","abandoned"
"122","26830267","NULL","rail"
"123","26950196","NULL","abandoned"
"124","26950280","NULL","abandoned"
"125","26950282","NULL","abandoned"
"126","26950543","NULL","rail"
"127","26997612","Línea VB","rail"
"128","26997750","NULL","rail"
"129","26997967","Línea EA","rail"
"130","26997973","Ferrocarril del Sur","rail"
"131","26998200","NULL","abandoned"
"132","27034208","Línea T","rail"
"133","27058235","Línea I","rail"
"134","27058651","NULL","spur"
"135","27093468","Línea SH","rail"
"136","27093493","NULL","disused"
"137","27093694","Línea HA","disused"
"138","27093757","NULL","abandoned"
"139","27093846","NULL","abandoned"
"140","27129385","Línea Q","rail"
"141","27129386","Línea Q","rail"
"142","27129406","NULL","abandoned"
"143","27130839","Línera VF","abandoned"
"144","27130982","Línera VF","abandoned"
"145","27134163","Línea NC","rail"
"146","27175854","Línera HB","rail"
"147","27181900","Línea RH","rail"
"148","27181958","Línea RH","rail"
"149","27182098","Línea RD","rail"
"150","27182131","Línea R","rail"
"151","27260213","Línea RA","abandoned"
"152","27268171","NULL","abandoned"
"153","27283294","NULL","disused"
"154","27283440","NULL","disused"
"155","27283495","NULL","disused"
"156","27283501","NULL","disused"
"157","27283573","Línea TA","rail"
"158","27283594","Línea TB","rail"
"159","27312020","Línea IB","abandoned"
"160","27367415","Línea B","rail"
"161","27367420","Línea B","rail"
"162","27367425","Línea B","rail"
"163","27367501","Línea B","abandoned"
"164","27412977","NULL","rail"
"165","27461086","Línea LA","abandoned"
"166","27509015","NULL","rail"
"167","27509167","Línea AB","disused"
"168","27528817","NULL","abandoned"
"169","27539055","linea 4","subway"
"170","27560181","NULL","razed"
"171","27561269","NULL","rail"
"172","27561285","NULL","rail"
"173","27561394","NULL","rail"
"174","27600818","Línea VC","abandoned"
"175","27656989","NULL","disused"
"176","27656999","Línea K","disused"
"177","27861875","NULL","disused"
"178","27861877","NULL","disused"
"179","27862047","Ferrocarril del Sur","rail"
"180","27862178","Ferrocarril del Sur","rail"
"181","27862206","Ferrocarril del Sur","rail"
"182","27862207","Ferrocarril del Sur","rail"
"183","28049619","Línea PA","rail"
"184","28050065","Línea P","disused"
"185","28087911","NULL","rail"
"186","28087913","Línea R","rail"
"187","28088014","NULL","rail"
"188","28090356","Línea BB","abandoned"
"189","28090873","NULL","rail"
"190","28090898","Línea M","rail"
"191","28090907","Via a Tampico","rail"
"192","28090959","Línea F","rail"
"193","28091001","Antigua Via a Tampico","rail"
"194","28209909","NULL","abandoned"
"195","28209915","NULL","abandoned"
"196","28209929","NULL","rail"
"197","28209946","NULL","rail"
"198","28209983","NULL","rail"
"199","28210077","NULL","rail"
"200","28210405","NULL","rail"
"201","28221995","NULL","abandoned"
"202","28242462","Línea R","rail"
"203","28242467","Línea R","rail"
"204","28543764","Línea 5","subway"
"205","28562368","Línea 5","subway"
"206","28562557","Linea 3","subway"
"207","28584270","NULL","disused"
"208","28584287","FC de Chiapas","disused"
"209","28586106","NULL","platform"
"210","28586122","NULL","rail"
"211","28586139","NULL","rail"
"212","28586147","Línea DA","rail"
"213","28586155","Línea DB","rail"
"214","28586161","NULL","rail"
"215","28772350","Línea T","rail"
"216","28772351","Línea T","rail"
"217","28807569","Línea T","rail"
"218","28807570","NULL","rail"
"219","28807571","NULL","rail"
"220","28807577","NULL","rail"
"221","28807578","NULL","rail"
"222","28928535","Línea L","rail"
"223","29092744","Línea E","abandoned"
"224","29092755","NULL","abandoned"
"225","29092770","Línea E","abandoned"
"226","29095008","Línea E","abandoned"
"227","29102995","Línea GA","rail"
"228","29108871","Línea A","rail"
"229","29500920","Línea FN","disused"
"230","29564250","Línea A","rail"
"231","29564268","Línea DC","rail"
"232","29754597","NULL","rail"
"233","29762943","NULL","rail"
"234","29879922","NULL","rail"
"235","29879923","NULL","rail"
"236","29880159","NULL","rail"
"237","29880160","NULL","rail"
"238","29981734","NULL","rail"
"239","30025454","Línea T","rail"
"240","30026580","NULL","rail"
"241","30026581","NULL","rail"
"242","30026584","NULL","rail"
"243","30026586","NULL","rail"
"244","30030091","NULL","rail"
"245","30030092","Línea B","rail"
"246","30030102","NULL","rail"
"247","30030204","NULL","abandoned"
"248","30152097","Línea AQ","rail"
"249","30152294","Línea B","rail"
"250","30183568","Monorail Terminal Connection","monorail"
"251","30599820","NULL","rail"
"252","30599824","Ferrosur","rail"
"253","30599829","Ferrosur","rail"
"254","30639616","Texas Mexican Railway International Bridge","rail"
"255","30639620","NULL","rail"
"256","31253146","Línea A","rail"
"257","31253149","Línea A","rail"
"258","31257567","Línea K","rail"
"259","31314834","NULL","rail"
"260","31451122","Linea 6","subway"
"261","31473970","Línea SA","rail"
"262","31483157","Linea B","subway"
"263","31654671","Línea UA","rail"
"264","31654672","NULL","rail"
"265","31700659","Línea T","rail"
"266","31700663","Línea T","rail"
"267","31701410","Línea T","rail"
"268","31779886","NULL","rail"
"269","31779887","NULL","rail"
"270","31824577","NULL","disused"
"271","31991836","NULL","rail"
"272","31991847","NULL","rail"
"273","31991869","NULL","rail"
"274","31991875","NULL","rail"
"275","31992079","NULL","rail"
"276","31992175","NULL","rail"
"277","31992183","NULL","rail"
"278","31992195","NULL","rail"
"279","31992200","NULL","rail"
"280","32043404","Línea ??","abandoned"
"281","32480139","NULL","rail"
"282","32480202","NULL","rail"
"283","32481419","NULL","rail"
"284","32897184","NULL","rail"
"285","32995305","NULL","rail"
"286","32995322","Ferrosur","rail"
"287","32995386","NULL","rail"
"288","32995405","NULL","rail"
"289","33046525","Metro Linea 2","subway"
"290","33725405","Línea ??","abandoned"
"291","33763236","NULL","disused"
"292","33922725","NULL","abandoned"
"293","33927361","NULL","disused"
"294","33927362","NULL","disused"
"295","34798422","Línea AQ","rail"
"296","34798423","Línea AQ","rail"
"297","35893805","NULL","rail"
"298","35893806","NULL","rail"
"299","35893811","NULL","rail"
"300","35893813","NULL","rail"
"301","35893814","NULL","rail"
"302","35893815","NULL","rail"
"303","36987455","Línea FP","abandoned"
"304","37273817","Linea 7","subway"
"305","39240231","Ferrocarril del Sur","rail"
"306","39399541","Línea Z","rail"
"307","40123405","Línea VK","abandoned"
"308","40123660","NULL","abandoned"
"309","40130221","Línea VC","rail"
"310","41333835","Línea G","rail"
"311","41373479","Línea 8","subway"
"312","41832204","NULL","abandoned"
"313","42803257","Brownsville Subdivision","razed"
"314","42834024","NULL","rail"
"315","42834031","Línea F","rail"
"316","42952599","NULL","rail"
"317","43106073","Presidio-Ojinaga International Rail Bridge","disused"
"318","43701369","Metro Línea 9","subway"
"319","43705780","NULL","subway"
"320","43705860","Línea B","subway"
"321","43722504","Linea 6","subway"
"322","43722510","Linea 7","subway"
"323","43722588","NULL","subway"
"324","43722592","NULL","subway"
"325","43722596","NULL","subway"
"326","43722614","NULL","subway"
"327","43767727","Metro Linea 2","subway"
"328","43782976","Línea 8","subway"
"329","43795668","Línea 8","subway"
"330","43795786","Metro Línea 8","subway"
"331","43836056","Línea B","subway"
"332","43836751","Línea 5","subway"
"333","43836814","Línea 5","subway"
"334","43836837","Línea 5","subway"
"335","43836858","Línea 5","subway"
"336","43836859","Línea 5","subway"
"337","43836860","NULL","subway"
"338","43836862","NULL","subway"
"339","43846542","Línea 5","subway"
"340","44000689","NULL","rail"
"341","44000702","NULL","rail"
"342","44000706","NULL","rail"
"343","44001066","NULL","rail"
"344","44001104","NULL","rail"
"345","44001108","At and Sf Railway","rail"
"346","44001501","Lordsburg Subdivision","rail"
"347","45468578","NULL","rail"
"348","45468594","NULL","rail"
"349","45468609","NULL","rail"
"350","46945095","Línea V","rail"
"351","47977323","NULL","rail"
"352","50936521","NULL","narrow_gauge"
"353","51753661","Linea UB","rail"
"354","51753662","Linea UB","rail"
"355","51753664","Linea UB","rail"
"356","51753666","Linea UB","rail"
"357","51753667","Linea UB","rail"
"358","51753668","Linea UB","rail"
"359","51753670","Linea UB","rail"
"360","51753676","NULL","spur"
"361","51754471","Linea UB","rail"
"362","51754474","Linea UB","rail"
"363","51754475","Linea UB","rail"
"364","51754476","Linea UB","rail"
"365","51808359","Línea UA","rail"
"366","51808373","NULL","rail"
"367","52117234","Linea UB","rail"
"368","52122920","NULL","rail"
"369","52122961","NULL","rail"
"370","52199482","Línea FA","rail"
"371","52530552","NULL","disused"
"372","54580498","Línea UA","rail"
