olat,olon,dlat,dlon,amount,,
42.49666667,1.5125,42.49666667,1.5125,1,,
42.49666667,1.5125,42.49666667,1.5125,3,,
42.50777778,1.5325,42.50777778,1.5325,3,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50833333,1.523611111,3,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.50611111,1.520833333,42.50611111,1.520833333,1,,
42.50722222,1.5225,42.50722222,1.5225,1,,
42.50722222,1.538055556,42.50722222,1.538055556,7,,
42.49666667,1.5125,42.49666667,1.5125,4,,
42.49666667,1.5125,42.49666667,1.5125,1,,
42.49666667,1.5125,42.49666667,1.5125,1,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50777778,1.5325,42.50777778,1.5325,2,,
42.50777778,1.5325,42.51138889,1.530555556,3,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50722222,1.538055556,42.50722222,1.538055556,3,,
42.50722222,1.538055556,42.51083333,1.540277778,1,,
42.50722222,1.538055556,42.50722222,1.538055556,5,,
42.50722222,1.538055556,42.50722222,1.538055556,10,,
42.50722222,1.538055556,42.51083333,1.540277778,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,3,,
42.50722222,1.538055556,42.50722222,1.538055556,2,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.50777778,1.5325,2,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,3,,
42.51138889,1.530555556,42.51138889,1.530555556,34,,
