Valid Stop Token Combinations,Added Route,Average Car Speed,Average Bus Speed,Cars Shifted (per 30 min),Transfers to/from Blue Hill Ave. routes (per day),Dedicated lanes (miles),Passengers in New Dedicated Lanes,Parking Spaces Removed,Carbon Dioxide (pounds),Other Air Pollutants (pounds),Cost
00000,,7.79,5.63,7,3100,0,0,0,5884,348,0
00001,A,7.7,5.14,7,3100,0,0,35,6010,352,20000
00002,A,8.25,5.5,4,3100,0.6,9000,35,5883,330,3400000
00003,A,7.29,5.18,19,3100,0.6,9000,35,5951,359,4400000
10000,B,0,0,11,3100,0.1,18000,0,5877,345,420000
20000,B,7.74,5.67,7,3100,0.1,18000,0,5889,344,1400000
30000,B,7.86,5.64,4,3100,0.1,18000,0,5885,341,2400000
01010,C,7.63,5.61,9,3100,1.6,15000,0,6096,353,6440000
02020,C,7.67,5.45,7,3100,1.6,15000,0,6048,349,8400000
03030,C,0,0,12,3100,1.6,15000,0,0,0,10400000
01100,D,0,0,11,3100,1.1,15000,0,0,0,4440000
02200,D,0,0,12,3100,1.1,15000,0,0,0,6400000
03300,D,0,0,6,3100,1.1,15000,0,0,0,8400000
10001,AB,0,0,12,1000,0.7,18000,35,0,0,2840000
20002,AB,0,0,21,1000,0.7,18000,35,0,0,4800000
30003,AB,0,0,11,1000,0.7,18000,35,0,0,6800000
11010,BC,0,0,8,2300,1.7,18000,0,0,0,6860000
22020,BC,0,0,10,2300,1.7,18000,0,0,0,9800000
33030,BC,0,0,9,2300,1.7,18000,0,0,0,12800000
11100,BD,0,0,10,2900,1.2,18000,0,0,0,4860000
22200,BD,0,0,12,2900,1.2,18000,0,0,0,7800000
33300,BD,7.52,4.78,8,2900,1.2,18000,0,6162,359,10800000
