Valid Stop Token Combinations,Added Route,Average Car Speed,Average Bus Speed,Cars Shifted (daily),Transfers to/from Blue Hill Ave. routes (per day),Dedicated lanes (miles),Passengers in New Dedicated Lanes,Parking Spaces Removed,Carbon Dioxide (pounds),Other Air Pollutants (pounds),Cost,Average BRT speed
00000,,8.2,5.7,0,3100,0,0,0,5884,348,,5.7
00001,A,8.3,5.6,50,3100,0,0,35,6010,352,20000,5.9
00002,A,8.2,5.7,400,3100,0.6,9000,35,5883,330,3400000,6
00003,A,7.9,5.7,600,3100,0.6,9000,35,5951,359,4400000,5.5
10000,B,8.2,6,0,3100,0,0,0,5877,345,20000,6.6
20000,B,8.2,6,900,3100,0.1,18000,0,5889,344,1400000,6.7
30000,B,8.2,6,800,3100,0.1,18000,0,5885,341,2400000,6.4
01010,C,8.2,5.6,100,3100,0,0,0,6096,353,40000,5.7
02020,C,7.9,5.7,800,3100,1.6,15000,0,6048,349,8400000,5.6
03030,C,8,5.6,800,3100,1.6,15000,0,6140,354,10400000,5.7
01100,D,8.1,5.1,20,3100,0,0,0,6131,358,40000,4.2
02200,D,7.8,5.6,900,3100,1.1,15000,0,6166,364,6400000,5.2
03300,D,8,5.5,800,3100,1.1,15000,0,6183,362,8400000,5.1
10001,AB,8.3,6,100,1000,0,0,0,6029,354,20000,6.6
20002,AB,8,6,1000,1000,0.7,18000,35,5985,350,4800000,6.8
30003,AB,7.9,5.8,1100,1000,0.7,18000,35,5973,351,6800000,6.3
11010,BC,8.5,6,40,2300,0,0,0,6064,348,60000,6.3
22020,BC,8.2,6,900,2300,1.7,18000,0,6175,359,9800000,6.5
33030,BC,7.9,6,1000,2300,1.7,18000,0,6166,358,12800000,6.2
11100,BD,8.1,5.5,10,2900,0,0,0,6200,365,60000,5.2
22200,BD,7.9,5.9,800,2900,1.2,18000,0,6209,365,7800000,5.6
33300,BD,8.1,5.7,900,2900,1.2,18000,0,6189,358,10800000,6
