"shapeid","x","y","date","time of da","LOCATIONS","planning a","number of","X","Y","DateTime","time of _1","LOCATION_1"
"0","103.738080077","1.3420197473","2014-07-14","0:00:00","BLK 229","JURONG EAST","3","11548070.25","149406.6168","2014-07-14 00:00:00","NULL","NULL"
"1","103.741071287","1.34126651616","2014-07-14","0:00:00","BLK 239","JURONG EAST","1","11548403.23","149322.7445","2014-07-14 00:00:00","NULL","NULL"
"2","103.745983724","1.33932016064","2014-07-14","0:00:00","BLK 284","JURONG EAST","1","11548950.08","149106.0179","2014-07-14 00:00:00","NULL","NULL"
"3","103.747492534","1.32261708119","2014-07-14","0:00:00","CYCLE & CARRIAGE","JURONG EAST","1","11549118.04","147246.1378","2014-07-14 00:00:00","NULL","NULL"
"4","103.742263261","1.33320902467","2014-07-14","0:00:00","JURONG EAST MRT","JURONG EAST","1","11548535.92","148425.5443","2014-07-14 00:00:00","NULL","NULL"
"5","103.741492327","1.33328641244","2014-07-14","0:00:00","JURONG EAST TEMP INT","JURONG EAST","1","11548450.1","148434.1614","2014-07-14 00:00:00","NULL","NULL"
"6","103.736417654","1.32122939629","2014-07-14","0:00:00","OPP BLK 51","JURONG EAST","1","11547885.19","147091.6203","2014-07-14 00:00:00","NULL","NULL"
"7","103.734587517","1.34399747198","2014-07-14","0:00:00","PARC OASIS AVE1","JURONG EAST","1","11547681.46","149626.8366","2014-07-14 00:00:00","NULL","NULL"
"8","103.736417654","1.32122939629","2014-07-14","0:15:00","OPP BLK 51","JURONG EAST","1","11547885.19","147091.6203","2014-07-14 00:15:00","NULL","NULL"
"9","103.739583767","1.32227303096","2014-07-14","0:45:00","BEF HASANAH MQUE","JURONG EAST","1","11548237.64","147207.8281","2014-07-14 00:45:00","NULL","NULL"
"10","103.738540194","1.33450242777","2014-07-14","0:45:00","BLK 124","JURONG EAST","2","11548121.47","148569.5643","2014-07-14 00:45:00","NULL","NULL"
"11","103.739581161","1.33184700096","2014-07-14","0:45:00","OPP JURONG EAST LIB","JURONG EAST","1","11548237.35","148273.8835","2014-07-14 00:45:00","NULL","NULL"
"12","103.744203802","1.34046752635","2014-07-14","1:00:00","OPP BLK 288D","JURONG EAST","1","11548751.94","149233.777","2014-07-14 01:00:00","NULL","NULL"
"13","103.748007269","1.33512009352","2014-07-14","5:15:00","OPP IMM BLDG","JURONG EAST","1","11549175.34","148638.3412","2014-07-14 05:15:00","NULL","NULL"
"14","103.738540194","1.33450242777","2014-07-14","5:30:00","BLK 124","JURONG EAST","7","11548121.47","148569.5643","2014-07-14 05:30:00","NULL","NULL"
"15","103.741492327","1.33328641244","2014-07-14","5:30:00","JURONG EAST TEMP INT","JURONG EAST","3","11548450.1","148434.1614","2014-07-14 05:30:00","NULL","NULL"
"16","103.742772337","1.32959816777","2014-07-14","5:30:00","JURONG TOWN HALL","JURONG EAST","1","11548592.59","148023.477","2014-07-14 05:30:00","NULL","NULL"
"17","103.745560887","1.32503455858","2014-07-14","5:30:00","OPP GERMAN CTR","JURONG EAST","2","11548903.01","147515.322","2014-07-14 05:30:00","NULL","NULL"
"18","103.743402684","1.32124374486","2014-07-14","5:30:00","TEBAN GDN PO","JURONG EAST","1","11548662.76","147093.218","2014-07-14 05:30:00","NULL","NULL"
"19","103.739697403","1.336447722","2014-07-14","5:45:00","BEF SEVENTH-DAY ADVENT CH","JURONG EAST","1","11548250.29","148786.1723","2014-07-14 05:45:00","NULL","NULL"
"20","103.738540194","1.33450242777","2014-07-14","5:45:00","BLK 124","JURONG EAST","3","11548121.47","148569.5643","2014-07-14 05:45:00","NULL","NULL"
"21","103.738665778","1.33833605997","2014-07-14","5:45:00","BLK 210","JURONG EAST","1","11548135.45","148996.4384","2014-07-14 05:45:00","NULL","NULL"
"22","103.738080077","1.3420197473","2014-07-14","5:45:00","BLK 229","JURONG EAST","5","11548070.25","149406.6168","2014-07-14 05:45:00","NULL","NULL"
"23","103.740474087","1.34145830331","2014-07-14","5:45:00","BLK 246","JURONG EAST","1","11548336.75","149344.1","2014-07-14 05:45:00","NULL","NULL"
"24","103.741492327","1.33328641244","2014-07-14","5:45:00","JURONG EAST TEMP INT","JURONG EAST","12","11548450.1","148434.1614","2014-07-14 05:45:00","NULL","NULL"
"25","103.744203802","1.34046752635","2014-07-14","5:45:00","OPP BLK 288D","JURONG EAST","1","11548751.94","149233.777","2014-07-14 05:45:00","NULL","NULL"
"26","103.748007269","1.33512009352","2014-07-14","5:45:00","OPP IMM BLDG","JURONG EAST","1","11549175.34","148638.3412","2014-07-14 05:45:00","NULL","NULL"
"27","103.739581161","1.33184700096","2014-07-14","5:45:00","OPP JURONG EAST LIB","JURONG EAST","1","11548237.35","148273.8835","2014-07-14 05:45:00","NULL","NULL"
"28","103.748179027","1.33069312468","2014-07-14","5:45:00","OPP THE SYNERGY","JURONG EAST","1","11549194.46","148145.3999","2014-07-14 05:45:00","NULL","NULL"
"29","103.734587517","1.34399747198","2014-07-14","5:45:00","PARC OASIS AVE1","JURONG EAST","1","11547681.46","149626.8366","2014-07-14 05:45:00","NULL","NULL"
"30","103.743402684","1.32124374486","2014-07-14","5:45:00","TEBAN GDN PO","JURONG EAST","2","11548662.76","147093.218","2014-07-14 05:45:00","NULL","NULL"
"31","103.751375592","1.32811788638","2014-07-14","6:00:00","AFT BOON LAY SUB STN","CLEMENTI","1","11549550.3","147858.6485","2014-07-14 06:00:00","NULL","NULL"
"32","103.752292682","1.33720546383","2014-07-14","6:00:00","ALLIANCE BLDG","CLEMENTI","3","11549652.39","148870.5467","2014-07-14 06:00:00","NULL","NULL"
"33","103.744240992","1.32403148754","2014-07-14","6:00:00","BEF JURONG TOWN HALL RD","JURONG EAST","1","11548756.08","147403.6308","2014-07-14 06:00:00","NULL","NULL"
"34","103.739697403","1.336447722","2014-07-14","6:00:00","BEF SEVENTH-DAY ADVENT CH","JURONG EAST","9","11548250.29","148786.1723","2014-07-14 06:00:00","NULL","NULL"
"35","103.74613006","1.34498713929","2014-07-14","6:00:00","BLK 190","BUKIT BATOK","1","11548966.37","149737.0362","2014-07-14 06:00:00","NULL","NULL"
"36","103.741730381","1.33850750696","2014-07-14","6:00:00","BLK 207","JURONG EAST","2","11548476.6","149015.529","2014-07-14 06:00:00","NULL","NULL"
"37","103.740474087","1.34145830331","2014-07-14","6:00:00","BLK 246","JURONG EAST","1","11548336.75","149344.1","2014-07-14 06:00:00","NULL","NULL"
"38","103.737386937","1.34272521892","2014-07-14","6:00:00","BLK 252","JURONG EAST","1","11547993.09","149485.1711","2014-07-14 06:00:00","NULL","NULL"
"39","103.745983724","1.33932016064","2014-07-14","6:00:00","BLK 284","JURONG EAST","2","11548950.08","149106.0179","2014-07-14 06:00:00","NULL","NULL"
"40","103.739142873","1.33250994189","2014-07-14","6:00:00","JURONG EAST LIB","JURONG EAST","1","11548188.56","148347.7017","2014-07-14 06:00:00","NULL","NULL"
"41","103.741492327","1.33328641244","2014-07-14","6:00:00","JURONG EAST TEMP INT","JURONG EAST","16","11548450.1","148434.1614","2014-07-14 06:00:00","NULL","NULL"
"42","103.745560887","1.32503455858","2014-07-14","6:00:00","OPP GERMAN CTR","JURONG EAST","1","11548903.01","147515.322","2014-07-14 06:00:00","NULL","NULL"
