"shapeid","x","y"
"0","1.5504187","42.5121745"
"0","1.5504579","42.512163"
"0","1.5505726","42.512188"
"0","1.5505973","42.5122138"
"0","1.5504187","42.5121745"
"1","1.531819","42.5060085"
"1","1.533659","42.5063631"
"1","1.5341122","42.5064181"
"2","1.5324795","42.5083315"
"2","1.5322734","42.5078527"
"2","1.5320273","42.5075588"
"2","1.5317269","42.5072804"
"2","1.5310957","42.5070608"
"2","1.5305539","42.5068571"
"2","1.5300732","42.506535"
"2","1.5296377","42.5062268"
"2","1.5291857","42.5058964"
"2","1.5281782","42.5055793"
"2","1.5278502","42.5054938"
"3","1.5292505","42.5082862"
"3","1.5300102","42.5073942"
"3","1.5303192","42.5071158"
"3","1.5305539","42.5068571"
"3","1.5308583","42.5065336"
"3","1.531066","42.5062971"
"4","1.5296377","42.5062268"
"4","1.5293579","42.5064515"
"4","1.5290038","42.5067291"
"4","1.5281932","42.5073649"
"5","1.5314211","42.5082182"
"5","1.5316205","42.5077408"
"5","1.5320183","42.5075631"
"6","1.5319053","42.5070205"
"6","1.5324049","42.5073942"
"6","1.5325922","42.5077197"
"6","1.5327115","42.5079706"
"6","1.5328269","42.5083621"
"7","1.5316205","42.5077408"
"7","1.5312619","42.5075629"
"7","1.53086","42.5075208"
"8","1.5285028","42.5076356"
"8","1.5286674","42.5076303"
"8","1.5294368","42.5070424"
"8","1.5298128","42.5067488"
"8","1.5300732","42.506535"
"8","1.5304331","42.5062626"
"8","1.5306703","42.5060833"
"9","1.5320775","42.5067744"
"9","1.5319053","42.5070205"
"9","1.5317269","42.5072804"
"10","1.5395556","42.5111768"
"10","1.539656","42.5110563"
"11","1.5372629","42.5071347"
"11","1.5377801","42.5073373"
"11","1.5378981","42.5080966"
"12","1.5406291","42.5118175"
"12","1.5405417","42.511684"
"12","1.5413058","42.5108252"
"12","1.5412283","42.5106021"
"12","1.541063","42.5103493"
"13","1.5182708","42.5055059"
"13","1.5181883","42.5054883"
"13","1.5181375","42.5053594"
"13","1.5183082","42.5053015"
"13","1.5184045","42.5053755"
"13","1.5183574","42.5054821"
"13","1.5182708","42.5055059"
"14","1.5183082","42.5053015"
"14","1.5185913","42.5049613"
"14","1.5191385","42.5039106"
"15","1.5216012","42.5062044"
"15","1.5210539","42.5059326"
"15","1.5203425","42.5057095"
"15","1.5186769","42.5054146"
"16","1.5216768","42.5063453"
"16","1.5216012","42.5062044"
"16","1.5217427","42.5061514"
"16","1.521852","42.5062807"
"16","1.5216768","42.5063453"
"17","1.5222208","42.5045656"
"17","1.5220295","42.5045559"
"17","1.5221052","42.5046635"
"17","1.5222208","42.5045656"
"18","1.5297254","42.5085722"
"18","1.530165","42.5087878"
"18","1.5305568","42.5089512"
"18","1.531621","42.5093809"
"18","1.5318587","42.5094793"
"18","1.5335866","42.5098335"
"19","1.535317","42.5126916"
"19","1.5355227","42.51236"
"19","1.5353078","42.5120291"
"19","1.5342336","42.5113672"
"19","1.533304","42.5105125"
"20","1.5308096","42.5087569"
"20","1.5305071","42.5082785"
"21","1.5318269","42.5082726"
"21","1.5316699","42.5090736"
"21","1.531621","42.5093809"
"22","1.535317","42.5126916"
"22","1.5356964","42.5126983"
"23","1.5375771","42.517781"
"23","1.5392828","42.5170465"
"23","1.5402096","42.5167987"
"24","1.535148","42.517782"
"24","1.5365896","42.5174777"
"24","1.5377748","42.5170398"
"24","1.5393602","42.5166379"
"24","1.5401043","42.5165857"
"25","1.5339308","42.510027"
"25","1.5349294","42.510738"
"25","1.5354089","42.5111322"
"26","1.5363681","42.5086348"
"26","1.5364687","42.5077739"
"27","1.5316984","42.5061122"
"27","1.5314769","42.5064477"
"27","1.5310957","42.5070608"
"27","1.53086","42.5075208"
"28","1.5281651","42.5058534"
"28","1.5288998","42.5061395"
"28","1.5293579","42.5064515"
"28","1.5298128","42.5067488"
"28","1.5303192","42.5071158"
"28","1.53086","42.5075208"
"29","1.5193419","42.5035421"
"29","1.5195156","42.5033383"
"30","1.5483086","42.509941"
"30","1.5484384","42.5097764"
"30","1.5484618","42.5089074"
"30","1.5483467","42.5085421"
"31","1.5262412","42.5048513"
"31","1.5263732","42.5044517"
"31","1.5273189","42.5045256"
"31","1.5276689","42.5047273"
"31","1.5266336","42.5049665"
"31","1.5265365","42.5051988"
"32","1.5217323","42.5089726"
"32","1.5212345","42.5086436"
"33","1.5193377","42.507473"
"33","1.5199181","42.5076276"
"33","1.5202615","42.5075357"
"34","1.5247201","42.5078733"
"34","1.5245431","42.5082489"
"34","1.5248046","42.508421"
"34","1.5265207","42.5087504"
"34","1.5278653","42.5087938"
"35","1.5293738","42.5101664"
"35","1.5304739","42.5102487"
"35","1.5308576","42.5101777"
"35","1.5316972","42.5105174"
"35","1.5330963","42.510953"
"35","1.5333026","42.5110763"
"35","1.53374","42.5117122"
"35","1.5342894","42.5119843"
"36","1.5306703","42.5060833"
"36","1.531066","42.5062971"
"36","1.5314769","42.5064477"
"36","1.532012","42.5066879"
"37","1.5374154","42.508712"
"37","1.5379056","42.508705"
"37","1.538779","42.5086758"
"38","1.5388709","42.5094931"
"38","1.5401198","42.5095911"
"39","1.540157","42.5096862"
"39","1.5400911","42.5098671"
"39","1.5393774","42.5101657"
"39","1.5388566","42.5101243"
"40","1.5137877","42.5022302"
"40","1.5151081","42.5027937"
"40","1.5160379","42.5034096"
"40","1.51655","42.5036733"
"40","1.5176101","42.5037625"
"40","1.5188885","42.5036297"
"41","1.5272962","42.5052984"
"41","1.5275066","42.5052534"
"41","1.5275317","42.5053263"
"41","1.5275025","42.5053689"
"41","1.5272962","42.5052984"
"42","1.5316984","42.5061122"
"42","1.5316425","42.506041"
"42","1.5316744","42.5059945"
"42","1.531819","42.5060085"
"42","1.5318232","42.5060816"
"42","1.5316984","42.5061122"
"43","1.5341695","42.5080579"
"43","1.5335902","42.5076783"
"43","1.5327913","42.5071646"
"43","1.5327485","42.5071441"
"43","1.5321347","42.5067723"
"44","1.532012","42.5066879"
"44","1.5321502","42.5066485"
"44","1.5321797","42.5066694"
"44","1.5321347","42.5067723"
"44","1.5320775","42.5067744"
"44","1.532012","42.5066879"
"45","1.5321502","42.5066485"
"45","1.5323927","42.5061938"
"46","1.5321797","42.5066694"
"46","1.5329415","42.5066546"
"46","1.5341881","42.5069565"
"47","1.5225992","42.5064566"
"47","1.5231737","42.5051794"
"47","1.523457","42.505177"
"47","1.5239351","42.5054932"
"47","1.5233915","42.5066483"
"48","1.5185913","42.5049613"
"48","1.5212555","42.5053991"
"48","1.5213982","42.5055477"
"48","1.52115158818","42.5058194874"
"49","1.5505973","42.5122138"
"49","1.55087294","42.5123541"
"50","1.5252696","42.5101907"
"50","1.5229511","42.5100735"
"51","1.5229511","42.5100735"
"51","1.5229683","42.5097762"
"51","1.5238094","42.5098521"
"51","1.5249489","42.5097279"
"52","1.5269347","42.5106779"
"52","1.5263167","42.5102667"
"52","1.5257235","42.5101115"
"52","1.5252696","42.5101907"
"53","1.5260335","42.5097731"
"53","1.5262995","42.5096529"
"53","1.5271583","42.5100742"
