"shapeid","OBJECTID","SEG_ID","ROAD_ID","PREFIX","NAME","TYPE","SUFFIX","FULLNAME","AKA","LENGTH","SPEED","CATEGORY","HWY_NUM","SHIELD","F_ZLEV","T_ZLEV","FCC","R_F_ADD","R_T_ADD","L_F_ADD","L_T_ADD","ONE_WAY","L_ESN","R_ESN","ZIP_LT","ZIP_RT","JURIS_LT","JURIS_RT","RESTRC","SPD_PST","PAVED","MAINT_BY","GTG_COMMEN","Subtype","CREATED_BY","CREATED_DA","EDITED_BY","EDITED_DAT","Shape_Leng","FrontageRd","CircClass","RoadClass","BikeName","BikewyType","BikewyTyp2","Bus_Local","Bus_Regl","Bike_Exist","Bike_Pland","NewBike","DistanceCL","BLaneCLine","1Way_2Way","NmbrLanes","LabelName","LabelRegl","RoadRegl","BikeRegl","Road_Type","RORS2004","RORS1998","CenterLane","Sidewalks","WidthROW","NetworkNm","AerialYear"
"0","9484","200483","20167","NULL","CALLE MILANO","NULL","NULL","CALLE MILANO","NULL","0.11737567829","25","ROAD","0","NULL","0","0","P05","9400","9528","9401","9529","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","619.743581371","0","NULL","Sidewalk","NULL","Class II (planned)","NULL","0","0","NULL","II","NULL","18","NULL","0","1","CALLE MILANO","CALLE MILANO","No Label","NULL","Local","0","0","0","2","36","Atascadero","2011"
"1","9631","201076","20387","NULL","ELIANO","ST","NULL","ELIANO ST","NULL","0.01022095195","25","ROAD","0","NULL","0","0","P05","11151","11499","11150","11498","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","53.9666262962","0","NULL","Crossing","NULL","NULL","NULL","0","0","NULL","NULL","NULL","18","NULL","0","1","ELIANO ST","NULL","No Label","NULL","Local","0","0","0","2","36","Atascadero","2011"
"2","9631","201076","20387","NULL","ELIANO","ST","NULL","ELIANO ST","NULL","0.01148004807","25","ROAD","0","NULL","0","0","P05","11151","11499","11150","11498","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","60.6146538032","0","NULL","Crossing","NULL","NULL","NULL","0","0","NULL","NULL","NULL","18","NULL","0","1","ELIANO ST","NULL","No Label","NULL","Local","0","0","0","2","36","Atascadero","2011"
"3","9483","200482","20167","NULL","CALLE MILANO","NULL","NULL","CALLE MILANO","NULL","0.01127762646","25","ROAD","0","NULL","0","0","P05","9000","9398","9001","9399","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","59.5458677096","0","Collector","Crossing","NULL","Class II (planned)","NULL","0","0","NULL","II","NULL","27","NULL","0","1","CALLE MILANO","CALLE MILANO","No Label","NULL","Local","0","0","0","2","54","Atascadero","2011"
"4","9485","200499","20180","NULL","MONTE VERDE","DR","NULL","MONTE VERDE DR","NULL","0.09000367757","25","ROAD","0","NULL","0","0","P05","11401","11499","11400","11498","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","475.219417577","0","NULL","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","MONTE VERDE DR","NULL","No Label","NULL","Local","0","0","0","3","24","Atascadero","2011"
"5","9486","200500","20181","NULL","VIA CIELO","NULL","NULL","VIA CIELO","NULL","0.1543884089","25","ROAD","0","NULL","0","0","P05","9500","9700","9501","9699","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","815.170799008","0","NULL","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","VIA CIELO","NULL","No Label","NULL","Local","0","0","0","3","24","Atascadero","2011"
"6","9484","200483","20167","NULL","CALLE MILANO","NULL","NULL","CALLE MILANO","NULL","0.1238818382","25","ROAD","0","NULL","0","0","P05","9400","9528","9401","9529","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","654.096105686","0","NULL","No Sidewalk","NULL","Class II (planned)","NULL","0","0","NULL","II","NULL","18","NULL","0","1","CALLE MILANO","CALLE MILANO","No Label","NULL","Local","0","0","0","2","36","Atascadero","2011"
"7","9485","200499","20180","NULL","MONTE VERDE","DR","NULL","MONTE VERDE DR","NULL","0.07728086589","25","ROAD","0","NULL","0","0","P05","11401","11499","11400","11498","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","408.042971888","0","NULL","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","MONTE VERDE DR","NULL","No Label","NULL","Local","0","0","0","3","24","Atascadero","2011"
"8","9485","200499","20180","NULL","MONTE VERDE","DR","NULL","MONTE VERDE DR","NULL","0.00455573388","25","ROAD","0","NULL","0","0","P05","11401","11499","11400","11498","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","24.0542749071","0","NULL","Crossing","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","MONTE VERDE DR","NULL","No Label","NULL","Local","0","0","0","3","24","Atascadero","2011"
"9","9486","200500","20181","NULL","VIA CIELO","NULL","NULL","VIA CIELO","NULL","0.16487101444","25","ROAD","0","NULL","0","0","P05","9500","9700","9501","9699","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","870.518956247","0","NULL","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","VIA CIELO","NULL","No Label","NULL","Local","0","0","0","3","24","Atascadero","2011"
"10","9486","200500","20181","NULL","VIA CIELO","NULL","NULL","VIA CIELO","NULL","0.00454980566","25","ROAD","0","NULL","0","0","P05","9500","9700","9501","9699","B","1","1","93422","93422","ATASCADERO","ATASCADERO","NULL","25","YES","ATASCADERO","NULL","11","NULL","NULL","NULL","NULL","24.0229738832","0","NULL","No Sidewalk","NULL","NULL","NULL","0","0","NULL","NULL","NULL","12","NULL","0","1","VIA CIELO","NULL","No Label","NULL","Local","0","0","0","3","24","Atascadero","2011"
