"shapeid","x","y"
"0","-104.3779036","29.543981"
"0","-104.3781195","29.544997"
"1","-101.0340746","29.4831216"
"1","-101.0329396","29.4805742"
"1","-101.0319578","29.4782895"
"1","-101.0306549","29.4753439"
"1","-101.029565","29.4733574"
"1","-101.029189","29.4726793"
"1","-101.0282302","29.4709251"
"1","-101.0272673","29.4691502"
"1","-101.0260997","29.4670417"
"1","-101.0249857","29.4650245"
"1","-101.0244224","29.4640301"
"1","-101.0235884","29.4624818"
"1","-101.0223108","29.4601373"
"1","-101.0208506","29.4574969"
"1","-101.0196138","29.4552406"
"1","-101.0189309","29.4539818"
"1","-101.0184903","29.4531384"
"1","-101.0182417","29.4525656"
"1","-101.0179176","29.4517191"
"1","-101.017691","29.4509544"
"1","-101.0175273","29.4503029"
"1","-101.0174172","29.4497333"
"1","-101.0173228","29.4491763"
"1","-101.0172536","29.4487263"
"1","-101.0171938","29.4480466"
"1","-101.0171654","29.4469703"
"1","-101.0171462","29.4456228"
"1","-101.0171079","29.4431764"
"1","-101.0170861","29.4417268"
"1","-101.0170337","29.4386934"
"1","-101.0169623","29.4354216"
"1","-101.0169227","29.4331214"
"1","-101.0168116","29.4265976"
"1","-101.0167284","29.4217553"
"1","-101.016657","29.4184795"
"1","-101.0166371","29.4171033"
"1","-101.0165697","29.4133318"
"1","-101.0165499","29.4119795"
"1","-101.0165581","29.4114153"
"1","-101.0165833","29.4108881"
"1","-101.0167151","29.4096991"
"1","-101.0168161","29.4090905"
"1","-101.0169367","29.4084904"
"1","-101.0171386","29.4078202"
"1","-101.0173125","29.4072705"
"1","-101.0175789","29.4065779"
"1","-101.0177892","29.4060283"
"1","-101.0180163","29.4055571"
"1","-101.0183781","29.4048645"
"1","-101.0186894","29.4042083"
"1","-101.0195082","29.4024864"
"1","-101.0197438","29.4019088"
"1","-101.019898","29.4014292"
"1","-101.0200382","29.4009553"
"1","-101.02017","29.4003159"
"1","-101.0202682","29.3996794"
"1","-101.020299","29.3992699"
"1","-101.0203214","29.3987091"
"1","-101.020313","29.3981847"
"1","-101.0202794","29.3976715"
"1","-101.0202177","29.397077"
"1","-101.0200803","29.3960198"
"1","-101.0199933","29.3955122"
"1","-101.0199064","29.3948756"
"1","-101.0197999","29.3944101"
"1","-101.0196651","29.3939524"
"1","-101.0194802","29.3934334"
"1","-101.0192564","29.3929176"
"1","-101.0189612","29.3924083"
"1","-101.0185849","29.3917952"
"1","-101.0182021","29.3913183"
"1","-101.0177058","29.3907993"
"1","-101.0172256","29.3902705"
"1","-101.0166028","29.3895958"
"1","-101.0162622","29.3892032"
"1","-101.0156815","29.3885285"
"1","-101.0150132","29.3875423"
"1","-101.0143904","29.3865788"
"1","-101.013002","29.3844605"
"1","-101.011912","29.3827672"
"1","-101.0106176","29.3807656"
"1","-101.0102089","29.3800909"
"1","-101.0095861","29.3789198"
"1","-101.0092195","29.3782418"
"1","-101.0088756","29.3776871"
"1","-101.0083989","29.377038"
"1","-101.0078576","29.3763178"
"1","-101.0074906","29.3758567"
"1","-101.0071327","29.3754668"
"1","-101.0067451","29.375086"
"1","-101.0063345","29.3747098"
"1","-101.0060501","29.3744735"
"1","-101.0055638","29.3741042"
"1","-101.0051807","29.3738358"
"1","-101.0048504","29.373634"
"1","-101.0044742","29.3734046"
"1","-101.0039099","29.373111"
"1","-101.0031919","29.3727738"
"1","-101.0020198","29.3722439"
"1","-101.0003269","29.3714778"
"1","-100.9984941","29.3706634"
"1","-100.996659","29.3698468"
"1","-100.995558","29.3693583"
"1","-100.9850981","29.3646811"
"1","-100.9843113","29.3643577"
"1","-100.983468","29.364052"
"1","-100.9826528","29.3638071"
"1","-100.9818752","29.3635915"
"1","-100.9809783","29.363392"
"1","-100.978595","29.3628667"
"1","-100.9738559","29.3618367"
"1","-100.9710414","29.361222"
"1","-100.9687521","29.3607173"
"1","-100.965137","29.3599374"
