"shapeid","osm_id","name","ref","type","oneway","bridge","tunnel","maxspeed"
"0","25400267","H. Colegio Militar","NULL","primary","1","0","0","40"
"1","25400272","Tecnologico","NULL","residential","0","0","0","NULL"
"2","25400273","Manuel Rangel","NULL","residential","1","0","0","40"
"3","25401490","Economia","NULL","residential","1","0","0","40"
"4","25401491","Arreola","NULL","residential","1","0","0","40"
"5","25401492","J Cotreras","NULL","residential","1","0","0","40"
"6","25401500","Rio De la Loza","NULL","residential","1","0","0","40"
"7","25401502","Fray Diego de Ibarra","NULL","residential","1","0","0","40"
"8","25401503","Benito Crespo","NULL","residential","1","0","0","40"
"9","25401505","Negrete","NULL","tertiary","1","0","0","40"
"10","25401508","Salvador Nava","NULL","residential","1","0","0","40"
"11","25401509","Coronado","NULL","residential","1","0","0","40"
"12","25401510","Gabino Barreda","NULL","residential","1","0","0","40"
"13","25401518","Valle Poanas","NULL","residential","1","0","0","40"
"14","25401560","Boulevard de las rosas","NULL","secondary","1","0","0","NULL"
"15","25401577","Cienga","NULL","tertiary","1","0","0","NULL"
"16","25401579","Avenida Domingo Arrieta","DGO 115","primary","1","0","0","NULL"
"17","25402254","Alberto Terrones","NULL","residential","1","0","0","40"
"18","25402257","Pereyra","NULL","residential","1","0","0","40"
"19","25402259","Porras","NULL","residential","0","0","0","40"
"20","25402260","NULL","NULL","residential","1","0","0","40"
"21","25402261","Laureano Roncal","NULL","secondary","1","0","0","40"
"22","25402270","Valle Cacaria","NULL","residential","1","0","0","40"
"23","25402284","5 de Febrero","NULL","tertiary","1","0","0","40"
"24","25402286","Calvario","NULL","residential","1","0","0","NULL"
"25","25402290","Felipe Pescador","NULL","residential","1","0","0","40"
"26","25402291","Independencia","NULL","tertiary","1","0","0","40"
"27","25402293","NULL","NULL","primary_link","1","0","0","NULL"
"28","25402294","Bruno Martínez","NULL","residential","1","0","0","40"
"29","25402297","Constitución","NULL","residential","1","0","0","NULL"
"30","25402299","Juarez","NULL","residential","1","0","0","40"
"31","25402310","NULL","NULL","primary_link","0","0","0","NULL"
"32","25402319","Hernandez","NULL","residential","1","0","0","40"
"33","25402320","Victoria","NULL","residential","1","0","0","40"
"34","25402321","Pino Suarez","NULL","tertiary","1","0","0","40"
"35","25402323","Pasteur","NULL","residential","1","0","0","40"
"36","25402325","Ramírez","NULL","residential","1","0","0","40"
"37","25402330","Zaragoza","NULL","residential","1","0","0","40"
"38","25402331","Tlaloc","NULL","residential","1","0","0","40"
"39","25402334","Castañeda","NULL","residential","1","0","0","40"
"40","25417025","Voladores","NULL","residential","1","0","0","40"
"41","25417039","NULL","NULL","primary_link","1","0","0","NULL"
"42","25417042","Dolores del Rio","NULL","primary","1","0","0","40"
"43","25417046","Calvario","NULL","secondary","1","0","0","NULL"
"44","25417057","Camino del amanecer","NULL","residential","0","0","0","NULL"
"45","25417058","Juan E. Garcia","NULL","residential","1","0","0","NULL"
"46","25772891","Luna","NULL","residential","1","0","0","NULL"
"47","25772893","Dolores del Rio","NULL","tertiary","1","0","0","40"
"48","25772898","Paseo del Saltito","NULL","residential","0","0","0","NULL"
"49","25772901","Fanny Anitua","NULL","secondary","1","0","0","NULL"
"50","25772913","Calle Galileo","NULL","residential","1","0","0","40"
"51","25772930","Valle de Suchil","NULL","residential","1","0","0","40"
"52","26321168","Carlos Patoni","NULL","residential","1","0","0","40"
"53","26321187","Gomez Palacio","NULL","tertiary","1","0","0","40"
"54","26321191","NULL","NULL","residential","0","0","0","40"
"55","26321196","Valle Del Guadiana","NULL","residential","1","0","0","40"
"56","26321197","Valle del guadiana","NULL","residential","1","0","0","40"
"57","26321199","Valle de Topia","NULL","residential","1","0","0","40"
"58","26321202","Valle Mezquital","NULL","residential","1","0","0","40"
"59","26321247","Avenida Zahuatoba","MEX 40","primary","1","1","0","60"
"60","26321252","Avenida Zahuatoba","MEX 40","primary","1","0","0","60"
"61","26321265","Avenida Sahuatoba","MEX 40","primary","1","0","0","60"
"62","26321274","Avenida Sahuatoba","MEX 40","primary","1","0","0","60"
"63","26321292","Periferico Sur Durango","MEX 40","trunk","0","0","0","NULL"
